Negative step number, negative fringe number
382,1
551,2
682,3
768,4
836,5
909,6
981,7
1043,8
1107,9
1161,10
1207,11
1263,12
1309,13
1353,14
1406,15
1447,16
1491,17
1534,18
1572,19
1612,20
1644,21
1685,22
1717,23
1749,24
1785,25
1819,26
1853,27
1890,28
1916,29
1946,30
1978,31
2008,32
2036,33
2066,34
2096,35
2124,36
2153,37
2180,38
2208,39
2238,40
2265,41
2293,42
2321,43
2339,44
2366,45
2392,46
2410,47
2434,48
2456,49
2483,50
2507,51
2532,52
2563,53
2581,54
2605,55
2625,56
2647,57
2667,58
2690,59
2717,60
2733,61
2757,62
2781,63
2802,64
2822,65
2846,66
2865,67
2889,68
2907,69
2931,70
2951,71
2970,72
2989,73
3011,74
3034,75
3049,76
3068,77
3087,78
3106,79
3124,80
3144,81
3162,82
3182,83
3200,84
3214,85
3238,86
3258,87
3274,88
3290,89
3310,90
3324,91
3342,92
3360,93
