Step number, fringe number
174,1
342,2
450,3
548,4
649,5
725,6
776,7
829,8
896,9
943,10
1003,11
1047,12
1092,13
1152,14
1196,15
1238,16
1280,17
1322,18
1378,19
1410,20
1438,21
1465,22
1509,23
1538,24
1578,25
1611,26
1640,27
1675,28
1710,29
1744,30
1774,31
1803,32
1832,33
1860,34
1890,35
1924,36
1955,37
1982,38
2012,39
2036,40
2064,41
2091,42
2116,43
2138,44
2161,45
2188,46
2216,47
2243,48
2269,49
2291,50
2317,51
2340,52
2362,53
2385,54
2408,55
2429,56
2451,57
2473,58
2496,59
2514,60
2535,61
2558,62
2583,63
2607,64
2630,65
2651,66
2672,67
2697,68
2720,69
2740,70
2757,71
2775,72
2795,73
2814,74
2833,75
2852,76
2868,77
2886,78
2905,79
2928,80
2949,81
2969,82
2990,83
3004,84
3024,85
3042,86
3062,87
3078,88
3098,89
3115,90
3130,91
3145,92
3162,93
3177,94
3198,95
