#theta_0	N_0	probability

-0.00020368	0.00335	0
-0.00019504	0.00335	0
-0.0001864	0.00335	0
-0.00017776	0.00335	0
-0.00016912	0.00335	0
-0.00016048	0.00335	0
-0.00015184	0.00335	0
-0.0001432	0.00335	0
-0.00013456	0.00335	0
-0.00012592	0.00335	0
-0.00011728	0.00335	0
-0.00010864	0.00335	0
-0.0001	0.00335	0
-9.136e-05	0.00335	0
-8.272e-05	0.00335	0
-7.408e-05	0.00335	0
-6.544e-05	0.00335	0
-5.68e-05	0.00335	0
-4.816e-05	0.00335	0
-3.952e-05	0.00335	0
-3.088e-05	0.00335	0
-2.224e-05	0.00335	0
-1.36e-05	0.00335	0
-4.96e-06	0.00335	0
3.68e-06	0.00335	0
1.232e-05	0.00335	0
2.096e-05	0.00335	0
2.96e-05	0.00335	0
3.824e-05	0.00335	0
4.688e-05	0.00335	0
5.552e-05	0.00335	0
6.416e-05	0.00335	0
7.28e-05	0.00335	0
8.144e-05	0.00335	0
9.008e-05	0.00335	0
9.872e-05	0.00335	0
0.00010736	0.00335	0
0.000116	0.00335	0
0.00012464	0.00335	0
0.00013328	0.00335	2.86064e-21
0.00014192	0.00335	0
0.00015056	0.00335	0
0.0001592	0.00335	0
0.00016784	0.00335	0
0.00017648	0.00335	0
0.00018512	0.00335	0
0.00019376	0.00335	0
0.0002024	0.00335	0
0.00021104	0.00335	0
0.00021968	0.00335	0
-0.00020368	0.01005	0
-0.00019504	0.01005	0
-0.0001864	0.01005	0
-0.00017776	0.01005	0
-0.00016912	0.01005	0
-0.00016048	0.01005	0
-0.00015184	0.01005	0
-0.0001432	0.01005	0
-0.00013456	0.01005	0
-0.00012592	0.01005	0
-0.00011728	0.01005	0
-0.00010864	0.01005	0
-0.0001	0.01005	0
-9.136e-05	0.01005	0
-8.272e-05	0.01005	0
-7.408e-05	0.01005	0
-6.544e-05	0.01005	0
-5.68e-05	0.01005	0
-4.816e-05	0.01005	0
-3.952e-05	0.01005	0
-3.088e-05	0.01005	0
-2.224e-05	0.01005	0
-1.36e-05	0.01005	0
-4.96e-06	0.01005	0
3.68e-06	0.01005	0
1.232e-05	0.01005	0
2.096e-05	0.01005	0
2.96e-05	0.01005	0
3.824e-05	0.01005	0
4.688e-05	0.01005	0
5.552e-05	0.01005	0
6.416e-05	0.01005	0
7.28e-05	0.01005	0
8.144e-05	0.01005	0
9.008e-05	0.01005	1.22248e-25
9.872e-05	0.01005	4.88087e-25
0.00010736	0.01005	1.2377e-21
0.000116	0.01005	2.24424e-22
0.00012464	0.01005	3.71616e-20
0.00013328	0.01005	1.10364e-19
0.00014192	0.01005	0
0.00015056	0.01005	0
0.0001592	0.01005	0
0.00016784	0.01005	0
0.00017648	0.01005	0
0.00018512	0.01005	0
0.00019376	0.01005	0
0.0002024	0.01005	0
0.00021104	0.01005	0
0.00021968	0.01005	0
-0.00020368	0.01675	0
-0.00019504	0.01675	0
-0.0001864	0.01675	0
-0.00017776	0.01675	0
-0.00016912	0.01675	0
-0.00016048	0.01675	0
-0.00015184	0.01675	0
-0.0001432	0.01675	0
-0.00013456	0.01675	0
-0.00012592	0.01675	0
-0.00011728	0.01675	0
-0.00010864	0.01675	0
-0.0001	0.01675	0
-9.136e-05	0.01675	0
-8.272e-05	0.01675	0
-7.408e-05	0.01675	0
-6.544e-05	0.01675	0
-5.68e-05	0.01675	0
-4.816e-05	0.01675	0
-3.952e-05	0.01675	0
-3.088e-05	0.01675	0
-2.224e-05	0.01675	0
-1.36e-05	0.01675	0
-4.96e-06	0.01675	0
3.68e-06	0.01675	0
1.232e-05	0.01675	0
2.096e-05	0.01675	0
2.96e-05	0.01675	0
3.824e-05	0.01675	0
4.688e-05	0.01675	0
5.552e-05	0.01675	0
6.416e-05	0.01675	0
7.28e-05	0.01675	0
8.144e-05	0.01675	2.73916e-25
9.008e-05	0.01675	1.80438e-22
9.872e-05	0.01675	9.33035e-22
0.00010736	0.01675	1.03142e-20
0.000116	0.01675	2.87452e-19
0.00012464	0.01675	2.29592e-19
0.00013328	0.01675	1.33463e-19
0.00014192	0.01675	2.82291e-19
0.00015056	0.01675	0
0.0001592	0.01675	0
0.00016784	0.01675	0
0.00017648	0.01675	1.43199e-21
0.00018512	0.01675	0
0.00019376	0.01675	0
0.0002024	0.01675	0
0.00021104	0.01675	0
0.00021968	0.01675	0
-0.00020368	0.02345	0
-0.00019504	0.02345	0
-0.0001864	0.02345	0
-0.00017776	0.02345	0
-0.00016912	0.02345	0
-0.00016048	0.02345	0
-0.00015184	0.02345	0
-0.0001432	0.02345	0
-0.00013456	0.02345	0
-0.00012592	0.02345	0
-0.00011728	0.02345	0
-0.00010864	0.02345	0
-0.0001	0.02345	0
-9.136e-05	0.02345	0
-8.272e-05	0.02345	0
-7.408e-05	0.02345	0
-6.544e-05	0.02345	0
-5.68e-05	0.02345	0
-4.816e-05	0.02345	0
-3.952e-05	0.02345	0
-3.088e-05	0.02345	0
-2.224e-05	0.02345	0
-1.36e-05	0.02345	0
-4.96e-06	0.02345	0
3.68e-06	0.02345	0
1.232e-05	0.02345	0
2.096e-05	0.02345	0
2.96e-05	0.02345	0
3.824e-05	0.02345	0
4.688e-05	0.02345	0
5.552e-05	0.02345	0
6.416e-05	0.02345	0
7.28e-05	0.02345	1.22621e-24
8.144e-05	0.02345	8.07275e-22
9.008e-05	0.02345	1.8378e-21
9.872e-05	0.02345	6.21737e-20
0.00010736	0.02345	3.0087e-19
0.000116	0.02345	5.6362e-19
0.00012464	0.02345	3.72348e-19
0.00013328	0.02345	5.77973e-19
0.00014192	0.02345	3.44768e-19
0.00015056	0.02345	0
0.0001592	0.02345	0
0.00016784	0.02345	1.8827e-21
0.00017648	0.02345	0
0.00018512	0.02345	0
0.00019376	0.02345	0
0.0002024	0.02345	0
0.00021104	0.02345	0
0.00021968	0.02345	0
-0.00020368	0.03015	0
-0.00019504	0.03015	0
-0.0001864	0.03015	0
-0.00017776	0.03015	0
-0.00016912	0.03015	0
-0.00016048	0.03015	0
-0.00015184	0.03015	0
-0.0001432	0.03015	0
-0.00013456	0.03015	0
-0.00012592	0.03015	0
-0.00011728	0.03015	0
-0.00010864	0.03015	0
-0.0001	0.03015	0
-9.136e-05	0.03015	0
-8.272e-05	0.03015	0
-7.408e-05	0.03015	0
-6.544e-05	0.03015	0
-5.68e-05	0.03015	0
-4.816e-05	0.03015	0
-3.952e-05	0.03015	0
-3.088e-05	0.03015	0
-2.224e-05	0.03015	0
-1.36e-05	0.03015	0
-4.96e-06	0.03015	0
3.68e-06	0.03015	0
1.232e-05	0.03015	0
2.096e-05	0.03015	0
2.96e-05	0.03015	0
3.824e-05	0.03015	0
4.688e-05	0.03015	0
5.552e-05	0.03015	0
6.416e-05	0.03015	5.72181e-26
7.28e-05	0.03015	6.48853e-24
8.144e-05	0.03015	1.33447e-21
9.008e-05	0.03015	4.46684e-20
9.872e-05	0.03015	3.51007e-19
0.00010736	0.03015	1.35026e-18
0.000116	0.03015	1.94562e-16
0.00012464	0.03015	3.06204e-17
0.00013328	0.03015	6.31365e-17
0.00014192	0.03015	7.72495e-17
