#gamma	N_0	probability

2.68403e-05	0.68059	9481.58
2.68414e-05	0.68059	14897.4
2.68424e-05	0.68059	14768.4
2.68435e-05	0.68059	13881.1
2.68445e-05	0.68059	14705.8
2.68456e-05	0.68059	90694.7
2.68466e-05	0.68059	118376
2.68477e-05	0.68059	117666
2.68487e-05	0.68059	200023
2.68498e-05	0.68059	525498
2.68508e-05	0.68059	897035
2.68519e-05	0.68059	809404
2.68529e-05	0.68059	1.09092e+06
2.6854e-05	0.68059	767165
2.6855e-05	0.68059	617747
2.68561e-05	0.68059	534930
2.68571e-05	0.68059	540610
2.68582e-05	0.68059	618865
2.68592e-05	0.68059	615762
2.68603e-05	0.68059	695496
2.68613e-05	0.68059	515352
2.68624e-05	0.68059	444436
2.68634e-05	0.68059	270973
2.68645e-05	0.68059	130837
2.68655e-05	0.68059	122926
2.68666e-05	0.68059	125054
2.68676e-05	0.68059	117793
2.68687e-05	0.68059	86635.8
2.68697e-05	0.68059	95435.7
2.68708e-05	0.68059	79101.3
2.68718e-05	0.68059	85839.5
2.68729e-05	0.68059	65627.8
2.68739e-05	0.68059	41508.7
2.6875e-05	0.68059	34717.4
2.6876e-05	0.68059	15518.3
2.68771e-05	0.68059	1.69167e-311
2.68781e-05	0.68059	0
2.68792e-05	0.68059	0
2.68802e-05	0.68059	0
2.68813e-05	0.68059	0
2.68823e-05	0.68059	0
2.68834e-05	0.68059	0
2.68844e-05	0.68059	0
2.68855e-05	0.68059	0
2.68865e-05	0.68059	0
2.68876e-05	0.68059	0
2.68886e-05	0.68059	0
2.68897e-05	0.68059	0
2.68907e-05	0.68059	0
2.68918e-05	0.68059	0
2.68928e-05	0.68059	0
2.68939e-05	0.68059	0
2.68949e-05	0.68059	0
2.6896e-05	0.68059	0
2.6897e-05	0.68059	0
2.68981e-05	0.68059	0
2.68991e-05	0.68059	0
2.69002e-05	0.68059	0
2.69012e-05	0.68059	0
2.69023e-05	0.68059	0
2.69033e-05	0.68059	0
2.69044e-05	0.68059	0
2.69054e-05	0.68059	0
2.69065e-05	0.68059	0
2.69075e-05	0.68059	0
2.69086e-05	0.68059	0
2.69096e-05	0.68059	0
2.69107e-05	0.68059	0
2.69117e-05	0.68059	0
2.69128e-05	0.68059	0
2.69138e-05	0.68059	0
2.69149e-05	0.68059	0
2.69159e-05	0.68059	0
2.6917e-05	0.68059	0
2.6918e-05	0.68059	0
2.69191e-05	0.68059	0
2.69201e-05	0.68059	0
2.69212e-05	0.68059	0
2.69222e-05	0.68059	0
2.69233e-05	0.68059	0
2.69243e-05	0.68059	0
2.69254e-05	0.68059	0
2.69264e-05	0.68059	0
2.69275e-05	0.68059	0
2.69285e-05	0.68059	0
2.69296e-05	0.68059	0
2.69306e-05	0.68059	0
2.69317e-05	0.68059	0
2.69327e-05	0.68059	0
2.69338e-05	0.68059	0
2.69348e-05	0.68059	0
2.69359e-05	0.68059	0
2.69369e-05	0.68059	0
2.6938e-05	0.68059	0
2.6939e-05	0.68059	0
2.69401e-05	0.68059	0
2.69411e-05	0.68059	0
2.69422e-05	0.68059	0
2.69432e-05	0.68059	0
2.69443e-05	0.68059	0
2.68403e-05	0.68137	10747.2
2.68414e-05	0.68137	13036.9
2.68424e-05	0.68137	19008.4
2.68435e-05	0.68137	18230.5
2.68445e-05	0.68137	21082.1
2.68456e-05	0.68137	50127.9
2.68466e-05	0.68137	155331
2.68477e-05	0.68137	201697
2.68487e-05	0.68137	244919
2.68498e-05	0.68137	470573
2.68508e-05	0.68137	799141
2.68519e-05	0.68137	1.15252e+06
2.68529e-05	0.68137	966911
2.6854e-05	0.68137	1.16993e+06
2.6855e-05	0.68137	1.00486e+06
2.68561e-05	0.68137	760497
2.68571e-05	0.68137	1.09634e+06
2.68582e-05	0.68137	861573
2.68592e-05	0.68137	1.04762e+06
2.68603e-05	0.68137	912227
2.68613e-05	0.68137	799038
2.68624e-05	0.68137	552680
2.68634e-05	0.68137	514007
2.68645e-05	0.68137	262656
2.68655e-05	0.68137	146221
2.68666e-05	0.68137	152155
2.68676e-05	0.68137	173671
2.68687e-05	0.68137	153078
2.68697e-05	0.68137	114011
2.68708e-05	0.68137	120689
2.68718e-05	0.68137	107680
2.68729e-05	0.68137	110371
2.68739e-05	0.68137	72817
2.6875e-05	0.68137	52316.4
2.6876e-05	0.68137	53823.8
2.68771e-05	0.68137	23277.5
2.68781e-05	0.68137	0
2.68792e-05	0.68137	0
2.68802e-05	0.68137	0
2.68813e-05	0.68137	0
2.68823e-05	0.68137	0
2.68834e-05	0.68137	0
2.68844e-05	0.68137	0
2.68855e-05	0.68137	0
2.68865e-05	0.68137	0
2.68876e-05	0.68137	0
2.68886e-05	0.68137	0
2.68897e-05	0.68137	0
2.68907e-05	0.68137	0
2.68918e-05	0.68137	0
2.68928e-05	0.68137	0
2.68939e-05	0.68137	0
2.68949e-05	0.68137	0
2.6896e-05	0.68137	0
2.6897e-05	0.68137	0
2.68981e-05	0.68137	0
2.68991e-05	0.68137	0
2.69002e-05	0.68137	0
2.69012e-05	0.68137	0
2.69023e-05	0.68137	0
2.69033e-05	0.68137	0
2.69044e-05	0.68137	0
2.69054e-05	0.68137	0
2.69065e-05	0.68137	0
2.69075e-05	0.68137	0
2.69086e-05	0.68137	0
2.69096e-05	0.68137	0
2.69107e-05	0.68137	0
2.69117e-05	0.68137	0
2.69128e-05	0.68137	0
2.69138e-05	0.68137	0
2.69149e-05	0.68137	0
2.69159e-05	0.68137	0
2.6917e-05	0.68137	0
2.6918e-05	0.68137	0
2.69191e-05	0.68137	0
2.69201e-05	0.68137	0
2.69212e-05	0.68137	0
2.69222e-05	0.68137	0
2.69233e-05	0.68137	0
2.69243e-05	0.68137	0
2.69254e-05	0.68137	0
2.69264e-05	0.68137	0
2.69275e-05	0.68137	0
2.69285e-05	0.68137	0
2.69296e-05	0.68137	0
2.69306e-05	0.68137	0
2.69317e-05	0.68137	0
2.69327e-05	0.68137	0
2.69338e-05	0.68137	0
2.69348e-05	0.68137	0
2.69359e-05	0.68137	0
2.69369e-05	0.68137	0
2.6938e-05	0.68137	0
2.6939e-05	0.68137	0
2.69401e-05	0.68137	0
2.69411e-05	0.68137	0
2.69422e-05	0.68137	0
2.69432e-05	0.68137	0
2.69443e-05	0.68137	0
2.68403e-05	0.68215	17675.3
2.68414e-05	0.68215	16946.6
2.68424e-05	0.68215	23677.2
2.68435e-05	0.68215	23516.8
2.68445e-05	0.68215	24225.4
2.68456e-05	0.68215	29037.4
2.68466e-05	0.68215	153917
2.68477e-05	0.68215	180615
2.68487e-05	0.68215	261203
2.68498e-05	0.68215	457784
2.68508e-05	0.68215	782852
2.68519e-05	0.68215	1.15679e+06
2.68529e-05	0.68215	1.37636e+06
2.6854e-05	0.68215	1.53582e+06
2.6855e-05	0.68215	1.69068e+06
2.68561e-05	0.68215	1.34555e+06
2.68571e-05	0.68215	1.1352e+06
2.68582e-05	0.68215	1.36126e+06
2.68592e-05	0.68215	1.49713e+06
2.68603e-05	0.68215	1.47055e+06
2.68613e-05	0.68215	1.45166e+06
2.68624e-05	0.68215	1.37035e+06
2.68634e-05	0.68215	663081
2.68645e-05	0.68215	576026
2.68655e-05	0.68215	291875
2.68666e-05	0.68215	173763
2.68676e-05	0.68215	199713
2.68687e-05	0.68215	182675
2.68697e-05	0.68215	162959
2.68708e-05	0.68215	148030
2.68718e-05	0.68215	132547
2.68729e-05	0.68215	130430
2.68739e-05	0.68215	148664
2.6875e-05	0.68215	91856.9
2.6876e-05	0.68215	53460.5
2.68771e-05	0.68215	69066.2
2.68781e-05	0.68215	18653.3
2.68792e-05	0.68215	8640.87
2.68802e-05	0.68215	0
2.68813e-05	0.68215	0
2.68823e-05	0.68215	0
2.68834e-05	0.68215	0
2.68844e-05	0.68215	0
2.68855e-05	0.68215	0
2.68865e-05	0.68215	0
2.68876e-05	0.68215	0
2.68886e-05	0.68215	0
2.68897e-05	0.68215	0
2.68907e-05	0.68215	0
2.68918e-05	0.68215	0
2.68928e-05	0.68215	0
2.68939e-05	0.68215	0
2.68949e-05	0.68215	0
2.6896e-05	0.68215	0
2.6897e-05	0.68215	0
2.68981e-05	0.68215	0
2.68991e-05	0.68215	0
2.69002e-05	0.68215	0
2.69012e-05	0.68215	0
2.69023e-05	0.68215	0
2.69033e-05	0.68215	0
2.69044e-05	0.68215	0
2.69054e-05	0.68215	0
2.69065e-05	0.68215	0
2.69075e-05	0.68215	0
2.69086e-05	0.68215	0
2.69096e-05	0.68215	0
2.69107e-05	0.68215	0
2.69117e-05	0.68215	0
2.69128e-05	0.68215	0
2.69138e-05	0.68215	0
2.69149e-05	0.68215	0
2.69159e-05	0.68215	0
2.6917e-05	0.68215	0
2.6918e-05	0.68215	0
2.69191e-05	0.68215	0
2.69201e-05	0.68215	0
2.69212e-05	0.68215	0
2.69222e-05	0.68215	0
2.69233e-05	0.68215	0
2.69243e-05	0.68215	0
2.69254e-05	0.68215	0
2.69264e-05	0.68215	0
2.69275e-05	0.68215	0
2.69285e-05	0.68215	0
2.69296e-05	0.68215	0
2.69306e-05	0.68215	0
2.69317e-05	0.68215	0
2.69327e-05	0.68215	0
2.69338e-05	0.68215	0
2.69348e-05	0.68215	0
2.69359e-05	0.68215	0
2.69369e-05	0.68215	0
2.6938e-05	0.68215	0
2.6939e-05	0.68215	0
2.69401e-05	0.68215	0
2.69411e-05	0.68215	0
2.69422e-05	0.68215	0
2.69432e-05	0.68215	0
2.69443e-05	0.68215	0
2.68403e-05	0.68293	17881.3
2.68414e-05	0.68293	20886.9
2.68424e-05	0.68293	25056.7
2.68435e-05	0.68293	29648.4
2.68445e-05	0.68293	38581.1
2.68456e-05	0.68293	34904.4
2.68466e-05	0.68293	125202
2.68477e-05	0.68293	263989
2.68487e-05	0.68293	343229
2.68498e-05	0.68293	382617
2.68508e-05	0.68293	646247
2.68519e-05	0.68293	966597
2.68529e-05	0.68293	1.42001e+06
2.6854e-05	0.68293	1.60153e+06
2.6855e-05	0.68293	1.57531e+06
2.68561e-05	0.68293	2.04656e+06
2.68571e-05	0.68293	1.96873e+06
2.68582e-05	0.68293	1.95907e+06
2.68592e-05	0.68293	2.09199e+06
2.68603e-05	0.68293	2.31777e+06
2.68613e-05	0.68293	1.6864e+06
2.68624e-05	0.68293	1.85994e+06
2.68634e-05	0.68293	1.8302e+06
2.68645e-05	0.68293	1.19585e+06
2.68655e-05	0.68293	849532
2.68666e-05	0.68293	363114
2.68676e-05	0.68293	242834
2.68687e-05	0.68293	253399
2.68697e-05	0.68293	241592
2.68708e-05	0.68293	189529
2.68718e-05	0.68293	198746
2.68729e-05	0.68293	162580
2.68739e-05	0.68293	145852
2.6875e-05	0.68293	165824
2.6876e-05	0.68293	97965.1
2.68771e-05	0.68293	111079
2.68781e-05	0.68293	30821.1
2.68792e-05	0.68293	28965
2.68802e-05	0.68293	8355.22
2.68813e-05	0.68293	2.06485e-311
2.68823e-05	0.68293	0
2.68834e-05	0.68293	0
2.68844e-05	0.68293	0
2.68855e-05	0.68293	0
2.68865e-05	0.68293	0
2.68876e-05	0.68293	0
2.68886e-05	0.68293	0
2.68897e-05	0.68293	0
2.68907e-05	0.68293	0
2.68918e-05	0.68293	0
2.68928e-05	0.68293	0
2.68939e-05	0.68293	0
2.68949e-05	0.68293	0
2.6896e-05	0.68293	0
2.6897e-05	0.68293	0
2.68981e-05	0.68293	0
2.68991e-05	0.68293	0
2.69002e-05	0.68293	0
2.69012e-05	0.68293	0
2.69023e-05	0.68293	0
2.69033e-05	0.68293	0
2.69044e-05	0.68293	0
2.69054e-05	0.68293	0
2.69065e-05	0.68293	0
2.69075e-05	0.68293	0
2.69086e-05	0.68293	0
2.69096e-05	0.68293	0
2.69107e-05	0.68293	0
2.69117e-05	0.68293	0
2.69128e-05	0.68293	0
2.69138e-05	0.68293	0
2.69149e-05	0.68293	0
2.69159e-05	0.68293	0
2.6917e-05	0.68293	0
2.6918e-05	0.68293	0
2.69191e-05	0.68293	0
2.69201e-05	0.68293	0
2.69212e-05	0.68293	0
2.69222e-05	0.68293	0
2.69233e-05	0.68293	0
2.69243e-05	0.68293	0
2.69254e-05	0.68293	0
2.69264e-05	0.68293	0
2.69275e-05	0.68293	0
2.69285e-05	0.68293	0
2.69296e-05	0.68293	0
2.69306e-05	0.68293	0
2.69317e-05	0.68293	0
2.69327e-05	0.68293	0
2.69338e-05	0.68293	0
2.69348e-05	0.68293	0
2.69359e-05	0.68293	0
2.69369e-05	0.68293	0
2.6938e-05	0.68293	0
2.6939e-05	0.68293	0
2.69401e-05	0.68293	0
2.69411e-05	0.68293	0
2.69422e-05	0.68293	0
2.69432e-05	0.68293	0
2.69443e-05	0.68293	0
2.68403e-05	0.68371	19943.3
2.68414e-05	0.68371	25319.4
2.68424e-05	0.68371	29462.5
2.68435e-05	0.68371	39000.3
2.68445e-05	0.68371	45072.2
2.68456e-05	0.68371	47659.5
2.68466e-05	0.68371	42309.6
2.68477e-05	0.68371	135914
