#gamma	theta_0	probability

2.68403e-05	0.00021216	0
2.68414e-05	0.00021216	0
2.68424e-05	0.00021216	0
2.68435e-05	0.00021216	0
2.68445e-05	0.00021216	0
2.68456e-05	0.00021216	0
2.68466e-05	0.00021216	0
2.68477e-05	0.00021216	0
2.68487e-05	0.00021216	0
2.68498e-05	0.00021216	0
2.68508e-05	0.00021216	0
2.68519e-05	0.00021216	0
2.68529e-05	0.00021216	0
2.6854e-05	0.00021216	0
2.6855e-05	0.00021216	0
2.68561e-05	0.00021216	0
2.68571e-05	0.00021216	10753.2
2.68582e-05	0.00021216	12708.3
2.68592e-05	0.00021216	52969.4
2.68603e-05	0.00021216	79033.5
2.68613e-05	0.00021216	162988
2.68624e-05	0.00021216	228024
2.68634e-05	0.00021216	298982
2.68645e-05	0.00021216	395839
2.68655e-05	0.00021216	476874
2.68666e-05	0.00021216	750311
2.68676e-05	0.00021216	1.04378e+06
2.68687e-05	0.00021216	1.29686e+06
2.68697e-05	0.00021216	1.44107e+06
2.68708e-05	0.00021216	2.00161e+06
2.68718e-05	0.00021216	2.36129e+06
2.68729e-05	0.00021216	2.58274e+06
2.68739e-05	0.00021216	3.17475e+06
2.6875e-05	0.00021216	4.39425e+06
2.6876e-05	0.00021216	4.99583e+06
2.68771e-05	0.00021216	5.23184e+06
2.68781e-05	0.00021216	6.98215e+06
2.68792e-05	0.00021216	9.3218e+06
2.68802e-05	0.00021216	9.539e+06
2.68813e-05	0.00021216	8.91027e+06
2.68823e-05	0.00021216	8.75945e+06
2.68834e-05	0.00021216	9.40408e+06
2.68844e-05	0.00021216	1.06595e+07
2.68855e-05	0.00021216	1.02267e+07
2.68865e-05	0.00021216	1.03905e+07
2.68876e-05	0.00021216	1.07424e+07
2.68886e-05	0.00021216	1.13827e+07
2.68897e-05	0.00021216	1.21506e+07
2.68907e-05	0.00021216	1.36835e+07
2.68918e-05	0.00021216	1.47992e+07
2.68928e-05	0.00021216	2.34164e+07
2.68939e-05	0.00021216	2.29019e+07
2.68949e-05	0.00021216	2.74775e+07
2.6896e-05	0.00021216	3.44022e+07
2.6897e-05	0.00021216	3.72394e+07
2.68981e-05	0.00021216	3.78156e+07
2.68991e-05	0.00021216	3.42086e+07
2.69002e-05	0.00021216	5.24662e+07
2.69012e-05	0.00021216	4.44079e+07
2.69023e-05	0.00021216	5.11257e+07
2.69033e-05	0.00021216	5.40694e+07
2.69044e-05	0.00021216	5.43384e+07
2.69054e-05	0.00021216	4.43979e+07
2.69065e-05	0.00021216	4.16861e+07
2.69075e-05	0.00021216	4.44534e+07
2.69086e-05	0.00021216	4.03925e+07
2.69096e-05	0.00021216	3.36886e+07
2.69107e-05	0.00021216	3.35963e+07
2.69117e-05	0.00021216	2.94026e+07
2.69128e-05	0.00021216	3.03062e+07
2.69138e-05	0.00021216	2.8027e+07
2.69149e-05	0.00021216	2.73423e+07
2.69159e-05	0.00021216	3.0886e+07
2.6917e-05	0.00021216	2.68738e+07
2.6918e-05	0.00021216	1.90449e+07
2.69191e-05	0.00021216	1.89301e+07
2.69201e-05	0.00021216	1.85029e+07
2.69212e-05	0.00021216	1.95456e+07
2.69222e-05	0.00021216	2.15997e+07
2.69233e-05	0.00021216	2.05952e+07
2.69243e-05	0.00021216	2.04771e+07
2.69254e-05	0.00021216	2.0095e+07
2.69264e-05	0.00021216	1.78025e+07
2.69275e-05	0.00021216	1.66327e+07
2.69285e-05	0.00021216	1.18383e+07
2.69296e-05	0.00021216	1.208e+07
2.69306e-05	0.00021216	1.01896e+07
2.69317e-05	0.00021216	7.81493e+06
2.69327e-05	0.00021216	6.77911e+06
2.69338e-05	0.00021216	6.05263e+06
2.69348e-05	0.00021216	5.68603e+06
2.69359e-05	0.00021216	5.70345e+06
2.69369e-05	0.00021216	4.86993e+06
2.6938e-05	0.00021216	4.48329e+06
2.6939e-05	0.00021216	5.98366e+06
2.69401e-05	0.00021216	4.98093e+06
2.69411e-05	0.00021216	3.12347e+06
2.69422e-05	0.00021216	1.50529e+06
2.69432e-05	0.00021216	514783
2.69443e-05	0.00021216	0
2.68403e-05	0.00021408	0
2.68414e-05	0.00021408	0
2.68424e-05	0.00021408	0
2.68435e-05	0.00021408	0
2.68445e-05	0.00021408	0
2.68456e-05	0.00021408	0
2.68466e-05	0.00021408	0
2.68477e-05	0.00021408	0
2.68487e-05	0.00021408	0
2.68498e-05	0.00021408	0
2.68508e-05	0.00021408	0
2.68519e-05	0.00021408	0
2.68529e-05	0.00021408	0
2.6854e-05	0.00021408	0
2.6855e-05	0.00021408	16339.3
2.68561e-05	0.00021408	50563.9
2.68571e-05	0.00021408	88189.4
2.68582e-05	0.00021408	155968
2.68592e-05	0.00021408	178132
2.68603e-05	0.00021408	252268
2.68613e-05	0.00021408	400812
2.68624e-05	0.00021408	633924
2.68634e-05	0.00021408	813112
2.68645e-05	0.00021408	1.03369e+06
2.68655e-05	0.00021408	1.22949e+06
2.68666e-05	0.00021408	1.56718e+06
2.68676e-05	0.00021408	2.0922e+06
2.68687e-05	0.00021408	2.63942e+06
2.68697e-05	0.00021408	2.99014e+06
2.68708e-05	0.00021408	3.69357e+06
2.68718e-05	0.00021408	4.7295e+06
2.68729e-05	0.00021408	5.65633e+06
2.68739e-05	0.00021408	6.96538e+06
