#theta_0	N_0	probability

0.00021216	0.68059	0
0.00021408	0.68059	0
0.000216	0.68059	0
0.00021792	0.68059	0
0.00021984	0.68059	0
0.00022176	0.68059	0.00714235
0.00022368	0.68059	0.0639478
0.0002256	0.68059	0.119062
0.00022752	0.68059	0.360134
0.00022944	0.68059	0.614151
0.00023136	0.68059	0.816064
0.00023328	0.68059	1.64065
0.0002352	0.68059	4.70511
0.00023712	0.68059	6.26821
0.00023904	0.68059	8.97211
0.00024096	0.68059	13.052
0.00024288	0.68059	12.4967
0.0002448	0.68059	35.2146
0.00024672	0.68059	58.8612
0.00024864	0.68059	79.1312
0.00025056	0.68059	80.7101
0.00025248	0.68059	97.0535
0.0002544	0.68059	112.607
0.00025632	0.68059	122.459
0.00025824	0.68059	149.196
0.00026016	0.68059	225.149
0.00026208	0.68059	326.415
0.000264	0.68059	276.295
0.00026592	0.68059	348.465
0.00026784	0.68059	384.209
0.00026976	0.68059	459.804
0.00027168	0.68059	296.5
0.0002736	0.68059	331.144
0.00027552	0.68059	469.821
0.00027744	0.68059	717.787
0.00027936	0.68059	571.129
0.00028128	0.68059	474.265
0.0002832	0.68059	98.5623
0.00028512	0.68059	1.36019e-312
0.00028704	0.68059	8.32239e-313
0.00028896	0.68059	3.38034e-313
0.00029088	0.68059	3.44658e-313
0.0002928	0.68059	4.84617e-313
0.00029472	0.68059	4.44861e-313
0.00029664	0.68059	0
0.00029856	0.68059	0
0.00030048	0.68059	0
0.0003024	0.68059	0
0.00030432	0.68059	0
0.00030624	0.68059	0
0.00021216	0.68137	0
0.00021408	0.68137	0
0.000216	0.68137	0
0.00021792	0.68137	0
0.00021984	0.68137	0
0.00022176	0.68137	0.0289064
0.00022368	0.68137	0.0859786
0.0002256	0.68137	0.154969
0.00022752	0.68137	0.44692
0.00022944	0.68137	1.1607
0.00023136	0.68137	2.20253
0.00023328	0.68137	3.84311
0.0002352	0.68137	5.45968
0.00023712	0.68137	6.60486
0.00023904	0.68137	15.1873
0.00024096	0.68137	28.4787
0.00024288	0.68137	22.4191
0.0002448	0.68137	47.1814
0.00024672	0.68137	72.8027
0.00024864	0.68137	104.324
0.00025056	0.68137	95.4681
0.00025248	0.68137	119.206
0.0002544	0.68137	157.634
0.00025632	0.68137	157.675
0.00025824	0.68137	178.053
0.00026016	0.68137	283.742
0.00026208	0.68137	490.456
0.000264	0.68137	474.673
0.00026592	0.68137	397.154
0.00026784	0.68137	459.966
0.00026976	0.68137	645.236
0.00027168	0.68137	574.857
0.0002736	0.68137	588.027
0.00027552	0.68137	620.252
0.00027744	0.68137	938.202
0.00027936	0.68137	669.797
0.00028128	0.68137	500
0.0002832	0.68137	205.945
0.00028512	0.68137	1.74808e-312
0.00028704	0.68137	7.14519e-313
0.00028896	0.68137	4.01981e-313
0.00029088	0.68137	4.29292e-313
0.0002928	0.68137	6.44002e-313
0.00029472	0.68137	8.15196e-313
0.00029664	0.68137	2.54474e-313
0.00029856	0.68137	0
0.00030048	0.68137	0
0.0003024	0.68137	0
0.00030432	0.68137	0
0.00030624	0.68137	0
0.00021216	0.68215	0
0.00021408	0.68215	0
0.000216	0.68215	0
0.00021792	0.68215	0
0.00021984	0.68215	0.00644401
0.00022176	0.68215	0.0399201
0.00022368	0.68215	0.0869278
0.0002256	0.68215	0.186196
0.00022752	0.68215	0.80175
0.00022944	0.68215	2.29927
0.00023136	0.68215	3.52276
0.00023328	0.68215	5.81133
0.0002352	0.68215	6.46023
0.00023712	0.68215	10.6413
0.00023904	0.68215	25.4961
0.00024096	0.68215	37.2204
0.00024288	0.68215	36.8556
0.0002448	0.68215	71.942
0.00024672	0.68215	115.531
0.00024864	0.68215	115.671
0.00025056	0.68215	114.056
0.00025248	0.68215	121.328
0.0002544	0.68215	181.323
0.00025632	0.68215	191.157
0.00025824	0.68215	219.106
0.00026016	0.68215	358.268
0.00026208	0.68215	541.961
0.000264	0.68215	793.593
0.00026592	0.68215	697.602
0.00026784	0.68215	823.605
0.00026976	0.68215	1087.56
0.00027168	0.68215	1062.99
0.0002736	0.68215	848.774
0.00027552	0.68215	801.29
0.00027744	0.68215	1195.43
0.00027936	0.68215	768.321
0.00028128	0.68215	650.135
0.0002832	0.68215	274.963
0.00028512	0.68215	1.27876e-312
0.00028704	0.68215	7.02789e-313
0.00028896	0.68215	4.30762e-313
0.00029088	0.68215	5.04607e-313
0.0002928	0.68215	7.81237e-313
0.00029472	0.68215	9.78123e-313
0.00029664	0.68215	5.66321e-313
0.00029856	0.68215	0
0.00030048	0.68215	0
0.0003024	0.68215	0
0.00030432	0.68215	0
0.00030624	0.68215	0
0.00021216	0.68293	0
0.00021408	0.68293	0
0.000216	0.68293	0
0.00021792	0.68293	0
0.00021984	0.68293	0.00545263
0.00022176	0.68293	0.029311
0.00022368	0.68293	0.125645
0.0002256	0.68293	0.503196
0.00022752	0.68293	1.57884
0.00022944	0.68293	2.8804
0.00023136	0.68293	3.9641
0.00023328	0.68293	6.91282
0.0002352	0.68293	8.40434
0.00023712	0.68293	15.1787
0.00023904	0.68293	32.9648
0.00024096	0.68293	56.1843
0.00024288	0.68293	65.2254
0.0002448	0.68293	84.4706
0.00024672	0.68293	134.109
0.00024864	0.68293	139.706
0.00025056	0.68293	149.746
0.00025248	0.68293	163.692
0.0002544	0.68293	209.457
0.00025632	0.68293	222.673
0.00025824	0.68293	298.093
0.00026016	0.68293	451.124
0.00026208	0.68293	722.006
0.000264	0.68293	1051.77
0.00026592	0.68293	1115.47
0.00026784	0.68293	1503.53
0.00026976	0.68293	2011.36
0.00027168	0.68293	1342.46
0.0002736	0.68293	1066.9
0.00027552	0.68293	991.008
0.00027744	0.68293	1251.11
0.00027936	0.68293	978.888
0.00028128	0.68293	725.44
0.0002832	0.68293	233.965
0.00028512	0.68293	19.1103
0.00028704	0.68293	9.58004e-313
0.00028896	0.68293	5.90397e-313
0.00029088	0.68293	6.95436e-313
0.0002928	0.68293	9.09287e-313
0.00029472	0.68293	1.13464e-312
0.00029664	0.68293	8.45112e-313
0.00029856	0.68293	3.48627e-313
0.00030048	0.68293	0
0.0003024	0.68293	0
0.00030432	0.68293	0
0.00030624	0.68293	0
0.00021216	0.68371	0
0.00021408	0.68371	0
0.000216	0.68371	0
0.00021792	0.68371	0
0.00021984	0.68371	0.0121531
0.00022176	0.68371	0.0840675
0.00022368	0.68371	0.303223
0.0002256	0.68371	1.15709
0.00022752	0.68371	3.0364
0.00022944	0.68371	3.72464
0.00023136	0.68371	4.44824
0.00023328	0.68371	7.13269
0.0002352	0.68371	12.8419
0.00023712	0.68371	24.2197
0.00023904	0.68371	46.8619
0.00024096	0.68371	82.6228
0.00024288	0.68371	84.5256
0.0002448	0.68371	100.057
0.00024672	0.68371	153.014
0.00024864	0.68371	172.152
0.00025056	0.68371	186.285
0.00025248	0.68371	217.589
0.0002544	0.68371	248.432
0.00025632	0.68371	270.612
0.00025824	0.68371	353.623
0.00026016	0.68371	528.427
0.00026208	0.68371	930.465
0.000264	0.68371	2478.71
0.00026592	0.68371	2278.71
0.00026784	0.68371	3201.06
0.00026976	0.68371	2940.22
0.00027168	0.68371	2505.45
0.0002736	0.68371	1834.4
