#theta_0	N_0	probability

-0.0003168	0.00205	0
-0.0003104	0.00205	0
-0.000304	0.00205	0
-0.0002976	0.00205	0
-0.0002912	0.00205	0
-0.0002848	0.00205	0
-0.0002784	0.00205	0
-0.000272	0.00205	0
-0.0002656	0.00205	2.36614e-38
-0.0002592	0.00205	1.18115e-32
-0.0002528	0.00205	3.07161e-28
-0.0002464	0.00205	8.4184e-25
-0.00024	0.00205	2.42259e-22
-0.0002336	0.00205	2.0498e-20
-0.0002272	0.00205	4.59871e-19
-0.0002208	0.00205	5.56316e-18
-0.0002144	0.00205	5.17727e-17
-0.000208	0.00205	2.04222e-16
-0.0002016	0.00205	2.55747e-16
-0.0001952	0.00205	1.32139e-16
-0.0001888	0.00205	8.53286e-17
-0.0001824	0.00205	7.4637e-17
-0.000176	0.00205	1.69213e-17
-0.0001696	0.00205	2.78393e-18
-0.0001632	0.00205	5.75586e-20
-0.0001568	0.00205	3.5448e-22
-0.0001504	0.00205	6.61653e-29
-0.000144	0.00205	0
-0.0001376	0.00205	0
-0.0001312	0.00205	0
-0.0001248	0.00205	0
-0.0001184	0.00205	0
-0.000112	0.00205	0
-0.0001056	0.00205	0
-9.92e-05	0.00205	0
-9.28e-05	0.00205	0
-8.64e-05	0.00205	0
-8e-05	0.00205	0
-7.36e-05	0.00205	0
-6.72e-05	0.00205	0
-6.08e-05	0.00205	0
-5.44e-05	0.00205	0
-4.8e-05	0.00205	0
-4.16e-05	0.00205	0
-3.52e-05	0.00205	0
-2.88e-05	0.00205	0
-2.24e-05	0.00205	0
-1.6e-05	0.00205	0
-9.6e-06	0.00205	0
-3.2e-06	0.00205	0
-0.0003168	0.00615	0
-0.0003104	0.00615	0
-0.000304	0.00615	0
-0.0002976	0.00615	0
-0.0002912	0.00615	0
-0.0002848	0.00615	0
-0.0002784	0.00615	0
-0.000272	0.00615	0
-0.0002656	0.00615	8.90965e-38
-0.0002592	0.00615	1.0314e-31
-0.0002528	0.00615	2.86695e-27
-0.0002464	0.00615	6.8855e-24
-0.00024	0.00615	2.32392e-21
-0.0002336	0.00615	1.14494e-19
-0.0002272	0.00615	2.85733e-18
-0.0002208	0.00615	7.08306e-17
-0.0002144	0.00615	3.28802e-16
-0.000208	0.00615	7.53448e-16
-0.0002016	0.00615	1.79132e-15
-0.0001952	0.00615	2.86709e-15
-0.0001888	0.00615	2.20749e-15
-0.0001824	0.00615	8.53231e-16
-0.000176	0.00615	1.21437e-16
-0.0001696	0.00615	1.02715e-17
-0.0001632	0.00615	4.97996e-19
-0.0001568	0.00615	7.07592e-21
-0.0001504	0.00615	1.01825e-24
-0.000144	0.00615	0
-0.0001376	0.00615	0
-0.0001312	0.00615	0
-0.0001248	0.00615	0
-0.0001184	0.00615	0
-0.000112	0.00615	0
-0.0001056	0.00615	0
-9.92e-05	0.00615	0
-9.28e-05	0.00615	0
-8.64e-05	0.00615	0
-8e-05	0.00615	0
-7.36e-05	0.00615	0
-6.72e-05	0.00615	0
-6.08e-05	0.00615	0
-5.44e-05	0.00615	0
-4.8e-05	0.00615	0
-4.16e-05	0.00615	0
-3.52e-05	0.00615	0
-2.88e-05	0.00615	0
-2.24e-05	0.00615	0
-1.6e-05	0.00615	0
-9.6e-06	0.00615	0
-3.2e-06	0.00615	0
-0.0003168	0.01025	0
-0.0003104	0.01025	0
-0.000304	0.01025	0
-0.0002976	0.01025	0
-0.0002912	0.01025	0
-0.0002848	0.01025	0
-0.0002784	0.01025	0
-0.000272	0.01025	0
-0.0002656	0.01025	1.06781e-36
-0.0002592	0.01025	8.02007e-31
-0.0002528	0.01025	2.1833e-26
-0.0002464	0.01025	2.8614e-23
-0.00024	0.01025	1.12604e-20
-0.0002336	0.01025	7.56204e-19
-0.0002272	0.01025	2.14631e-17
-0.0002208	0.01025	3.68521e-16
-0.0002144	0.01025	2.02848e-15
-0.000208	0.01025	6.40339e-15
-0.0002016	0.01025	1.50728e-14
-0.0001952	0.01025	2.24266e-14
-0.0001888	0.01025	1.43641e-14
-0.0001824	0.01025	5.21611e-15
-0.000176	0.01025	9.24529e-16
-0.0001696	0.01025	8.0949e-17
-0.0001632	0.01025	3.29783e-18
-0.0001568	0.01025	4.80848e-20
-0.0001504	0.01025	1.489e-22
-0.000144	0.01025	0
-0.0001376	0.01025	0
-0.0001312	0.01025	0
-0.0001248	0.01025	0
-0.0001184	0.01025	0
-0.000112	0.01025	0
-0.0001056	0.01025	0
-9.92e-05	0.01025	0
-9.28e-05	0.01025	0
-8.64e-05	0.01025	0
-8e-05	0.01025	0
-7.36e-05	0.01025	0
-6.72e-05	0.01025	0
-6.08e-05	0.01025	0
-5.44e-05	0.01025	0
-4.8e-05	0.01025	0
-4.16e-05	0.01025	0
-3.52e-05	0.01025	0
-2.88e-05	0.01025	0
-2.24e-05	0.01025	0
-1.6e-05	0.01025	0
-9.6e-06	0.01025	0
-3.2e-06	0.01025	0
-0.0003168	0.01435	0
-0.0003104	0.01435	0
-0.000304	0.01435	0
-0.0002976	0.01435	0
-0.0002912	0.01435	0
-0.0002848	0.01435	0
-0.0002784	0.01435	0
-0.000272	0.01435	0
-0.0002656	0.01435	7.70075e-36
-0.0002592	0.01435	6.67953e-30
-0.0002528	0.01435	4.33073e-26
-0.0002464	0.01435	1.01524e-22
-0.00024	0.01435	6.12542e-20
-0.0002336	0.01435	5.54396e-18
-0.0002272	0.01435	1.98382e-16
-0.0002208	0.01435	2.52458e-15
-0.0002144	0.01435	1.58004e-14
-0.000208	0.01435	6.50749e-14
-0.0002016	0.01435	1.12656e-13
-0.0001952	0.01435	1.10453e-13
-0.0001888	0.01435	5.03274e-14
-0.0001824	0.01435	2.09393e-14
-0.000176	0.01435	7.99699e-15
-0.0001696	0.01435	7.73957e-16
-0.0001632	0.01435	7.31398e-17
-0.0001568	0.01435	2.00514e-18
-0.0001504	0.01435	1.91988e-20
-0.000144	0.01435	0
-0.0001376	0.01435	0
-0.0001312	0.01435	0
-0.0001248	0.01435	0
-0.0001184	0.01435	0
-0.000112	0.01435	0
-0.0001056	0.01435	0
-9.92e-05	0.01435	0
-9.28e-05	0.01435	0
-8.64e-05	0.01435	0
-8e-05	0.01435	0
-7.36e-05	0.01435	0
-6.72e-05	0.01435	0
-6.08e-05	0.01435	0
-5.44e-05	0.01435	0
-4.8e-05	0.01435	0
-4.16e-05	0.01435	0
-3.52e-05	0.01435	0
-2.88e-05	0.01435	0
-2.24e-05	0.01435	0
-1.6e-05	0.01435	0
-9.6e-06	0.01435	0
-3.2e-06	0.01435	0
-0.0003168	0.01845	0
-0.0003104	0.01845	0
-0.000304	0.01845	0
-0.0002976	0.01845	0
-0.0002912	0.01845	0
-0.0002848	0.01845	0
-0.0002784	0.01845	0
-0.000272	0.01845	1.19176e-42
-0.0002656	0.01845	5.76534e-35
-0.0002592	0.01845	1.98823e-29
-0.0002528	0.01845	4.20493e-25
-0.0002464	0.01845	7.77449e-22
-0.00024	0.01845	3.19114e-19
-0.0002336	0.01845	2.50685e-17
-0.0002272	0.01845	6.8415e-16
-0.0002208	0.01845	1.10518e-14
-0.0002144	0.01845	1.14058e-13
-0.000208	0.01845	4.28993e-13
-0.0002016	0.01845	4.11224e-13
-0.0001952	0.01845	5.4415e-13
-0.0001888	0.01845	5.26995e-13
-0.0001824	0.01845	1.8813e-13
-0.000176	0.01845	6.56732e-14
-0.0001696	0.01845	1.32852e-14
-0.0001632	0.01845	6.20939e-16
-0.0001568	0.01845	1.31979e-17
-0.0001504	0.01845	1.60196e-19
-0.000144	0.01845	0
-0.0001376	0.01845	0
-0.0001312	0.01845	0
-0.0001248	0.01845	0
-0.0001184	0.01845	0
-0.000112	0.01845	0
-0.0001056	0.01845	0
-9.92e-05	0.01845	0
-9.28e-05	0.01845	0
-8.64e-05	0.01845	0
-8e-05	0.01845	0
-7.36e-05	0.01845	0
-6.72e-05	0.01845	0
-6.08e-05	0.01845	0
-5.44e-05	0.01845	0
-4.8e-05	0.01845	0
-4.16e-05	0.01845	0
-3.52e-05	0.01845	0
-2.88e-05	0.01845	0
-2.24e-05	0.01845	0
-1.6e-05	0.01845	0
-9.6e-06	0.01845	0
-3.2e-06	0.01845	0
-0.0003168	0.02255	0
-0.0003104	0.02255	0
-0.000304	0.02255	0
-0.0002976	0.02255	0
-0.0002912	0.02255	0
-0.0002848	0.02255	0
-0.0002784	0.02255	0
-0.000272	0.02255	5.21172e-41
-0.0002656	0.02255	3.40924e-33
-0.0002592	0.02255	1.52377e-28
-0.0002528	0.02255	3.99179e-24
-0.0002464	0.02255	5.31214e-21
-0.00024	0.02255	7.77674e-19
-0.0002336	0.02255	1.13292e-16
-0.0002272	0.02255	5.45674e-15
-0.0002208	0.02255	4.80763e-14
-0.0002144	0.02255	3.13889e-13
-0.000208	0.02255	1.52525e-12
-0.0002016	0.02255	3.51299e-12
-0.0001952	0.02255	4.86751e-12
-0.0001888	0.02255	5.09481e-12
-0.0001824	0.02255	2.79444e-12
-0.000176	0.02255	4.65361e-13
-0.0001696	0.02255	6.22286e-14
-0.0001632	0.02255	5.68992e-15
-0.0001568	0.02255	1.34945e-16
-0.0001504	0.02255	1.51217e-18
-0.000144	0.02255	0
-0.0001376	0.02255	0
-0.0001312	0.02255	0
-0.0001248	0.02255	0
-0.0001184	0.02255	0
-0.000112	0.02255	0
-0.0001056	0.02255	0
-9.92e-05	0.02255	0
-9.28e-05	0.02255	0
-8.64e-05	0.02255	0
-8e-05	0.02255	0
-7.36e-05	0.02255	0
-6.72e-05	0.02255	0
-6.08e-05	0.02255	0
-5.44e-05	0.02255	0
-4.8e-05	0.02255	0
-4.16e-05	0.02255	0
-3.52e-05	0.02255	0
-2.88e-05	0.02255	0
-2.24e-05	0.02255	0
-1.6e-05	0.02255	0
-9.6e-06	0.02255	0
-3.2e-06	0.02255	0
-0.0003168	0.02665	0
-0.0003104	0.02665	0
-0.000304	0.02665	0
-0.0002976	0.02665	0
-0.0002912	0.02665	0
-0.0002848	0.02665	0
-0.0002784	0.02665	0
-0.000272	0.02665	2.49177e-39
-0.0002656	0.02665	9.8389e-33
-0.0002592	0.02665	8.72652e-28
-0.0002528	0.02665	2.27131e-23
-0.0002464	0.02665	1.17627e-20
-0.00024	0.02665	4.37651e-18
-0.0002336	0.02665	4.52382e-16
-0.0002272	0.02665	1.87931e-14
-0.0002208	0.02665	4.31761e-13
-0.0002144	0.02665	2.43851e-12
-0.000208	0.02665	6.72898e-12
-0.0002016	0.02665	2.19915e-11
-0.0001952	0.02665	3.42578e-11
-0.0001888	0.02665	2.67949e-11
-0.0001824	0.02665	1.79816e-11
-0.000176	0.02665	3.84481e-12
-0.0001696	0.02665	6.70605e-13
-0.0001632	0.02665	6.01631e-14
-0.0001568	0.02665	2.23519e-15
-0.0001504	0.02665	2.82211e-17
-0.000144	0.02665	3.83708e-22
-0.0001376	0.02665	0
-0.0001312	0.02665	0
-0.0001248	0.02665	0
-0.0001184	0.02665	0
-0.000112	0.02665	0
-0.0001056	0.02665	0
-9.92e-05	0.02665	0
-9.28e-05	0.02665	0
-8.64e-05	0.02665	0
-8e-05	0.02665	0
-7.36e-05	0.02665	0
-6.72e-05	0.02665	0
-6.08e-05	0.02665	0
-5.44e-05	0.02665	0
-4.8e-05	0.02665	0
-4.16e-05	0.02665	0
-3.52e-05	0.02665	0
-2.88e-05	0.02665	0
-2.24e-05	0.02665	0
-1.6e-05	0.02665	0
-9.6e-06	0.02665	0
-3.2e-06	0.02665	0
-0.0003168	0.03075	0
-0.0003104	0.03075	0
-0.000304	0.03075	0
-0.0002976	0.03075	0
-0.0002912	0.03075	0
-0.0002848	0.03075	0
-0.0002784	0.03075	0
-0.000272	0.03075	1.77577e-38
-0.0002656	0.03075	3.23967e-32
-0.0002592	0.03075	5.0027e-27
-0.0002528	0.03075	5.89899e-23
-0.0002464	0.03075	9.99119e-20
-0.00024	0.03075	3.19203e-17
-0.0002336	0.03075	3.00912e-15
-0.0002272	0.03075	1.05186e-13
-0.0002208	0.03075	1.65029e-12
-0.0002144	0.03075	1.65668e-11
-0.000208	0.03075	6.51939e-11
-0.0002016	0.03075	1.57948e-10
-0.0001952	0.03075	1.56589e-10
-0.0001888	0.03075	1.21776e-10
-0.0001824	0.03075	4.90496e-11
-0.000176	0.03075	2.77011e-11
-0.0001696	0.03075	1.02111e-11
-0.0001632	0.03075	1.12532e-12
-0.0001568	0.03075	2.11166e-14
-0.0001504	0.03075	3.36987e-16
-0.000144	0.03075	1.44491e-18
-0.0001376	0.03075	0
-0.0001312	0.03075	0
-0.0001248	0.03075	0
-0.0001184	0.03075	0
-0.000112	0.03075	0
-0.0001056	0.03075	0
