#gamma	theta_0	probability

2.63062e-05	0.000463168	0
2.63186e-05	0.000463168	0
2.6331e-05	0.000463168	0
2.63434e-05	0.000463168	0
2.63558e-05	0.000463168	0
2.63682e-05	0.000463168	0
2.63806e-05	0.000463168	0
2.6393e-05	0.000463168	0
2.64054e-05	0.000463168	0
2.64178e-05	0.000463168	0
2.64302e-05	0.000463168	0
2.64426e-05	0.000463168	0
2.6455e-05	0.000463168	0
2.64674e-05	0.000463168	0
2.64798e-05	0.000463168	0
2.64922e-05	0.000463168	0
2.65046e-05	0.000463168	0
2.6517e-05	0.000463168	0
2.65294e-05	0.000463168	0
2.65418e-05	0.000463168	0
2.65542e-05	0.000463168	0
2.65666e-05	0.000463168	0
2.6579e-05	0.000463168	0
2.65914e-05	0.000463168	0
2.66038e-05	0.000463168	0
2.66162e-05	0.000463168	0
2.66286e-05	0.000463168	0
2.6641e-05	0.000463168	0
2.66534e-05	0.000463168	0
2.66658e-05	0.000463168	0
2.66782e-05	0.000463168	0
2.66906e-05	0.000463168	0
2.6703e-05	0.000463168	0
2.67154e-05	0.000463168	0
2.67278e-05	0.000463168	0
2.67402e-05	0.000463168	0
2.67526e-05	0.000463168	0
2.6765e-05	0.000463168	0
2.67774e-05	0.000463168	0
2.67898e-05	0.000463168	0
2.68022e-05	0.000463168	0
2.68146e-05	0.000463168	0
2.6827e-05	0.000463168	0
2.68394e-05	0.000463168	0
2.68518e-05	0.000463168	0
2.68642e-05	0.000463168	0
2.68766e-05	0.000463168	0
2.6889e-05	0.000463168	0
2.69014e-05	0.000463168	0
2.69138e-05	0.000463168	0
2.69262e-05	0.000463168	0
2.69386e-05	0.000463168	0
2.6951e-05	0.000463168	0
2.69634e-05	0.000463168	0
2.69758e-05	0.000463168	0
2.69882e-05	0.000463168	0
2.70006e-05	0.000463168	0
2.7013e-05	0.000463168	0
2.70254e-05	0.000463168	0
2.70378e-05	0.000463168	0
2.70502e-05	0.000463168	0
2.70626e-05	0.000463168	0
2.7075e-05	0.000463168	0
2.70874e-05	0.000463168	0
2.70998e-05	0.000463168	0
2.71122e-05	0.000463168	0
2.71246e-05	0.000463168	0
2.7137e-05	0.000463168	0
2.71494e-05	0.000463168	0
2.71618e-05	0.000463168	0
2.71742e-05	0.000463168	0
