#theta_0	N_0	probability

0.000463168	0.290478	0
0.000464704	0.290478	0
0.00046624	0.290478	0
0.000467776	0.290478	0.00143929
0.000469312	0.290478	0.0339653
0.000470848	0.290478	0.0967025
0.000472384	0.290478	0.104532
0.00047392	0.290478	2.53203
0.000475456	0.290478	15.1594
0.000476992	0.290478	286
0.000478528	0.290478	317.697
0.000480064	0.290478	1.60651e-05
0.0004816	0.290478	0
0.000483136	0.290478	31.7711
0.000484672	0.290478	0.0136264
0.000486208	0.290478	0
0.000487744	0.290478	0
0.00048928	0.290478	0
0.000490816	0.290478	0
0.000492352	0.290478	0
0.000493888	0.290478	0
0.000495424	0.290478	0
0.00049696	0.290478	0
0.000498496	0.290478	0
0.000500032	0.290478	0
0.000501568	0.290478	0
0.000503104	0.290478	0
0.00050464	0.290478	0
0.000506176	0.290478	0
0.000507712	0.290478	0
0.000509248	0.290478	0
0.000510784	0.290478	0
0.00051232	0.290478	0
0.000513856	0.290478	0
0.000515392	0.290478	0
0.000516928	0.290478	0
0.000518464	0.290478	0
0.00052	0.290478	0
0.000521536	0.290478	0
0.000523072	0.290478	0
0.000524608	0.290478	0
0.000526144	0.290478	0
0.00052768	0.290478	0
0.000529216	0.290478	0
0.000530752	0.290478	0
0.000532288	0.290478	0
0.000533824	0.290478	0
0.00053536	0.290478	0
0.000536896	0.290478	0
0.000538432	0.290478	0
0.000463168	0.291435	0
0.000464704	0.291435	0
0.00046624	0.291435	0
0.000467776	0.291435	0.00104876
0.000469312	0.291435	0.00237159
0.000470848	0.291435	0.729695
0.000472384	0.291435	0.0519087
0.00047392	0.291435	3.80975
0.000475456	0.291435	25.3218
0.000476992	0.291435	271.331
0.000478528	0.291435	2849.15
0.000480064	0.291435	4679.97
0.0004816	0.291435	4120.8
0.000483136	0.291435	55.1044
0.000484672	0.291435	134.357
0.000486208	0.291435	326.321
0.000487744	0.291435	0.183063
0.00048928	0.291435	0
0.000490816	0.291435	0
0.000492352	0.291435	0
0.000493888	0.291435	0
0.000495424	0.291435	0
0.00049696	0.291435	0
0.000498496	0.291435	0
0.000500032	0.291435	0
0.000501568	0.291435	0
0.000503104	0.291435	0
0.00050464	0.291435	0
0.000506176	0.291435	0
0.000507712	0.291435	0
0.000509248	0.291435	0
0.000510784	0.291435	0
0.00051232	0.291435	0
0.000513856	0.291435	0
0.000515392	0.291435	0
0.000516928	0.291435	0
0.000518464	0.291435	0
0.00052	0.291435	0
0.000521536	0.291435	0
0.000523072	0.291435	0
0.000524608	0.291435	0
0.000526144	0.291435	0
0.00052768	0.291435	0
0.000529216	0.291435	0
0.000530752	0.291435	0
0.000532288	0.291435	0
0.000533824	0.291435	0
0.00053536	0.291435	0
0.000536896	0.291435	0
0.000538432	0.291435	0
0.000463168	0.292392	0
0.000464704	0.292392	0
0.00046624	0.292392	0
0.000467776	0.292392	0
0.000469312	0.292392	0.000467627
0.000470848	0.292392	0.0961815
0.000472384	0.292392	0.0794086
0.00047392	0.292392	2.15809
0.000475456	0.292392	10.3796
0.000476992	0.292392	228.428
0.000478528	0.292392	288.612
0.000480064	0.292392	4550.64
0.0004816	0.292392	3902.85
0.000483136	0.292392	9629.87
0.000484672	0.292392	4285.5
0.000486208	0.292392	5227.45
0.000487744	0.292392	10492.8
0.00048928	0.292392	8073.32
0.000490816	0.292392	0.00419923
0.000492352	0.292392	0
0.000493888	0.292392	2.47757
0.000495424	0.292392	0
0.00049696	0.292392	0
0.000498496	0.292392	0
0.000500032	0.292392	0
0.000501568	0.292392	0
0.000503104	0.292392	0
0.00050464	0.292392	0
0.000506176	0.292392	0
0.000507712	0.292392	0
0.000509248	0.292392	0
0.000510784	0.292392	0
0.00051232	0.292392	0
0.000513856	0.292392	0
0.000515392	0.292392	0
0.000516928	0.292392	0
0.000518464	0.292392	0
0.00052	0.292392	0
0.000521536	0.292392	0
0.000523072	0.292392	0
0.000524608	0.292392	0
0.000526144	0.292392	0
0.00052768	0.292392	0
0.000529216	0.292392	0
0.000530752	0.292392	0
0.000532288	0.292392	0
0.000533824	0.292392	0
0.00053536	0.292392	0
0.000536896	0.292392	0
0.000538432	0.292392	0
0.000463168	0.293349	0
0.000464704	0.293349	0
0.00046624	0.293349	0
0.000467776	0.293349	0
0.000469312	0.293349	0.00587662
0.000470848	0.293349	0.000997081
0.000472384	0.293349	0.0884424
0.00047392	0.293349	0.0250059
0.000475456	0.293349	11.2372
0.000476992	0.293349	130.904
0.000478528	0.293349	238.435
0.000480064	0.293349	1304.05
0.0004816	0.293349	1675.9
0.000483136	0.293349	5602.14
0.000484672	0.293349	18114.3
0.000486208	0.293349	8377.96
0.000487744	0.293349	16926.4
0.00048928	0.293349	3629.53
0.000490816	0.293349	2501.74
0.000492352	0.293349	584.131
0.000493888	0.293349	8.27766
0.000495424	0.293349	0.00701276
0.00049696	0.293349	0.00429989
0.000498496	0.293349	0
0.000500032	0.293349	0
0.000501568	0.293349	0
0.000503104	0.293349	0
0.00050464	0.293349	0
0.000506176	0.293349	0
0.000507712	0.293349	0
0.000509248	0.293349	0
0.000510784	0.293349	0
0.00051232	0.293349	0
0.000513856	0.293349	0
0.000515392	0.293349	0
0.000516928	0.293349	0
0.000518464	0.293349	0
0.00052	0.293349	0
0.000521536	0.293349	0
0.000523072	0.293349	0
0.000524608	0.293349	0
0.000526144	0.293349	0
0.00052768	0.293349	0
0.000529216	0.293349	0
0.000530752	0.293349	0
0.000532288	0.293349	0
0.000533824	0.293349	0
0.00053536	0.293349	0
0.000536896	0.293349	0
