#gamma	N_0	probability

2.61842e-05	0.254158	0
2.62003e-05	0.254158	0
2.62163e-05	0.254158	0
2.62323e-05	0.254158	0
2.62484e-05	0.254158	0
2.62644e-05	0.254158	0
2.62804e-05	0.254158	0
2.62965e-05	0.254158	0
2.63125e-05	0.254158	0
2.63286e-05	0.254158	0
2.63446e-05	0.254158	0
2.63606e-05	0.254158	0
2.63767e-05	0.254158	0
2.63927e-05	0.254158	0
2.64088e-05	0.254158	0
2.64248e-05	0.254158	0
2.64408e-05	0.254158	0
2.64569e-05	0.254158	0
2.64729e-05	0.254158	0
2.64889e-05	0.254158	0
2.6505e-05	0.254158	0
2.6521e-05	0.254158	0
2.65371e-05	0.254158	0
2.65531e-05	0.254158	0
2.65691e-05	0.254158	0
2.65852e-05	0.254158	0
2.66012e-05	0.254158	0
2.66172e-05	0.254158	0
2.66333e-05	0.254158	0
2.66493e-05	0.254158	0
2.66654e-05	0.254158	0
2.66814e-05	0.254158	0
2.66974e-05	0.254158	0
2.67135e-05	0.254158	0
2.67295e-05	0.254158	0
2.67455e-05	0.254158	0
2.67616e-05	0.254158	0
2.67776e-05	0.254158	0
2.67937e-05	0.254158	0
2.68097e-05	0.254158	0
2.68257e-05	0.254158	0
2.68418e-05	0.254158	0
2.68578e-05	0.254158	0
2.68739e-05	0.254158	0
2.68899e-05	0.254158	0
2.69059e-05	0.254158	0
2.6922e-05	0.254158	0
2.6938e-05	0.254158	0
2.6954e-05	0.254158	0
2.69701e-05	0.254158	0
2.69861e-05	0.254158	0
2.70022e-05	0.254158	0
2.70182e-05	0.254158	0
2.70342e-05	0.254158	0
2.70503e-05	0.254158	0
2.70663e-05	0.254158	0
2.70823e-05	0.254158	0
2.70984e-05	0.254158	0
2.71144e-05	0.254158	0
2.71305e-05	0.254158	0
2.71465e-05	0.254158	0
2.71625e-05	0.254158	0
2.71786e-05	0.254158	0
2.71946e-05	0.254158	0
2.72107e-05	0.254158	0
2.72267e-05	0.254158	0
2.72427e-05	0.254158	0
2.72588e-05	0.254158	0
2.72748e-05	0.254158	0
2.72908e-05	0.254158	0
2.73069e-05	0.254158	0
2.73229e-05	0.254158	0
2.7339e-05	0.254158	0
2.7355e-05	0.254158	0
2.7371e-05	0.254158	0
2.73871e-05	0.254158	0
2.74031e-05	0.254158	0
2.74191e-05	0.254158	0
2.74352e-05	0.254158	0
