#theta_0	N_0	probability

0.00023456	0.254158	0
0.00023968	0.254158	0
0.0002448	0.254158	0
0.00024992	0.254158	0
0.00025504	0.254158	0
0.00026016	0.254158	0
0.00026528	0.254158	0
0.0002704	0.254158	0
0.00027552	0.254158	0
0.00028064	0.254158	0
0.00028576	0.254158	0
0.00029088	0.254158	0
0.000296	0.254158	0
0.00030112	0.254158	0
0.00030624	0.254158	0
0.00031136	0.254158	0
0.00031648	0.254158	0
0.0003216	0.254158	0
0.00032672	0.254158	0
0.00033184	0.254158	0
0.00033696	0.254158	0
0.00034208	0.254158	0
0.0003472	0.254158	0
0.00035232	0.254158	0
0.00035744	0.254158	0
0.00036256	0.254158	0
0.00036768	0.254158	0
0.0003728	0.254158	0
0.00037792	0.254158	0
0.00038304	0.254158	0
0.00038816	0.254158	0
0.00039328	0.254158	0
0.0003984	0.254158	0
0.00040352	0.254158	0
0.00040864	0.254158	0
0.00041376	0.254158	0
0.00041888	0.254158	0
0.000424	0.254158	0
0.00042912	0.254158	0
0.00043424	0.254158	0
0.00043936	0.254158	0
0.00044448	0.254158	0
0.0004496	0.254158	0
0.00045472	0.254158	0
0.00045984	0.254158	0
0.00046496	0.254158	0
0.00047008	0.254158	0
0.0004752	0.254158	0
0.00048032	0.254158	0
0.00048544	0.254158	0
0.00023456	0.256874	0
0.00023968	0.256874	2.09456e-12
0.0002448	0.256874	1.24416e-10
0.00024992	0.256874	5.26452e-10
0.00025504	0.256874	0
0.00026016	0.256874	0
0.00026528	0.256874	0
0.0002704	0.256874	0
0.00027552	0.256874	0
0.00028064	0.256874	0
0.00028576	0.256874	0
0.00029088	0.256874	0
0.000296	0.256874	0
0.00030112	0.256874	0
0.00030624	0.256874	0
0.00031136	0.256874	0
0.00031648	0.256874	0
0.0003216	0.256874	0
0.00032672	0.256874	0
0.00033184	0.256874	0
0.00033696	0.256874	0
0.00034208	0.256874	0
0.0003472	0.256874	0
0.00035232	0.256874	0
0.00035744	0.256874	0
0.00036256	0.256874	0
0.00036768	0.256874	0
0.0003728	0.256874	0
0.00037792	0.256874	0
0.00038304	0.256874	0
0.00038816	0.256874	0
0.00039328	0.256874	0
0.0003984	0.256874	0
0.00040352	0.256874	0
0.00040864	0.256874	0
0.00041376	0.256874	0
0.00041888	0.256874	0
0.000424	0.256874	0
0.00042912	0.256874	0
0.00043424	0.256874	0
0.00043936	0.256874	0
0.00044448	0.256874	0
0.0004496	0.256874	0
0.00045472	0.256874	0
0.00045984	0.256874	0
0.00046496	0.256874	0
0.00047008	0.256874	0
0.0004752	0.256874	0
0.00048032	0.256874	0
0.00048544	0.256874	0
0.00023456	0.25959	0
0.00023968	0.25959	1.46697e-13
0.0002448	0.25959	2.14325e-10
0.00024992	0.25959	4.43409e-08
0.00025504	0.25959	2.6901e-07
0.00026016	0.25959	2.31089e-09
0.00026528	0.25959	2.33842e-10
0.0002704	0.25959	0
0.00027552	0.25959	0
0.00028064	0.25959	0
0.00028576	0.25959	0
0.00029088	0.25959	0
0.000296	0.25959	0
0.00030112	0.25959	0
0.00030624	0.25959	0
0.00031136	0.25959	0
0.00031648	0.25959	0
0.0003216	0.25959	0
0.00032672	0.25959	0
0.00033184	0.25959	0
0.00033696	0.25959	0
0.00034208	0.25959	0
0.0003472	0.25959	0
0.00035232	0.25959	0
0.00035744	0.25959	0
0.00036256	0.25959	0
0.00036768	0.25959	0
0.0003728	0.25959	0
0.00037792	0.25959	0
0.00038304	0.25959	0
0.00038816	0.25959	0
0.00039328	0.25959	0
0.0003984	0.25959	0
0.00040352	0.25959	0
0.00040864	0.25959	0
0.00041376	0.25959	0
0.00041888	0.25959	0
0.000424	0.25959	0
0.00042912	0.25959	0
0.00043424	0.25959	0
0.00043936	0.25959	0
0.00044448	0.25959	0
0.0004496	0.25959	0
0.00045472	0.25959	0
0.00045984	0.25959	0
0.00046496	0.25959	0
0.00047008	0.25959	0
0.0004752	0.25959	0
0.00048032	0.25959	0
0.00048544	0.25959	0
0.00023456	0.262306	0
0.00023968	0.262306	0
0.0002448	0.262306	7.57783e-10
0.00024992	0.262306	2.42628e-08
0.00025504	0.262306	1.21124e-06
0.00026016	0.262306	2.06021e-05
0.00026528	0.262306	9.42053e-06
0.0002704	0.262306	2.22199e-06
0.00027552	0.262306	8.16287e-10
0.00028064	0.262306	8.61065e-12
0.00028576	0.262306	0
0.00029088	0.262306	0
0.000296	0.262306	0
0.00030112	0.262306	0
0.00030624	0.262306	0
0.00031136	0.262306	0
0.00031648	0.262306	0
0.0003216	0.262306	0
0.00032672	0.262306	0
0.00033184	0.262306	0
0.00033696	0.262306	0
0.00034208	0.262306	0
0.0003472	0.262306	0
0.00035232	0.262306	0
0.00035744	0.262306	0
0.00036256	0.262306	0
0.00036768	0.262306	0
0.0003728	0.262306	0
0.00037792	0.262306	0
0.00038304	0.262306	0
0.00038816	0.262306	0
0.00039328	0.262306	0
0.0003984	0.262306	0
0.00040352	0.262306	0
0.00040864	0.262306	0
0.00041376	0.262306	0
0.00041888	0.262306	0
0.000424	0.262306	0
0.00042912	0.262306	0
0.00043424	0.262306	0
0.00043936	0.262306	0
0.00044448	0.262306	0
0.0004496	0.262306	0
0.00045472	0.262306	0
0.00045984	0.262306	0
0.00046496	0.262306	0
0.00047008	0.262306	0
0.0004752	0.262306	0
0.00048032	0.262306	0
0.00048544	0.262306	0
0.00023456	0.265022	0
0.00023968	0.265022	0
0.0002448	0.265022	1.4328e-09
0.00024992	0.265022	1.41607e-08
0.00025504	0.265022	6.41864e-06
0.00026016	0.265022	7.30873e-05
0.00026528	0.265022	0.000162169
0.0002704	0.265022	0.000817788
0.00027552	0.265022	0.000728804
0.00028064	0.265022	6.22789e-06
0.00028576	0.265022	3.57091e-08
0.00029088	0.265022	1.99673e-11
0.000296	0.265022	2.32957e-14
0.00030112	0.265022	0
0.00030624	0.265022	0
0.00031136	0.265022	0
0.00031648	0.265022	0
0.0003216	0.265022	0
0.00032672	0.265022	0
0.00033184	0.265022	0
0.00033696	0.265022	0
0.00034208	0.265022	0
0.0003472	0.265022	0
0.00035232	0.265022	0
0.00035744	0.265022	0
0.00036256	0.265022	0
0.00036768	0.265022	0
0.0003728	0.265022	0
0.00037792	0.265022	0
0.00038304	0.265022	0
0.00038816	0.265022	0
0.00039328	0.265022	0
0.0003984	0.265022	0
0.00040352	0.265022	0
0.00040864	0.265022	0
0.00041376	0.265022	0
0.00041888	0.265022	0
0.000424	0.265022	0
0.00042912	0.265022	0
0.00043424	0.265022	0
0.00043936	0.265022	0
0.00044448	0.265022	0
0.0004496	0.265022	0
0.00045472	0.265022	0
0.00045984	0.265022	0
0.00046496	0.265022	0
0.00047008	0.265022	0
0.0004752	0.265022	0
0.00048032	0.265022	0
0.00048544	0.265022	0
0.00023456	0.267738	0
0.00023968	0.267738	0
0.0002448	0.267738	3.97403e-09
0.00024992	0.267738	3.23955e-08
0.00025504	0.267738	9.79039e-06
0.00026016	0.267738	4.81841e-05
0.00026528	0.267738	0.00088828
0.0002704	0.267738	0.00215795
0.00027552	0.267738	0.00461566
0.00028064	0.267738	0.00826972
0.00028576	0.267738	0.000990679
0.00029088	0.267738	0.000145513
0.000296	0.267738	2.64426e-07
0.00030112	0.267738	3.01085e-10
0.00030624	0.267738	1.0156e-13
0.00031136	0.267738	1.02607e-19
0.00031648	0.267738	0
0.0003216	0.267738	0
0.00032672	0.267738	0
0.00033184	0.267738	0
0.00033696	0.267738	0
0.00034208	0.267738	0
0.0003472	0.267738	0
0.00035232	0.267738	0
0.00035744	0.267738	0
0.00036256	0.267738	0
0.00036768	0.267738	0
0.0003728	0.267738	0
0.00037792	0.267738	0
0.00038304	0.267738	0
0.00038816	0.267738	0
0.00039328	0.267738	0
0.0003984	0.267738	0
0.00040352	0.267738	0
0.00040864	0.267738	0
0.00041376	0.267738	0
0.00041888	0.267738	0
0.000424	0.267738	0
0.00042912	0.267738	0
0.00043424	0.267738	0
0.00043936	0.267738	0
0.00044448	0.267738	0
0.0004496	0.267738	0
0.00045472	0.267738	0
0.00045984	0.267738	0
0.00046496	0.267738	0
0.00047008	0.267738	0
0.0004752	0.267738	0
0.00048032	0.267738	0
0.00048544	0.267738	0
0.00023456	0.270454	0
0.00023968	0.270454	0
0.0002448	0.270454	3.30513e-09
0.00024992	0.270454	2.17076e-08
0.00025504	0.270454	4.52155e-05
0.00026016	0.270454	8.77592e-05
0.00026528	0.270454	0.00108067
0.0002704	0.270454	0.00646653
0.00027552	0.270454	0.0241472
0.00028064	0.270454	0.0272537
0.00028576	0.270454	0.0435704
0.00029088	0.270454	0.0253293
0.000296	0.270454	0.00682552
0.00030112	0.270454	9.01335e-05
0.00030624	0.270454	2.31987e-07
0.00031136	0.270454	2.16862e-09
0.00031648	0.270454	2.13882e-13
0.0003216	0.270454	7.18027e-17
0.00032672	0.270454	3.77976e-22
0.00033184	0.270454	0
0.00033696	0.270454	0
0.00034208	0.270454	0
0.0003472	0.270454	0
0.00035232	0.270454	0
0.00035744	0.270454	0
0.00036256	0.270454	0
0.00036768	0.270454	0
0.0003728	0.270454	0
0.00037792	0.270454	0
0.00038304	0.270454	0
0.00038816	0.270454	0
0.00039328	0.270454	0
0.0003984	0.270454	0
0.00040352	0.270454	0
0.00040864	0.270454	0
0.00041376	0.270454	0
0.00041888	0.270454	0
0.000424	0.270454	0
0.00042912	0.270454	0
0.00043424	0.270454	0
0.00043936	0.270454	0
0.00044448	0.270454	0
0.0004496	0.270454	0
0.00045472	0.270454	0
0.00045984	0.270454	0
0.00046496	0.270454	0
0.00047008	0.270454	0
0.0004752	0.270454	0
0.00048032	0.270454	0
0.00048544	0.270454	0
0.00023456	0.27317	0
0.00023968	0.27317	0
0.0002448	0.27317	3.25649e-08
0.00024992	0.27317	1.82404e-08
0.00025504	0.27317	8.45852e-05
0.00026016	0.27317	0.000477529
0.00026528	0.27317	0.00198211
0.0002704	0.27317	0.0100204
0.00027552	0.27317	0.0409097
0.00028064	0.27317	0.110442
0.00028576	0.27317	0.149677
0.00029088	0.27317	0.203294
0.000296	0.27317	0.16366
0.00030112	0.27317	0.0377293
0.00030624	0.27317	0.00337943
0.00031136	0.27317	4.6883e-05
0.00031648	0.27317	6.82796e-07
0.0003216	0.27317	6.6296e-10
0.00032672	0.27317	2.19948e-12
0.00033184	0.27317	4.64333e-17
0.00033696	0.27317	9.44371e-21
0.00034208	0.27317	0
0.0003472	0.27317	0
0.00035232	0.27317	0
0.00035744	0.27317	0
0.00036256	0.27317	0
0.00036768	0.27317	0
0.0003728	0.27317	0
0.00037792	0.27317	0
0.00038304	0.27317	0
0.00038816	0.27317	0
0.00039328	0.27317	0
0.0003984	0.27317	0
0.00040352	0.27317	0
0.00040864	0.27317	0
0.00041376	0.27317	0
0.00041888	0.27317	0
0.000424	0.27317	0
0.00042912	0.27317	0
0.00043424	0.27317	0
0.00043936	0.27317	0
0.00044448	0.27317	0
0.0004496	0.27317	0
0.00045472	0.27317	0
0.00045984	0.27317	0
0.00046496	0.27317	0
0.00047008	0.27317	0
0.0004752	0.27317	0
0.00048032	0.27317	0
0.00048544	0.27317	0
0.00023456	0.275886	0
0.00023968	0.275886	0
0.0002448	0.275886	5.2556e-10
0.00024992	0.275886	2.19186e-07
0.00025504	0.275886	3.45933e-05
0.00026016	0.275886	0.000298861
0.00026528	0.275886	0.0153225
0.0002704	0.275886	0.0857816
0.00027552	0.275886	0.0743328
0.00028064	0.275886	0.203387
0.00028576	0.275886	0.433985
0.00029088	0.275886	0.677706
0.000296	0.275886	0.740702
0.00030112	0.275886	0.658356
0.00030624	0.275886	0.164248
0.00031136	0.275886	0.0393927
0.00031648	0.275886	0.00146653
0.0003216	0.275886	4.90696e-05
0.00032672	0.275886	1.52048e-07
0.00033184	0.275886	1.57251e-09
0.00033696	0.275886	2.55172e-13
0.00034208	0.275886	1.96155e-16
0.0003472	0.275886	6.06813e-22
0.00035232	0.275886	5.524e-26
0.00035744	0.275886	0
0.00036256	0.275886	0
0.00036768	0.275886	0
0.0003728	0.275886	0
0.00037792	0.275886	0
0.00038304	0.275886	0
0.00038816	0.275886	0
0.00039328	0.275886	0
0.0003984	0.275886	0
0.00040352	0.275886	0
0.00040864	0.275886	0
0.00041376	0.275886	0
0.00041888	0.275886	0
0.000424	0.275886	0
0.00042912	0.275886	0
0.00043424	0.275886	0
0.00043936	0.275886	0
0.00044448	0.275886	0
0.0004496	0.275886	0
0.00045472	0.275886	0
0.00045984	0.275886	0
0.00046496	0.275886	0
0.00047008	0.275886	0
0.0004752	0.275886	0
0.00048032	0.275886	0
0.00048544	0.275886	0
0.00023456	0.278602	0
0.00023968	0.278602	0
0.0002448	0.278602	5.64355e-12
0.00024992	0.278602	3.33793e-07
0.00025504	0.278602	0.000340388
0.00026016	0.278602	0.00173725
0.00026528	0.278602	0.017901
0.0002704	0.278602	0.0670579
0.00027552	0.278602	0.347005
0.00028064	0.278602	0.497905
0.00028576	0.278602	1.15807
0.00029088	0.278602	1.52981
0.000296	0.278602	1.43517
0.00030112	0.278602	1.80731
0.00030624	0.278602	1.92319
0.00031136	0.278602	0.749489
0.00031648	0.278602	0.242685
0.0003216	0.278602	0.0153997
0.00032672	0.278602	0.00122342
0.00033184	0.278602	5.85339e-06
0.00033696	0.278602	1.20802e-07
0.00034208	0.278602	1.07394e-10
0.0003472	0.278602	3.13306e-13
0.00035232	0.278602	1.18898e-17
0.00035744	0.278602	7.91478e-21
0.00036256	0.278602	9.74896e-28
0.00036768	0.278602	4.01451e-32
0.0003728	0.278602	0
0.00037792	0.278602	0
0.00038304	0.278602	0
0.00038816	0.278602	0
0.00039328	0.278602	0
0.0003984	0.278602	0
0.00040352	0.278602	0
0.00040864	0.278602	0
0.00041376	0.278602	0
0.00041888	0.278602	0
0.000424	0.278602	0
0.00042912	0.278602	0
0.00043424	0.278602	0
0.00043936	0.278602	0
0.00044448	0.278602	0
0.0004496	0.278602	0
0.00045472	0.278602	0
0.00045984	0.278602	0
0.00046496	0.278602	0
0.00047008	0.278602	0
0.0004752	0.278602	0
0.00048032	0.278602	0
0.00048544	0.278602	0
0.00023456	0.281318	0
0.00023968	0.281318	0
0.0002448	0.281318	2.42914e-11
0.00024992	0.281318	9.61888e-07
0.00025504	0.281318	9.90793e-06
0.00026016	0.281318	0.00151875
0.00026528	0.281318	0.0518638
0.0002704	0.281318	0.315354
0.00027552	0.281318	0.342815
0.00028064	0.281318	0.95863
0.00028576	0.281318	2.58282
0.00029088	0.281318	3.32089
0.000296	0.281318	5.10848
0.00030112	0.281318	4.50723
0.00030624	0.281318	4.45802
0.00031136	0.281318	4.39195
0.00031648	0.281318	2.23698
0.0003216	0.281318	0.638416
0.00032672	0.281318	0.0644334
0.00033184	0.281318	0.00749751
0.00033696	0.281318	0.000135588
0.00034208	0.281318	3.12154e-06
0.0003472	0.281318	6.54083e-09
0.00035232	0.281318	5.31185e-11
0.00035744	0.281318	9.13046e-15
0.00036256	0.281318	1.15886e-17
0.00036768	0.281318	1.39296e-22
0.0003728	0.281318	9.12863e-27
0.00037792	0.281318	8.70921e-34
0.00038304	0.281318	3.60408e-39
0.00038816	0.281318	0
0.00039328	0.281318	0
0.0003984	0.281318	0
0.00040352	0.281318	0
0.00040864	0.281318	0
0.00041376	0.281318	0
0.00041888	0.281318	0
0.000424	0.281318	0
0.00042912	0.281318	0
0.00043424	0.281318	0
0.00043936	0.281318	0
0.00044448	0.281318	0
0.0004496	0.281318	0
0.00045472	0.281318	0
0.00045984	0.281318	0
0.00046496	0.281318	0
0.00047008	0.281318	0
0.0004752	0.281318	0
0.00048032	0.281318	0
0.00048544	0.281318	0
0.00023456	0.284034	0
0.00023968	0.284034	0
0.0002448	0.284034	0
