#theta_0	N_0	probability

0.0001632	0.7709	0
0.0001696	0.7709	0
0.000176	0.7709	0
0.0001824	0.7709	0
0.0001888	0.7709	0
0.0001952	0.7709	0
0.0002016	0.7709	0
0.000208	0.7709	0
0.0002144	0.7709	0
0.0002208	0.7709	0
0.0002272	0.7709	0
0.0002336	0.7709	0
0.00024	0.7709	0
0.0002464	0.7709	0
0.0002528	0.7709	0
0.0002592	0.7709	0
0.0002656	0.7709	0
0.000272	0.7709	3.15872e-06
0.0002784	0.7709	0
0.0002848	0.7709	0
0.0002912	0.7709	0
0.0002976	0.7709	0
0.000304	0.7709	0
0.0003104	0.7709	0
0.0003168	0.7709	0
0.0003232	0.7709	0
0.0003296	0.7709	0
0.000336	0.7709	0
0.0003424	0.7709	0
0.0003488	0.7709	0
0.0003552	0.7709	0
0.0003616	0.7709	0
0.000368	0.7709	0
0.0003744	0.7709	0
0.0003808	0.7709	0
0.0003872	0.7709	0
0.0003936	0.7709	0
0.0004	0.7709	0
0.0004064	0.7709	0
0.0004128	0.7709	0
0.0004192	0.7709	0
0.0004256	0.7709	0
0.000432	0.7709	0
0.0004384	0.7709	0
0.0004448	0.7709	0
0.0004512	0.7709	0
0.0004576	0.7709	0
0.000464	0.7709	0
0.0004704	0.7709	0
0.0004768	0.7709	0
0.0001632	0.7727	0
0.0001696	0.7727	0
0.000176	0.7727	0
0.0001824	0.7727	0
0.0001888	0.7727	0
0.0001952	0.7727	0
0.0002016	0.7727	0
0.000208	0.7727	0
0.0002144	0.7727	0
0.0002208	0.7727	0
0.0002272	0.7727	0
0.0002336	0.7727	0
0.00024	0.7727	0
0.0002464	0.7727	0
0.0002528	0.7727	0
0.0002592	0.7727	0
0.0002656	0.7727	0
0.000272	0.7727	5.1592e-06
0.0002784	0.7727	0
0.0002848	0.7727	0
0.0002912	0.7727	0
0.0002976	0.7727	0
0.000304	0.7727	0
0.0003104	0.7727	0
0.0003168	0.7727	0
0.0003232	0.7727	0
0.0003296	0.7727	0
0.000336	0.7727	0
0.0003424	0.7727	0
0.0003488	0.7727	0
0.0003552	0.7727	0
0.0003616	0.7727	0
0.000368	0.7727	0
0.0003744	0.7727	0
0.0003808	0.7727	0
0.0003872	0.7727	0
0.0003936	0.7727	0
0.0004	0.7727	0
0.0004064	0.7727	0
0.0004128	0.7727	0
0.0004192	0.7727	0
0.0004256	0.7727	0
0.000432	0.7727	0
0.0004384	0.7727	0
0.0004448	0.7727	0
0.0004512	0.7727	0
0.0004576	0.7727	0
0.000464	0.7727	0
0.0004704	0.7727	0
0.0004768	0.7727	0
0.0001632	0.7745	0
0.0001696	0.7745	0
0.000176	0.7745	0
0.0001824	0.7745	0
0.0001888	0.7745	0
0.0001952	0.7745	0
0.0002016	0.7745	0
0.000208	0.7745	0
0.0002144	0.7745	0
0.0002208	0.7745	0
0.0002272	0.7745	0
0.0002336	0.7745	0
0.00024	0.7745	0
0.0002464	0.7745	0
0.0002528	0.7745	0
0.0002592	0.7745	0
0.0002656	0.7745	0
0.000272	0.7745	0.000155949
0.0002784	0.7745	0.107127
0.0002848	0.7745	0
0.0002912	0.7745	0
0.0002976	0.7745	0
0.000304	0.7745	0
0.0003104	0.7745	0
0.0003168	0.7745	0
0.0003232	0.7745	0
0.0003296	0.7745	0
0.000336	0.7745	0
0.0003424	0.7745	0
0.0003488	0.7745	0
0.0003552	0.7745	0
0.0003616	0.7745	0
0.000368	0.7745	0
0.0003744	0.7745	0
0.0003808	0.7745	0
0.0003872	0.7745	0
0.0003936	0.7745	0
0.0004	0.7745	0
0.0004064	0.7745	0
0.0004128	0.7745	0
0.0004192	0.7745	0
0.0004256	0.7745	0
0.000432	0.7745	0
0.0004384	0.7745	0
0.0004448	0.7745	0
0.0004512	0.7745	0
0.0004576	0.7745	0
0.000464	0.7745	0
0.0004704	0.7745	0
0.0004768	0.7745	0
0.0001632	0.7763	0
0.0001696	0.7763	0
0.000176	0.7763	0
0.0001824	0.7763	0
0.0001888	0.7763	0
0.0001952	0.7763	0
0.0002016	0.7763	0
0.000208	0.7763	0
0.0002144	0.7763	0
0.0002208	0.7763	0
0.0002272	0.7763	0
0.0002336	0.7763	0
0.00024	0.7763	0
0.0002464	0.7763	0
0.0002528	0.7763	0
0.0002592	0.7763	0
0.0002656	0.7763	0
0.000272	0.7763	0.000430758
0.0002784	0.7763	0.129532
0.0002848	0.7763	0.0060715
0.0002912	0.7763	0
0.0002976	0.7763	0
0.000304	0.7763	0
0.0003104	0.7763	0
0.0003168	0.7763	0
0.0003232	0.7763	0
0.0003296	0.7763	0
0.000336	0.7763	0
0.0003424	0.7763	0
0.0003488	0.7763	0
0.0003552	0.7763	0
0.0003616	0.7763	0
0.000368	0.7763	0
0.0003744	0.7763	0
0.0003808	0.7763	0
