#gamma	N_0	probability

2.63261e-05	0.290484	0.065942
2.63384e-05	0.290484	1.2839
2.63507e-05	0.290484	26.2058
2.6363e-05	0.290484	221.746
2.63752e-05	0.290484	159.74
2.63875e-05	0.290484	0
2.63998e-05	0.290484	0
2.64121e-05	0.290484	0
2.64243e-05	0.290484	0.676998
2.64366e-05	0.290484	0.242449
2.64489e-05	0.290484	0.288397
2.64612e-05	0.290484	0.0632925
2.64734e-05	0.290484	23.3542
2.64857e-05	0.290484	164.718
2.6498e-05	0.290484	2494.3
2.65103e-05	0.290484	0
2.65226e-05	0.290484	0
2.65348e-05	0.290484	0
2.65471e-05	0.290484	1.74768
2.65594e-05	0.290484	0.322378
2.65717e-05	0.290484	9.65534
2.65839e-05	0.290484	2.45346
2.65962e-05	0.290484	8.97611
2.66085e-05	0.290484	243.691
2.66208e-05	0.290484	2582.57
2.6633e-05	0.290484	80632.1
2.66453e-05	0.290484	0
2.66576e-05	0.290484	0
2.66699e-05	0.290484	0
2.66821e-05	0.290484	14.5503
2.66944e-05	0.290484	3.04784
2.67067e-05	0.290484	7.8922
2.6719e-05	0.290484	1.28648
2.67312e-05	0.290484	292.771
2.67435e-05	0.290484	2915.73
2.67558e-05	0.290484	9831.44
2.67681e-05	0.290484	9763.64
2.67803e-05	0.290484	0
2.67926e-05	0.290484	0
2.68049e-05	0.290484	46.5484
2.68172e-05	0.290484	6.18327
2.68295e-05	0.290484	9.21081
2.68417e-05	0.290484	3.37235
2.6854e-05	0.290484	294.472
2.68663e-05	0.290484	876.175
2.68786e-05	0.290484	15314.6
2.68908e-05	0.290484	4345.69
2.69031e-05	0.290484	0
2.69154e-05	0.290484	0
2.69277e-05	0.290484	32.3749
2.69399e-05	0.290484	75.7195
2.69522e-05	0.290484	18.694
2.69645e-05	0.290484	1.83591
2.69768e-05	0.290484	10.4456
2.6989e-05	0.290484	623.218
2.70013e-05	0.290484	218.098
2.70136e-05	0.290484	3108.2
2.70259e-05	0.290484	963.08
2.70381e-05	0.290484	0
2.70504e-05	0.290484	10.9609
2.70627e-05	0.290484	5.59117
2.7075e-05	0.290484	3.67286
2.70873e-05	0.290484	0.282002
