#gamma	theta_0	probability

2.63261e-05	0.000463168	0
2.63384e-05	0.000463168	0
2.63507e-05	0.000463168	0
2.6363e-05	0.000463168	0
2.63752e-05	0.000463168	0
2.63875e-05	0.000463168	0
2.63998e-05	0.000463168	0
2.64121e-05	0.000463168	0
2.64243e-05	0.000463168	0
2.64366e-05	0.000463168	0
2.64489e-05	0.000463168	0
2.64612e-05	0.000463168	0
2.64734e-05	0.000463168	0
2.64857e-05	0.000463168	0
2.6498e-05	0.000463168	0
2.65103e-05	0.000463168	0
2.65226e-05	0.000463168	0
2.65348e-05	0.000463168	0
2.65471e-05	0.000463168	0
2.65594e-05	0.000463168	0
2.65717e-05	0.000463168	0
2.65839e-05	0.000463168	0
2.65962e-05	0.000463168	0
2.66085e-05	0.000463168	0
2.66208e-05	0.000463168	0
2.6633e-05	0.000463168	0
2.66453e-05	0.000463168	0
2.66576e-05	0.000463168	0
2.66699e-05	0.000463168	0
2.66821e-05	0.000463168	0
2.66944e-05	0.000463168	0
2.67067e-05	0.000463168	0
2.6719e-05	0.000463168	0
2.67312e-05	0.000463168	0
2.67435e-05	0.000463168	0
2.67558e-05	0.000463168	0
2.67681e-05	0.000463168	0
2.67803e-05	0.000463168	0
2.67926e-05	0.000463168	0
2.68049e-05	0.000463168	0
2.68172e-05	0.000463168	0
2.68295e-05	0.000463168	0
2.68417e-05	0.000463168	0
2.6854e-05	0.000463168	0
2.68663e-05	0.000463168	0
2.68786e-05	0.000463168	0
2.68908e-05	0.000463168	0
2.69031e-05	0.000463168	0
2.69154e-05	0.000463168	0
2.69277e-05	0.000463168	0
2.69399e-05	0.000463168	0
2.69522e-05	0.000463168	0
2.69645e-05	0.000463168	0
2.69768e-05	0.000463168	0
2.6989e-05	0.000463168	0
2.70013e-05	0.000463168	0
2.70136e-05	0.000463168	0
2.70259e-05	0.000463168	0
2.70381e-05	0.000463168	0
2.70504e-05	0.000463168	0
2.70627e-05	0.000463168	0
2.7075e-05	0.000463168	0
2.70873e-05	0.000463168	0
2.70995e-05	0.000463168	0
2.71118e-05	0.000463168	0
2.71241e-05	0.000463168	0
2.71364e-05	0.000463168	0
2.71486e-05	0.000463168	0
2.71609e-05	0.000463168	0
2.71732e-05	0.000463168	0
2.71855e-05	0.000463168	0
2.71977e-05	0.000463168	0
2.721e-05	0.000463168	0
2.72223e-05	0.000463168	0
2.72346e-05	0.000463168	0
2.72468e-05	0.000463168	0
2.72591e-05	0.000463168	0
2.72714e-05	0.000463168	0
2.72837e-05	0.000463168	0
2.72959e-05	0.000463168	0
2.73082e-05	0.000463168	0
2.73205e-05	0.000463168	0
2.73328e-05	0.000463168	0
2.7345e-05	0.000463168	0
2.73573e-05	0.000463168	0
2.73696e-05	0.000463168	0
2.73819e-05	0.000463168	0
2.73941e-05	0.000463168	0
2.74064e-05	0.000463168	0
2.74187e-05	0.000463168	0
2.7431e-05	0.000463168	0
2.74433e-05	0.000463168	0
2.74555e-05	0.000463168	0
