#theta_0	N_0	probability

0.000463168	0.290484	0
0.000464704	0.290484	0
0.00046624	0.290484	0
0.000467776	0.290484	0.0611167
0.000469312	0.290484	0.0283407
0.000470848	0.290484	0.181958
0.000472384	0.290484	0.897646
0.00047392	0.290484	3.49072
0.000475456	0.290484	38.8838
0.000476992	0.290484	656.27
0.000478528	0.290484	167.456
0.000480064	0.290484	185.254
0.0004816	0.290484	31.3539
0.000483136	0.290484	12.3676
0.000484672	0.290484	0.587383
0.000486208	0.290484	0
0.000487744	0.290484	0
0.00048928	0.290484	0
0.000490816	0.290484	0
0.000492352	0.290484	0
0.000493888	0.290484	0
0.000495424	0.290484	0
0.00049696	0.290484	0
0.000498496	0.290484	0
0.000500032	0.290484	0
0.000501568	0.290484	0
0.000503104	0.290484	0
0.00050464	0.290484	0
0.000506176	0.290484	0
0.000507712	0.290484	0
0.000509248	0.290484	0
0.000510784	0.290484	0
0.00051232	0.290484	0
0.000513856	0.290484	0
0.000515392	0.290484	0
0.000516928	0.290484	0
0.000518464	0.290484	0
0.00052	0.290484	0
0.000521536	0.290484	0
0.000523072	0.290484	0
0.000524608	0.290484	0
0.000526144	0.290484	0
0.00052768	0.290484	0
0.000529216	0.290484	0
0.000530752	0.290484	0
0.000532288	0.290484	0
0.000533824	0.290484	0
0.00053536	0.290484	0
0.000536896	0.290484	0
0.000538432	0.290484	0
0.000463168	0.291452	0
0.000464704	0.291452	0
0.00046624	0.291452	0
0.000467776	0.291452	0.000349676
0.000469312	0.291452	0.0138743
0.000470848	0.291452	0.30731
0.000472384	0.291452	0.148276
0.00047392	0.291452	2.04382
0.000475456	0.291452	21.3123
0.000476992	0.291452	306.603
0.000478528	0.291452	1890.51
0.000480064	0.291452	2550.07
0.0004816	0.291452	3382.94
0.000483136	0.291452	1527.36
0.000484672	0.291452	507.752
0.000486208	0.291452	117.813
0.000487744	0.291452	9.88612
0.00048928	0.291452	0.0461526
0.000490816	0.291452	0
0.000492352	0.291452	0
0.000493888	0.291452	0
0.000495424	0.291452	0
0.00049696	0.291452	0
0.000498496	0.291452	0
0.000500032	0.291452	0
0.000501568	0.291452	0
0.000503104	0.291452	0
0.00050464	0.291452	0
0.000506176	0.291452	0
0.000507712	0.291452	0
0.000509248	0.291452	0
0.000510784	0.291452	0
0.00051232	0.291452	0
0.000513856	0.291452	0
0.000515392	0.291452	0
0.000516928	0.291452	0
0.000518464	0.291452	0
0.00052	0.291452	0
0.000521536	0.291452	0
0.000523072	0.291452	0
0.000524608	0.291452	0
0.000526144	0.291452	0
0.00052768	0.291452	0
0.000529216	0.291452	0
0.000530752	0.291452	0
0.000532288	0.291452	0
0.000533824	0.291452	0
0.00053536	0.291452	0
0.000536896	0.291452	0
0.000538432	0.291452	0
0.000463168	0.29242	0
0.000464704	0.29242	0
0.00046624	0.29242	0
0.000467776	0.29242	0.301024
0.000469312	0.29242	0.00411348
0.000470848	0.29242	0.0872862
0.000472384	0.29242	0.243667
0.00047392	0.29242	2.33557
0.000475456	0.29242	14.6151
0.000476992	0.29242	123.024
0.000478528	0.29242	1205.22
0.000480064	0.29242	1905.87
0.0004816	0.29242	2988.62
0.000483136	0.29242	6649.95
0.000484672	0.29242	10640
0.000486208	0.29242	10392.2
0.000487744	0.29242	6987.61
0.00048928	0.29242	2772.96
0.000490816	0.29242	723.371
0.000492352	0.29242	27.5902
0.000493888	0.29242	0.556093
0.000495424	0.29242	0
0.00049696	0.29242	0
0.000498496	0.29242	0
0.000500032	0.29242	0
0.000501568	0.29242	0
0.000503104	0.29242	0
0.00050464	0.29242	0
0.000506176	0.29242	0
0.000507712	0.29242	0
0.000509248	0.29242	0
0.000510784	0.29242	0
0.00051232	0.29242	0
0.000513856	0.29242	0
0.000515392	0.29242	0
0.000516928	0.29242	0
0.000518464	0.29242	0
0.00052	0.29242	0
0.000521536	0.29242	0
0.000523072	0.29242	0
0.000524608	0.29242	0
0.000526144	0.29242	0
0.00052768	0.29242	0
0.000529216	0.29242	0
0.000530752	0.29242	0
0.000532288	0.29242	0
0.000533824	0.29242	0
0.00053536	0.29242	0
0.000536896	0.29242	0
0.000538432	0.29242	0
0.000463168	0.293388	0
0.000464704	0.293388	0
0.00046624	0.293388	0
0.000467776	0.293388	0.000181146
0.000469312	0.293388	0.0487754
0.000470848	0.293388	0.0302982
0.000472384	0.293388	0.322563
0.00047392	0.293388	1.84699
0.000475456	0.293388	14.6646
0.000476992	0.293388	85.7882
0.000478528	0.293388	273.532
0.000480064	0.293388	1168.16
0.0004816	0.293388	2502.3
0.000483136	0.293388	7807.61
0.000484672	0.293388	9288.86
0.000486208	0.293388	14414.2
0.000487744	0.293388	13430.4
0.00048928	0.293388	13616.1
0.000490816	0.293388	2709.58
0.000492352	0.293388	426.508
0.000493888	0.293388	20.4168
0.000495424	0.293388	1.37746
0.00049696	0.293388	0.00183568
0.000498496	0.293388	0
0.000500032	0.293388	0
0.000501568	0.293388	0
0.000503104	0.293388	0
0.00050464	0.293388	0
0.000506176	0.293388	0
0.000507712	0.293388	0
0.000509248	0.293388	0
0.000510784	0.293388	0
0.00051232	0.293388	0
0.000513856	0.293388	0
0.000515392	0.293388	0
0.000516928	0.293388	0
0.000518464	0.293388	0
0.00052	0.293388	0
0.000521536	0.293388	0
0.000523072	0.293388	0
0.000524608	0.293388	0
0.000526144	0.293388	0
0.00052768	0.293388	0
0.000529216	0.293388	0
0.000530752	0.293388	0
0.000532288	0.293388	0
0.000533824	0.293388	0
0.00053536	0.293388	0
0.000536896	0.293388	0
0.000538432	0.293388	0
0.000463168	0.294356	0
0.000464704	0.294356	0
0.00046624	0.294356	0
0.000467776	0.294356	4.49194e-08
0.000469312	0.294356	0.00218435
0.000470848	0.294356	0.0286378
0.000472384	0.294356	0.0207242
0.00047392	0.294356	1.92318
0.000475456	0.294356	17.0208
0.000476992	0.294356	91.6259
0.000478528	0.294356	1041.61
0.000480064	0.294356	713.133
0.0004816	0.294356	1402.03
0.000483136	0.294356	3388.18
0.000484672	0.294356	7697.33
0.000486208	0.294356	13177.2
0.000487744	0.294356	15926.5
0.00048928	0.294356	65647.7
0.000490816	0.294356	34455.5
0.000492352	0.294356	19271.3
0.000493888	0.294356	3427.3
0.000495424	0.294356	200.341
0.00049696	0.294356	1.20102
0.000498496	0.294356	0.0023723
0.000500032	0.294356	0
0.000501568	0.294356	0
0.000503104	0.294356	0
0.00050464	0.294356	0
0.000506176	0.294356	0
0.000507712	0.294356	0
0.000509248	0.294356	0
0.000510784	0.294356	0
0.00051232	0.294356	0
0.000513856	0.294356	0
0.000515392	0.294356	0
0.000516928	0.294356	0
0.000518464	0.294356	0
0.00052	0.294356	0
0.000521536	0.294356	0
0.000523072	0.294356	0
0.000524608	0.294356	0
0.000526144	0.294356	0
0.00052768	0.294356	0
0.000529216	0.294356	0
0.000530752	0.294356	0
0.000532288	0.294356	0
0.000533824	0.294356	0
0.00053536	0.294356	0
0.000536896	0.294356	0
0.000538432	0.294356	0
0.000463168	0.295324	0
0.000464704	0.295324	0
0.00046624	0.295324	0
0.000467776	0.295324	3.45127e-08
0.000469312	0.295324	5.69047e-07
0.000470848	0.295324	3.31278e-05
0.000472384	0.295324	0.00157898
0.00047392	0.295324	0.225309
0.000475456	0.295324	5.28678
0.000476992	0.295324	83.3804
0.000478528	0.295324	428.584
0.000480064	0.295324	621.409
0.0004816	0.295324	844.69
0.000483136	0.295324	1178.7
0.000484672	0.295324	9099.7
0.000486208	0.295324	42810.7
0.000487744	0.295324	47751.3
0.00048928	0.295324	29840.6
0.000490816	0.295324	21586.6
0.000492352	0.295324	8030.12
0.000493888	0.295324	5129.74
0.000495424	0.295324	833.37
0.00049696	0.295324	266.659
0.000498496	0.295324	38.066
0.000500032	0.295324	0.247999
0.000501568	0.295324	0.000616464
0.000503104	0.295324	0
0.00050464	0.295324	0
0.000506176	0.295324	0
0.000507712	0.295324	0
0.000509248	0.295324	0
0.000510784	0.295324	0
0.00051232	0.295324	0
0.000513856	0.295324	0
0.000515392	0.295324	0
0.000516928	0.295324	0
0.000518464	0.295324	0
0.00052	0.295324	0
0.000521536	0.295324	0
0.000523072	0.295324	0
0.000524608	0.295324	0
0.000526144	0.295324	0
0.00052768	0.295324	0
0.000529216	0.295324	0
0.000530752	0.295324	0
0.000532288	0.295324	0
0.000533824	0.295324	0
0.00053536	0.295324	0
0.000536896	0.295324	0
0.000538432	0.295324	0
0.000463168	0.296292	0
0.000464704	0.296292	0
0.00046624	0.296292	0
0.000467776	0.296292	3.45127e-08
0.000469312	0.296292	2.11853e-07
0.000470848	0.296292	3.00241e-06
0.000472384	0.296292	0.000147157
0.00047392	0.296292	0.00101762
0.000475456	0.296292	0.0463595
0.000476992	0.296292	1.8935
0.000478528	0.296292	32.2103
0.000480064	0.296292	99.5106
0.0004816	0.296292	236.916
0.000483136	0.296292	2265.52
0.000484672	0.296292	2592.52
0.000486208	0.296292	8335.45
0.000487744	0.296292	16678.9
0.00048928	0.296292	37774
0.000490816	0.296292	120902
0.000492352	0.296292	265309
0.000493888	0.296292	91716.1
0.000495424	0.296292	11832.1
0.00049696	0.296292	1300.59
0.000498496	0.296292	61.7184
0.000500032	0.296292	2.58503
0.000501568	0.296292	0.106145
0.000503104	0.296292	7.64847e-05
0.00050464	0.296292	0
0.000506176	0.296292	0
0.000507712	0.296292	0
0.000509248	0.296292	0
0.000510784	0.296292	0
0.00051232	0.296292	0
0.000513856	0.296292	0
0.000515392	0.296292	0
0.000516928	0.296292	0
0.000518464	0.296292	0
0.00052	0.296292	0
0.000521536	0.296292	0
0.000523072	0.296292	0
0.000524608	0.296292	0
0.000526144	0.296292	0
0.00052768	0.296292	0
0.000529216	0.296292	0
0.000530752	0.296292	0
0.000532288	0.296292	0
0.000533824	0.296292	0
0.00053536	0.296292	0
0.000536896	0.296292	0
0.000538432	0.296292	0
0.000463168	0.29726	0
0.000464704	0.29726	0
0.00046624	0.29726	0
0.000467776	0.29726	2.65166e-08
0.000469312	0.29726	2.61505e-07
0.000470848	0.29726	4.29869e-06
0.000472384	0.29726	6.62888e-06
0.00047392	0.29726	0.00030525
0.000475456	0.29726	0.00100785
0.000476992	0.29726	0.0202239
0.000478528	0.29726	0.205193
0.000480064	0.29726	2.68723
0.0004816	0.29726	15.3141
0.000483136	0.29726	301.011
0.000484672	0.29726	1248.45
0.000486208	0.29726	4521.05
0.000487744	0.29726	10406.9
0.00048928	0.29726	22746.3
0.000490816	0.29726	117066
0.000492352	0.29726	326536
0.000493888	0.29726	604817
0.000495424	0.29726	2.63231e+06
0.00049696	0.29726	3.23337e+06
0.000498496	0.29726	1.5288e+06
0.000500032	0.29726	214668
0.000501568	0.29726	3977.32
0.000503104	0.29726	200.709
0.00050464	0.29726	0.00120186
0.000506176	0.29726	5.4971e-07
0.000507712	0.29726	0
0.000509248	0.29726	0
0.000510784	0.29726	0
0.00051232	0.29726	0
0.000513856	0.29726	0
0.000515392	0.29726	0
0.000516928	0.29726	0
0.000518464	0.29726	0
0.00052	0.29726	0
0.000521536	0.29726	0
0.000523072	0.29726	0
0.000524608	0.29726	0
0.000526144	0.29726	0
0.00052768	0.29726	0
0.000529216	0.29726	0
0.000530752	0.29726	0
0.000532288	0.29726	0
0.000533824	0.29726	0
0.00053536	0.29726	0
0.000536896	0.29726	0
0.000538432	0.29726	0
0.000463168	0.298228	0
0.000464704	0.298228	0
0.00046624	0.298228	0
0.000467776	0.298228	0
0.000469312	0.298228	8.09561e-09
0.000470848	0.298228	4.10712e-07
0.000472384	0.298228	3.06622e-05
0.00047392	0.298228	0.000256807
0.000475456	0.298228	0.000926873
0.000476992	0.298228	0.00218468
0.000478528	0.298228	0.0657729
0.000480064	0.298228	0.174976
0.0004816	0.298228	3.76024
0.000483136	0.298228	57.4041
0.000484672	0.298228	365.506
0.000486208	0.298228	2536.57
0.000487744	0.298228	6353.15
0.00048928	0.298228	14806.6
0.000490816	0.298228	49782.3
0.000492352	0.298228	142550
0.000493888	0.298228	722869
0.000495424	0.298228	2.05699e+06
