#gamma	N_0	probability

3.50077e-05	0.001375	1.38268e-306
3.5023e-05	0.001375	8.35336e-307
3.50384e-05	0.001375	1.823e-306
3.50538e-05	0.001375	1.88661e-306
3.50691e-05	0.001375	1.95056e-306
3.50845e-05	0.001375	2.30592e-306
3.50998e-05	0.001375	2.50605e-306
3.51152e-05	0.001375	1.96769e-306
3.51306e-05	0.001375	1.86592e-306
3.51459e-05	0.001375	2.74473e-306
3.51613e-05	0.001375	3.19733e-306
3.51766e-05	0.001375	3.67608e-306
3.5192e-05	0.001375	5.64663e-306
3.52074e-05	0.001375	4.23539e-306
3.52227e-05	0.001375	4.31125e-306
3.52381e-05	0.001375	3.98958e-306
3.52534e-05	0.001375	6.9468e+07
3.52688e-05	0.001375	5.01747e+07
3.52842e-05	0.001375	2.00141e-306
3.52995e-05	0.001375	2.04962e+08
3.53149e-05	0.001375	1.41867e+08
3.53302e-05	0.001375	1.45212e+08
3.53456e-05	0.001375	8.9032e+07
3.5361e-05	0.001375	1.05049e+08
3.53763e-05	0.001375	9.33418e+07
3.53917e-05	0.001375	2.43909e+07
3.5407e-05	0.001375	6.61268e+07
3.54224e-05	0.001375	4.55568e+07
3.54378e-05	0.001375	4.74759e+07
3.54531e-05	0.001375	4.24263e+07
3.54685e-05	0.001375	4.0776e+07
3.54838e-05	0.001375	2.2517e+07
3.54992e-05	0.001375	4.6126e+06
3.55146e-05	0.001375	3.49951e+06
3.55299e-05	0.001375	390734
3.55453e-05	0.001375	238638
3.55606e-05	0.001375	194652
3.5576e-05	0.001375	36771.1
3.55914e-05	0.001375	241.198
3.56067e-05	0.001375	4.77288e-313
3.56221e-05	0.001375	3.19628e-313
3.56374e-05	0.001375	8.2105e-314
3.56528e-05	0.001375	4.2422e-314
3.56682e-05	0.001375	7.4696e-316
3.56835e-05	0.001375	1.22595e-316
3.56989e-05	0.001375	3.91761e-317
3.57142e-05	0.001375	6.74844e-320
3.57296e-05	0.001375	1.19564e-321
3.5745e-05	0.001375	0
3.57603e-05	0.001375	0
3.50077e-05	0.004125	8.7175e-307
3.5023e-05	0.004125	2.06709e-306
3.50384e-05	0.004125	2.13547e-306
3.50538e-05	0.004125	1.91905e-306
3.50691e-05	0.004125	2.36564e-306
3.50845e-05	0.004125	2.42282e-306
3.50998e-05	0.004125	2.93048e-306
3.51152e-05	0.004125	2.99187e-306
3.51306e-05	0.004125	3.93773e-306
3.51459e-05	0.004125	3.3932e-306
3.51613e-05	0.004125	2.69129e-306
3.51766e-05	0.004125	1.0361e+08
3.5192e-05	0.004125	8.42103e+07
3.52074e-05	0.004125	8.61588e+07
3.52227e-05	0.004125	4.48097e-306
3.52381e-05	0.004125	6.60265e+07
3.52534e-05	0.004125	6.94003e+07
3.52688e-05	0.004125	7.20974e+07
3.52842e-05	0.004125	9.55663e+07
3.52995e-05	0.004125	9.66741e+07
3.53149e-05	0.004125	5.33042e+07
3.53302e-05	0.004125	1.43085e+07
3.53456e-05	0.004125	2.39005e+08
3.5361e-05	0.004125	2.93947e+08
3.53763e-05	0.004125	3.07527e+08
3.53917e-05	0.004125	2.11471e+08
3.5407e-05	0.004125	1.78303e+08
3.54224e-05	0.004125	1.00839e+08
3.54378e-05	0.004125	5.49633e+07
3.54531e-05	0.004125	6.9702e+07
3.54685e-05	0.004125	4.10303e+07
3.54838e-05	0.004125	2.55876e+07
3.54992e-05	0.004125	2.25046e+07
3.55146e-05	0.004125	1.60468e+07
3.55299e-05	0.004125	5.61479e+06
3.55453e-05	0.004125	1.56982e+06
3.55606e-05	0.004125	401447
3.5576e-05	0.004125	117891
3.55914e-05	0.004125	2408.09
3.56067e-05	0.004125	161.067
3.56221e-05	0.004125	35.9759
3.56374e-05	0.004125	5.565e-314
3.56528e-05	0.004125	2.71716e-314
3.56682e-05	0.004125	4.8653e-314
3.56835e-05	0.004125	1.15782e-315
3.56989e-05	0.004125	4.91235e-317
3.57142e-05	0.004125	1.13994e-317
3.57296e-05	0.004125	3.77466e-321
3.5745e-05	0.004125	7.90505e-323
3.57603e-05	0.004125	0
3.50077e-05	0.006875	8.64151e-307
3.5023e-05	0.006875	1.25872e-306
3.50384e-05	0.006875	1.92391e-306
3.50538e-05	0.006875	2.86451e-306
3.50691e-05	0.006875	3.07863e-306
3.50845e-05	0.006875	2.67115e-306
3.50998e-05	0.006875	2.49444e-306
3.51152e-05	0.006875	3.55393e-306
3.51306e-05	0.006875	3.49637e-306
3.51459e-05	0.006875	3.60039e-306
3.51613e-05	0.006875	9.32694e+07
3.51766e-05	0.006875	7.5957e+07
3.5192e-05	0.006875	7.71142e+07
3.52074e-05	0.006875	6.21394e+07
3.52227e-05	0.006875	1.28829e+08
3.52381e-05	0.006875	1.33891e+08
3.52534e-05	0.006875	9.78498e+07
3.52688e-05	0.006875	1.59533e+08
3.52842e-05	0.006875	1.6491e+08
3.52995e-05	0.006875	1.2553e+08
3.53149e-05	0.006875	9.47684e+07
3.53302e-05	0.006875	1.33424e+08
3.53456e-05	0.006875	7.20086e+07
3.5361e-05	0.006875	3.96529e+07
3.53763e-05	0.006875	2.0531e+08
3.53917e-05	0.006875	2.77567e+08
3.5407e-05	0.006875	2.12766e+08
3.54224e-05	0.006875	2.13188e+08
3.54378e-05	0.006875	1.43988e+08
3.54531e-05	0.006875	1.01036e+08
3.54685e-05	0.006875	6.37726e+07
3.54838e-05	0.006875	5.15677e+07
3.54992e-05	0.006875	3.94295e+07
3.55146e-05	0.006875	2.47945e+07
3.55299e-05	0.006875	1.19662e+07
3.55453e-05	0.006875	1.83249e+06
3.55606e-05	0.006875	528557
3.5576e-05	0.006875	175158
3.55914e-05	0.006875	44118.9
3.56067e-05	0.006875	1442.11
3.56221e-05	0.006875	48.9036
3.56374e-05	0.006875	5.96347
3.56528e-05	0.006875	0.137351
3.56682e-05	0.006875	0.00166923
3.56835e-05	0.006875	6.89366e-316
3.56989e-05	0.006875	1.02981e-315
3.57142e-05	0.006875	1.75152e-317
3.57296e-05	0.006875	6.16297e-320
3.5745e-05	0.006875	1.38338e-322
3.57603e-05	0.006875	0
3.50077e-05	0.009625	0
3.5023e-05	0.009625	0
3.50384e-05	0.009625	8.31254e-307
3.50538e-05	0.009625	8.55027e-307
3.50691e-05	0.009625	2.02805e-306
3.50845e-05	0.009625	3.13888e-306
3.50998e-05	0.009625	4.09727e-306
3.51152e-05	0.009625	3.31181e-306
3.51306e-05	0.009625	3.32643e-306
3.51459e-05	0.009625	4.69337e-306
3.51613e-05	0.009625	4.6437e-306
3.51766e-05	0.009625	4.80482e-306
3.5192e-05	0.009625	5.67888e-306
3.52074e-05	0.009625	6.15618e+07
3.52227e-05	0.009625	1.29038e+08
3.52381e-05	0.009625	9.11979e+07
3.52534e-05	0.009625	1.619e+08
3.52688e-05	0.009625	1.65814e+08
3.52842e-05	0.009625	1.03851e+08
3.52995e-05	0.009625	1.0685e+08
3.53149e-05	0.009625	2.14513e+08
3.53302e-05	0.009625	1.43663e+08
3.53456e-05	0.009625	1.64303e+08
3.5361e-05	0.009625	1.37922e+08
3.53763e-05	0.009625	1.1581e+08
3.53917e-05	0.009625	9.60584e+07
3.5407e-05	0.009625	1.67337e+08
3.54224e-05	0.009625	2.2857e+08
3.54378e-05	0.009625	1.16643e+08
3.54531e-05	0.009625	8.44619e+07
3.54685e-05	0.009625	8.59132e+07
3.54838e-05	0.009625	6.12897e+07
3.54992e-05	0.009625	4.76869e+07
3.55146e-05	0.009625	8.58881e+07
3.55299e-05	0.009625	3.29619e+07
3.55453e-05	0.009625	3.49125e+06
3.55606e-05	0.009625	336665
