#gamma	theta_0	probability

3.50048e-05	-0.0002925	0
3.50144e-05	-0.0002925	0
3.5024e-05	-0.0002925	0
3.50336e-05	-0.0002925	0
3.50432e-05	-0.0002925	0
3.50528e-05	-0.0002925	0
3.50624e-05	-0.0002925	0
3.5072e-05	-0.0002925	0
3.50816e-05	-0.0002925	0
3.50912e-05	-0.0002925	0
3.51008e-05	-0.0002925	0
3.51104e-05	-0.0002925	0
3.512e-05	-0.0002925	0
3.51296e-05	-0.0002925	0
3.51392e-05	-0.0002925	0
3.51488e-05	-0.0002925	0
3.51584e-05	-0.0002925	0
3.5168e-05	-0.0002925	0
3.51776e-05	-0.0002925	0
3.51872e-05	-0.0002925	0
3.51968e-05	-0.0002925	0
3.52064e-05	-0.0002925	0
3.5216e-05	-0.0002925	0
3.52256e-05	-0.0002925	0
3.52352e-05	-0.0002925	0
3.52448e-05	-0.0002925	0
3.52544e-05	-0.0002925	0
3.5264e-05	-0.0002925	0
3.52736e-05	-0.0002925	0
3.52832e-05	-0.0002925	0
3.52928e-05	-0.0002925	0
3.53024e-05	-0.0002925	0
3.5312e-05	-0.0002925	0
3.53216e-05	-0.0002925	0
3.53312e-05	-0.0002925	0
3.53408e-05	-0.0002925	0
3.53504e-05	-0.0002925	0
3.536e-05	-0.0002925	0
3.53696e-05	-0.0002925	0
3.53792e-05	-0.0002925	0
3.53888e-05	-0.0002925	0
3.53984e-05	-0.0002925	0
3.5408e-05	-0.0002925	0
3.54176e-05	-0.0002925	0
3.54272e-05	-0.0002925	0
3.54368e-05	-0.0002925	0
3.54464e-05	-0.0002925	0
3.5456e-05	-0.0002925	0
3.54656e-05	-0.0002925	0
3.54752e-05	-0.0002925	0
3.54848e-05	-0.0002925	0
3.54944e-05	-0.0002925	0
3.5504e-05	-0.0002925	0
3.55136e-05	-0.0002925	0
3.55232e-05	-0.0002925	0
3.55328e-05	-0.0002925	0
3.55424e-05	-0.0002925	0
3.5552e-05	-0.0002925	0
3.55616e-05	-0.0002925	0
3.55712e-05	-0.0002925	0
3.55808e-05	-0.0002925	0
3.55904e-05	-0.0002925	0
3.56e-05	-0.0002925	0
3.56096e-05	-0.0002925	0
3.56192e-05	-0.0002925	0
3.56288e-05	-0.0002925	0
3.56384e-05	-0.0002925	0
3.5648e-05	-0.0002925	0
3.56576e-05	-0.0002925	0
3.56672e-05	-0.0002925	0
3.56768e-05	-0.0002925	0
3.56864e-05	-0.0002925	0
3.5696e-05	-0.0002925	0
3.57056e-05	-0.0002925	0
3.57152e-05	-0.0002925	0
3.57248e-05	-0.0002925	0
3.57344e-05	-0.0002925	0
3.5744e-05	-0.0002925	0
3.57536e-05	-0.0002925	0
3.57632e-05	-0.0002925	0
3.57728e-05	-0.0002925	0
3.57824e-05	-0.0002925	0
3.5792e-05	-0.0002925	0
3.58016e-05	-0.0002925	0
3.58112e-05	-0.0002925	0
3.58208e-05	-0.0002925	0
3.58304e-05	-0.0002925	0
3.584e-05	-0.0002925	0
3.58496e-05	-0.0002925	0
3.58592e-05	-0.0002925	0
3.58688e-05	-0.0002925	0
3.58784e-05	-0.0002925	0
3.5888e-05	-0.0002925	0
3.58976e-05	-0.0002925	0
3.59072e-05	-0.0002925	0
3.59168e-05	-0.0002925	0
3.59264e-05	-0.0002925	0
3.5936e-05	-0.0002925	0
3.59456e-05	-0.0002925	0
3.59552e-05	-0.0002925	0
3.50048e-05	-0.0002775	0
3.50144e-05	-0.0002775	0
3.5024e-05	-0.0002775	0
3.50336e-05	-0.0002775	0
3.50432e-05	-0.0002775	0
3.50528e-05	-0.0002775	0
3.50624e-05	-0.0002775	0
3.5072e-05	-0.0002775	0
3.50816e-05	-0.0002775	0
3.50912e-05	-0.0002775	0
3.51008e-05	-0.0002775	0
3.51104e-05	-0.0002775	0
3.512e-05	-0.0002775	0
3.51296e-05	-0.0002775	0
3.51392e-05	-0.0002775	0
3.51488e-05	-0.0002775	0
3.51584e-05	-0.0002775	0
3.5168e-05	-0.0002775	0
3.51776e-05	-0.0002775	0
3.51872e-05	-0.0002775	0
3.51968e-05	-0.0002775	0
3.52064e-05	-0.0002775	0
3.5216e-05	-0.0002775	0
3.52256e-05	-0.0002775	0
3.52352e-05	-0.0002775	0
3.52448e-05	-0.0002775	0
3.52544e-05	-0.0002775	0
3.5264e-05	-0.0002775	0
3.52736e-05	-0.0002775	0
3.52832e-05	-0.0002775	0
3.52928e-05	-0.0002775	0
3.53024e-05	-0.0002775	0
3.5312e-05	-0.0002775	0
3.53216e-05	-0.0002775	0
3.53312e-05	-0.0002775	0
3.53408e-05	-0.0002775	0
3.53504e-05	-0.0002775	9.98742e-07
3.536e-05	-0.0002775	1.39176e-08
3.53696e-05	-0.0002775	1.19331e-09
3.53792e-05	-0.0002775	8.48181e-10
3.53888e-05	-0.0002775	2.18375e-10
3.53984e-05	-0.0002775	5.45295e-05
3.5408e-05	-0.0002775	7.59877e-07
3.54176e-05	-0.0002775	6.51524e-08
3.54272e-05	-0.0002775	4.63523e-08
3.54368e-05	-0.0002775	1.06551e-08
3.54464e-05	-0.0002775	0.00109525
3.5456e-05	-0.0002775	1.52625e-05
3.54656e-05	-0.0002775	1.31356e-06
3.54752e-05	-0.0002775	9.32847e-07
3.54848e-05	-0.0002775	2.14013e-07
3.54944e-05	-0.0002775	0.00809291
3.5504e-05	-0.0002775	0.000112776
3.55136e-05	-0.0002775	9.70596e-06
3.55232e-05	-0.0002775	6.90599e-06
3.55328e-05	-0.0002775	1.1652e-06
3.55424e-05	-0.0002775	0.0219989
3.5552e-05	-0.0002775	0.000102185
3.55616e-05	-0.0002775	2.63835e-05
3.55712e-05	-0.0002775	1.87724e-05
3.55808e-05	-0.0002775	3.17288e-06
3.55904e-05	-0.0002775	0.0219993
3.56e-05	-0.0002775	0.000102389
3.56096e-05	-0.0002775	1.99833e-05
3.56192e-05	-0.0002775	1.87893e-05
3.56288e-05	-0.0002775	1.26586e-06
3.56384e-05	-0.0002775	0.00486531
3.5648e-05	-0.0002775	3.77378e-05
3.56576e-05	-0.0002775	7.35144e-06
