#theta_0	N_0	probability

-0.000271	0.001375	0
-0.000253	0.001375	0
-0.000235	0.001375	0
-0.000217	0.001375	0
-0.000199	0.001375	0
-0.000181	0.001375	0
-0.000163	0.001375	0
-0.000145	0.001375	0
-0.000127	0.001375	2.56296e-309
-0.000109	0.001375	102095
-9.1e-05	0.001375	612926
-7.3e-05	0.001375	164082
-5.5e-05	0.001375	131055
-3.7e-05	0.001375	11352.9
-1.9e-05	0.001375	228.54
-1e-06	0.001375	6.71336e-309
1.7e-05	0.001375	1.28679e-309
3.5e-05	0.001375	6.2533e-310
5.3e-05	0.001375	5.09076e-311
7.1e-05	0.001375	0
-0.000271	0.004125	0
-0.000253	0.004125	0
-0.000235	0.004125	0
-0.000217	0.004125	0
-0.000199	0.004125	0
-0.000181	0.004125	0
-0.000163	0.004125	0
-0.000145	0.004125	233795
-0.000127	0.004125	280385
-0.000109	0.004125	612425
-9.1e-05	0.004125	635729
-7.3e-05	0.004125	145623
-5.5e-05	0.004125	59114.8
-3.7e-05	0.004125	4043.99
-1.9e-05	0.004125	74.8995
-1e-06	0.004125	6.0989e-309
1.7e-05	0.004125	1.61186e-309
3.5e-05	0.004125	4.31407e-310
5.3e-05	0.004125	3.1302e-311
7.1e-05	0.004125	9.63305e-312
-0.000271	0.006875	0
-0.000253	0.006875	0
-0.000235	0.006875	0
-0.000217	0.006875	0
-0.000199	0.006875	0
-0.000181	0.006875	0
-0.000163	0.006875	330402
-0.000145	0.006875	535930
-0.000127	0.006875	521884
-0.000109	0.006875	417732
-9.1e-05	0.006875	439474
-7.3e-05	0.006875	125859
-5.5e-05	0.006875	23283.8
-3.7e-05	0.006875	573.235
-1.9e-05	0.006875	35.4463
-1e-06	0.006875	4.80616e-309
1.7e-05	0.006875	3.09874e-309
3.5e-05	0.006875	2.72879e-310
5.3e-05	0.006875	1.70257e-311
7.1e-05	0.006875	0
-0.000271	0.009625	0
-0.000253	0.009625	0
-0.000235	0.009625	0
-0.000217	0.009625	0
-0.000199	0.009625	0
-0.000181	0.009625	188897
-0.000163	0.009625	477915
-0.000145	0.009625	526164
-0.000127	0.009625	358034
-0.000109	0.009625	370866
-9.1e-05	0.009625	160331
-7.3e-05	0.009625	87281.9
-5.5e-05	0.009625	55214.7
-3.7e-05	0.009625	287.995
-1.9e-05	0.009625	1.06865e-308
-1e-06	0.009625	4.74565e-309
1.7e-05	0.009625	2.88744e-309
3.5e-05	0.009625	4.37262e-310
5.3e-05	0.009625	8.58487e-312
7.1e-05	0.009625	0
-0.000271	0.012375	0
-0.000253	0.012375	0
-0.000235	0.012375	0
-0.000217	0.012375	0
-0.000199	0.012375	110373
-0.000181	0.012375	439214
-0.000163	0.012375	518758
-0.000145	0.012375	389599
-0.000127	0.012375	231387
-0.000109	0.012375	355221
-9.1e-05	0.012375	188045
-7.3e-05	0.012375	148223
-5.5e-05	0.012375	914.953
-3.7e-05	0.012375	11.2575
-1.9e-05	0.012375	1.54562e-308
-1e-06	0.012375	4.89511e-309
1.7e-05	0.012375	1.89385e-309
3.5e-05	0.012375	6.81959e-311
5.3e-05	0.012375	8.81652e-312
7.1e-05	0.012375	0
-0.000271	0.015125	0
-0.000253	0.015125	0
-0.000235	0.015125	0
-0.000217	0.015125	25781.8
-0.000199	0.015125	208161
-0.000181	0.015125	373605
-0.000163	0.015125	474426
-0.000145	0.015125	266270
-0.000127	0.015125	275724
-0.000109	0.015125	388102
-9.1e-05	0.015125	260523
-7.3e-05	0.015125	39169.5
-5.5e-05	0.015125	20.3177
-3.7e-05	0.015125	2.38637e-308
-1.9e-05	0.015125	1.33372e-308
-1e-06	0.015125	5.36385e-309
1.7e-05	0.015125	1.01221e-309
3.5e-05	0.015125	5.85703e-311
5.3e-05	0.015125	0
7.1e-05	0.015125	0
-0.000271	0.017875	0
-0.000253	0.017875	0
-0.000235	0.017875	0
-0.000217	0.017875	57998
-0.000199	0.017875	152737
-0.000181	0.017875	363752
-0.000163	0.017875	417808
-0.000145	0.017875	534166
-0.000127	0.017875	181052
-0.000109	0.017875	273243
-9.1e-05	0.017875	96878.1
-7.3e-05	0.017875	46.9427
-5.5e-05	0.017875	0.306539
-3.7e-05	0.017875	2.97616e-308
-1.9e-05	0.017875	7.6378e-309
-1e-06	0.017875	3.97682e-309
1.7e-05	0.017875	3.67929e-310
3.5e-05	0.017875	4.64026e-311
5.3e-05	0.017875	0
7.1e-05	0.017875	0
-0.000271	0.020625	0
-0.000253	0.020625	0
-0.000235	0.020625	243.283
-0.000217	0.020625	9593.17
-0.000199	0.020625	162234
-0.000181	0.020625	705627
-0.000163	0.020625	743084
-0.000145	0.020625	256674
-0.000127	0.020625	96140
-0.000109	0.020625	93529.4
-9.1e-05	0.020625	2400.8
-7.3e-05	0.020625	8.15089
-5.5e-05	0.020625	0.00246906
-3.7e-05	0.020625	1.76556e-308
-1.9e-05	0.020625	6.11675e-309
-1e-06	0.020625	2.23309e-309
1.7e-05	0.020625	9.06953e-311
3.5e-05	0.020625	0
5.3e-05	0.020625	0
7.1e-05	0.020625	0
-0.000271	0.023375	0
-0.000253	0.023375	0.37225
-0.000235	0.023375	26.126
-0.000217	0.023375	7704.41
-0.000199	0.023375	371014
-0.000181	0.023375	827327
-0.000163	0.023375	544170
-0.000145	0.023375	122467
-0.000127	0.023375	39928.6
-0.000109	0.023375	6198.53
-9.1e-05	0.023375	111.754
-7.3e-05	0.023375	0.0384474
-5.5e-05	0.023375	1.33265e-308
-3.7e-05	0.023375	1.19721e-308
-1.9e-05	0.023375	6.73952e-309
-1e-06	0.023375	1.00842e-309
1.7e-05	0.023375	4.31771e-311
3.5e-05	0.023375	0
5.3e-05	0.023375	0
7.1e-05	0.023375	0
-0.000271	0.026125	2.05996e-05
-0.000253	0.026125	0.00790481
-0.000235	0.026125	3.69757
-0.000217	0.026125	10043.1
-0.000199	0.026125	140165
-0.000181	0.026125	653151
-0.000163	0.026125	183965
-0.000145	0.026125	78269.3
-0.000127	0.026125	6303.49
-0.000109	0.026125	217.932
-9.1e-05	0.026125	0.209651
-7.3e-05	0.026125	0.00102354
-5.5e-05	0.026125	1.43448e-308
-3.7e-05	0.026125	1.39311e-308
-1.9e-05	0.026125	6.7259e-309
-1e-06	0.026125	3.13785e-310
1.7e-05	0.026125	2.12279e-311
3.5e-05	0.026125	0
5.3e-05	0.026125	0
7.1e-05	0.026125	0
-0.000271	0.028875	6.47884e-09
-0.000253	0.028875	0.00258891
-0.000235	0.028875	1.54985
-0.000217	0.028875	4912.93
-0.000199	0.028875	77760.3
-0.000181	0.028875	291109
-0.000163	0.028875	87930.9
-0.000145	0.028875	6231.46
-0.000127	0.028875	71.1921
-0.000109	0.028875	4.67483
-9.1e-05	0.028875	0.016539
-7.3e-05	0.028875	1.05441e-308
-5.5e-05	0.028875	1.77808e-308
-3.7e-05	0.028875	1.00261e-308
-1.9e-05	0.028875	4.05328e-309
-1e-06	0.028875	5.26733e-311
1.7e-05	0.028875	0
3.5e-05	0.028875	0
5.3e-05	0.028875	0
7.1e-05	0.028875	0
-0.000271	0.031625	1.7962e-10
-0.000253	0.031625	0.000158963
-0.000235	0.031625	1.59319
-0.000217	0.031625	719.035
