#theta_0	N_0	probability

-0.0004744	0.00215	2.63215e-36
-0.0004632	0.00215	2.66587e-34
-0.000452	0.00215	2.94377e-32
-0.0004408	0.00215	2.58242e-29
-0.0004296	0.00215	1.07492e-26
-0.0004184	0.00215	4.50529e-25
-0.0004072	0.00215	3.92431e-23
-0.000396	0.00215	7.14278e-22
-0.0003848	0.00215	1.37166e-20
-0.0003736	0.00215	6.38714e-19
-0.0003624	0.00215	1.1535e-17
-0.0003512	0.00215	3.42521e-16
-0.00034	0.00215	1.36292e-14
-0.0003288	0.00215	4.41856e-14
-0.0003176	0.00215	3.4471e-13
-0.0003064	0.00215	3.93781e-12
-0.0002952	0.00215	1.95818e-11
-0.000284	0.00215	1.56287e-10
-0.0002728	0.00215	4.65928e-10
-0.0002616	0.00215	3.65714e-09
-0.0002504	0.00215	1.60068e-08
-0.0002392	0.00215	6.64167e-08
-0.000228	0.00215	6.28211e-08
-0.0002168	0.00215	3.56921e-07
-0.0002056	0.00215	3.08321e-07
-0.0001944	0.00215	1.24309e-07
-0.0001832	0.00215	3.81493e-08
-0.000172	0.00215	9.3495e-09
-0.0001608	0.00215	1.79242e-09
-0.0001496	0.00215	1.23591e-10
-0.0001384	0.00215	5.41139e-11
-0.0001272	0.00215	7.37153e-12
-0.000116	0.00215	9.56674e-13
-0.0001048	0.00215	2.06899e-13
-9.36e-05	0.00215	2.74372e-14
-8.24e-05	0.00215	6.76771e-15
-7.12e-05	0.00215	1.50371e-15
-6e-05	0.00215	1.15611e-16
-4.88e-05	0.00215	2.17199e-17
-3.76e-05	0.00215	7.80343e-19
-2.64e-05	0.00215	1.256e-21
-1.52e-05	0.00215	4.40252e-24
-4e-06	0.00215	7.55152e-27
7.2e-06	0.00215	2.22197e-28
1.84e-05	0.00215	3.78493e-31
2.96e-05	0.00215	5.6583e-34
4.08e-05	0.00215	5.28708e-36
5.2e-05	0.00215	9.11047e-39
6.32e-05	0.00215	5.70546e-41
7.44e-05	0.00215	1.08565e-43
-0.0004744	0.00645	2.83507e-35
-0.0004632	0.00645	2.13265e-33
-0.000452	0.00645	2.4471e-31
-0.0004408	0.00645	9.78596e-29
-0.0004296	0.00645	3.19085e-26
-0.0004184	0.00645	4.4483e-24
-0.0004072	0.00645	1.05788e-22
-0.000396	0.00645	1.86776e-21
-0.0003848	0.00645	1.61468e-20
-0.0003736	0.00645	4.37659e-19
-0.0003624	0.00645	6.01295e-17
-0.0003512	0.00645	1.66798e-15
-0.00034	0.00645	2.28096e-14
-0.0003288	0.00645	4.15964e-13
-0.0003176	0.00645	7.48141e-13
-0.0003064	0.00645	1.79839e-11
-0.0002952	0.00645	1.06658e-10
-0.000284	0.00645	1.38651e-09
-0.0002728	0.00645	3.56598e-09
-0.0002616	0.00645	1.58659e-08
-0.0002504	0.00645	5.85517e-08
-0.0002392	0.00645	1.4449e-07
-0.000228	0.00645	1.61965e-07
-0.0002168	0.00645	4.29204e-07
-0.0002056	0.00645	1.06058e-06
-0.0001944	0.00645	3.54835e-07
-0.0001832	0.00645	2.29612e-07
-0.000172	0.00645	5.27659e-08
-0.0001608	0.00645	4.4168e-09
-0.0001496	0.00645	9.14969e-10
-0.0001384	0.00645	1.56852e-10
-0.0001272	0.00645	1.40139e-10
-0.000116	0.00645	1.17728e-11
-0.0001048	0.00645	2.83347e-12
-9.36e-05	0.00645	6.89701e-14
-8.24e-05	0.00645	1.40915e-14
-7.12e-05	0.00645	2.1839e-15
-6e-05	0.00645	3.31529e-16
-4.88e-05	0.00645	1.12071e-16
-3.76e-05	0.00645	1.94969e-18
-2.64e-05	0.00645	2.22403e-21
-1.52e-05	0.00645	2.37688e-23
-4e-06	0.00645	3.09748e-26
7.2e-06	0.00645	8.77892e-28
1.84e-05	0.00645	1.57723e-30
2.96e-05	0.00645	5.05945e-33
4.08e-05	0.00645	2.19594e-35
5.2e-05	0.00645	2.55583e-38
6.32e-05	0.00645	3.47773e-40
7.44e-05	0.00645	2.31717e-43
-0.0004744	0.01075	2.23493e-34
-0.0004632	0.01075	6.0649e-33
-0.000452	0.01075	1.59465e-30
-0.0004408	0.01075	6.21345e-28
-0.0004296	0.01075	1.51287e-25
-0.0004184	0.01075	4.63969e-24
-0.0004072	0.01075	5.75823e-22
-0.000396	0.01075	7.10274e-21
-0.0003848	0.01075	5.74235e-20
-0.0003736	0.01075	3.39003e-18
-0.0003624	0.01075	1.71643e-16
-0.0003512	0.01075	2.35217e-15
-0.00034	0.01075	4.55028e-14
-0.0003288	0.01075	1.11867e-12
-0.0003176	0.01075	2.36493e-12
-0.0003064	0.01075	6.53757e-11
-0.0002952	0.01075	2.91767e-10
-0.000284	0.01075	2.77145e-09
-0.0002728	0.01075	2.31894e-08
-0.0002616	0.01075	7.85911e-08
-0.0002504	0.01075	4.98797e-07
-0.0002392	0.01075	2.65208e-07
-0.000228	0.01075	7.68162e-07
-0.0002168	0.01075	1.74114e-06
-0.0002056	0.01075	2.12974e-06
-0.0001944	0.01075	7.94115e-07
-0.0001832	0.01075	3.34191e-07
-0.000172	0.01075	9.51865e-08
-0.0001608	0.01075	3.15595e-08
-0.0001496	0.01075	4.78537e-09
-0.0001384	0.01075	8.69678e-10
-0.0001272	0.01075	4.45997e-10
-0.000116	0.01075	2.97443e-11
-0.0001048	0.01075	8.55695e-12
-9.36e-05	0.01075	5.27814e-13
-8.24e-05	0.01075	6.05504e-14
-7.12e-05	0.01075	3.71422e-15
-6e-05	0.01075	6.863e-16
-4.88e-05	0.01075	6.68198e-17
-3.76e-05	0.01075	2.74875e-18
-2.64e-05	0.01075	8.06384e-21
-1.52e-05	0.01075	9.42794e-23
-4e-06	0.01075	4.63496e-26
7.2e-06	0.01075	9.31735e-28
1.84e-05	0.01075	6.4645e-30
2.96e-05	0.01075	4.03672e-32
4.08e-05	0.01075	4.93452e-35
5.2e-05	0.01075	5.89605e-38
6.32e-05	0.01075	2.21725e-39
7.44e-05	0.01075	1.80771e-43
-0.0004744	0.01505	5.66774e-34
-0.0004632	0.01505	3.87976e-32
-0.000452	0.01505	1.37115e-29
-0.0004408	0.01505	1.42576e-27
-0.0004296	0.01505	2.30183e-25
-0.0004184	0.01505	1.602e-23
-0.0004072	0.01505	5.02079e-21
-0.000396	0.01505	2.92301e-20
-0.0003848	0.01505	4.0483e-19
-0.0003736	0.01505	1.54855e-17
-0.0003624	0.01505	2.74658e-16
-0.0003512	0.01505	7.49374e-15
-0.00034	0.01505	1.00067e-13
-0.0003288	0.01505	2.88356e-12
-0.0003176	0.01505	5.63605e-12
-0.0003064	0.01505	9.90177e-11
-0.0002952	0.01505	7.07771e-10
-0.000284	0.01505	7.89252e-09
-0.0002728	0.01505	1.57581e-07
-0.0002616	0.01505	2.16839e-07
-0.0002504	0.01505	4.08117e-06
-0.0002392	0.01505	1.25734e-06
-0.000228	0.01505	2.08333e-06
-0.0002168	0.01505	3.9096e-06
-0.0002056	0.01505	5.72978e-06
-0.0001944	0.01505	1.17562e-06
-0.0001832	0.01505	2.37904e-06
-0.000172	0.01505	5.62315e-07
-0.0001608	0.01505	1.30653e-07
-0.0001496	0.01505	1.55392e-08
-0.0001384	0.01505	3.22754e-09
-0.0001272	0.01505	6.02871e-10
-0.000116	0.01505	9.11764e-11
-0.0001048	0.01505	3.22584e-11
-9.36e-05	0.01505	1.63587e-12
-8.24e-05	0.01505	1.7729e-13
-7.12e-05	0.01505	9.35405e-15
-6e-05	0.01505	7.58765e-16
-4.88e-05	0.01505	2.10755e-16
-3.76e-05	0.01505	5.28997e-18
-2.64e-05	0.01505	1.93934e-20
-1.52e-05	0.01505	1.53866e-22
-4e-06	0.01505	1.99992e-25
7.2e-06	0.01505	2.66339e-27
1.84e-05	0.01505	2.04861e-29
2.96e-05	0.01505	2.17935e-31
4.08e-05	0.01505	3.23261e-34
5.2e-05	0.01505	4.99254e-37
6.32e-05	0.01505	1.06295e-38
7.44e-05	0.01505	1.61256e-42
-0.0004744	0.01935	1.62212e-33
-0.0004632	0.01935	4.37569e-31
-0.000452	0.01935	3.36893e-29
-0.0004408	0.01935	4.14713e-27
-0.0004296	0.01935	7.17386e-25
-0.0004184	0.01935	1.1942e-23
-0.0004072	0.01935	1.12268e-21
-0.000396	0.01935	2.90361e-20
-0.0003848	0.01935	8.96466e-19
-0.0003736	0.01935	4.21424e-17
-0.0003624	0.01935	1.80149e-15
-0.0003512	0.01935	4.98402e-14
-0.00034	0.01935	8.30417e-13
-0.0003288	0.01935	3.28539e-12
-0.0003176	0.01935	4.69414e-11
-0.0003064	0.01935	4.25679e-10
-0.0002952	0.01935	2.29442e-09
-0.000284	0.01935	1.63544e-08
-0.0002728	0.01935	2.80269e-07
-0.0002616	0.01935	5.37975e-07
-0.0002504	0.01935	6.56627e-06
-0.0002392	0.01935	9.07875e-06
-0.000228	0.01935	7.53141e-06
-0.0002168	0.01935	1.29845e-05
-0.0002056	0.01935	7.18781e-06
-0.0001944	0.01935	4.36453e-06
-0.0001832	0.01935	5.58903e-06
-0.000172	0.01935	3.74564e-06
-0.0001608	0.01935	3.94968e-07
-0.0001496	0.01935	8.69286e-08
-0.0001384	0.01935	7.86226e-09
-0.0001272	0.01935	3.666e-09
-0.000116	0.01935	6.14112e-10
-0.0001048	0.01935	7.8166e-11
-9.36e-05	0.01935	8.66374e-12
-8.24e-05	0.01935	6.26925e-13
-7.12e-05	0.01935	2.33929e-14
-6e-05	0.01935	1.66885e-15
-4.88e-05	0.01935	2.29969e-16
-3.76e-05	0.01935	3.05498e-18
-2.64e-05	0.01935	3.1563e-20
-1.52e-05	0.01935	3.71177e-22
-4e-06	0.01935	1.01174e-24
7.2e-06	0.01935	5.41467e-27
1.84e-05	0.01935	1.66129e-28
2.96e-05	0.01935	4.26323e-31
4.08e-05	0.01935	2.05216e-33
5.2e-05	0.01935	3.9237e-36
6.32e-05	0.01935	2.33641e-38
7.44e-05	0.01935	1.26702e-41
-0.0004744	0.02365	5.31971e-33
-0.0004632	0.02365	8.83627e-31
-0.000452	0.02365	3.33854e-29
-0.0004408	0.02365	1.48098e-26
-0.0004296	0.02365	5.48412e-25
-0.0004184	0.02365	1.86956e-23
-0.0004072	0.02365	4.16468e-21
-0.000396	0.02365	1.0385e-19
-0.0003848	0.02365	2.39403e-18
-0.0003736	0.02365	9.76439e-17
-0.0003624	0.02365	7.7524e-15
-0.0003512	0.02365	2.77858e-13
-0.00034	0.02365	1.2013e-12
-0.0003288	0.02365	1.64234e-11
-0.0003176	0.02365	1.02391e-10
-0.0003064	0.02365	7.2695e-10
-0.0002952	0.02365	1.10187e-08
-0.000284	0.02365	9.42752e-08
-0.0002728	0.02365	4.87814e-07
-0.0002616	0.02365	2.15245e-06
-0.0002504	0.02365	2.46014e-05
-0.0002392	0.02365	2.47557e-05
-0.000228	0.02365	2.56233e-05
-0.0002168	0.02365	3.90926e-05
-0.0002056	0.02365	2.29865e-05
-0.0001944	0.02365	1.39096e-05
-0.0001832	0.02365	1.17586e-05
-0.000172	0.02365	1.47136e-06
-0.0001608	0.02365	4.64996e-07
-0.0001496	0.02365	3.80574e-07
-0.0001384	0.02365	1.47098e-08
-0.0001272	0.02365	6.41719e-09
-0.000116	0.02365	9.23392e-10
-0.0001048	0.02365	4.69482e-10
-9.36e-05	0.02365	3.17975e-11
-8.24e-05	0.02365	1.25662e-12
-7.12e-05	0.02365	7.11976e-14
-6e-05	0.02365	3.96389e-15
-4.88e-05	0.02365	2.77565e-16
-3.76e-05	0.02365	1.21289e-17
-2.64e-05	0.02365	7.4287e-20
-1.52e-05	0.02365	7.65641e-22
