#gamma	theta_0	probability

2.65235e-05	0.0001672	3.4787e-45
2.65305e-05	0.0001672	1.259e-43
2.65375e-05	0.0001672	3.69166e-43
2.65445e-05	0.0001672	5.137e-42
2.65515e-05	0.0001672	5.51889e-41
2.65585e-05	0.0001672	5.83896e-40
2.65655e-05	0.0001672	3.21101e-39
2.65725e-05	0.0001672	7.28398e-39
2.65795e-05	0.0001672	4.30836e-38
2.65865e-05	0.0001672	1.06076e-36
2.65935e-05	0.0001672	9.28295e-38
2.66005e-05	0.0001672	3.55318e-37
2.66075e-05	0.0001672	3.01233e-37
2.66145e-05	0.0001672	8.97306e-37
2.66215e-05	0.0001672	2.63525e-36
2.66285e-05	0.0001672	3.8073e-36
2.66355e-05	0.0001672	5.84777e-36
2.66425e-05	0.0001672	1.34446e-35
2.66495e-05	0.0001672	2.24676e-35
2.66565e-05	0.0001672	5.93588e-35
2.66635e-05	0.0001672	2.33337e-34
2.66705e-05	0.0001672	9.41908e-35
2.66775e-05	0.0001672	1.33018e-34
2.66845e-05	0.0001672	9.0487e-35
2.66915e-05	0.0001672	1.02455e-34
2.66985e-05	0.0001672	4.92079e-35
2.67055e-05	0.0001672	2.04236e-35
2.67125e-05	0.0001672	7.45465e-35
2.67195e-05	0.0001672	3.53374e-35
2.67265e-05	0.0001672	3.46453e-35
2.67335e-05	0.0001672	6.16427e-34
2.67405e-05	0.0001672	6.82308e-34
2.67475e-05	0.0001672	9.95007e-33
2.67545e-05	0.0001672	1.7777e-32
2.67615e-05	0.0001672	8.83001e-32
2.67685e-05	0.0001672	1.23392e-31
2.67755e-05	0.0001672	8.46315e-31
2.67825e-05	0.0001672	2.42744e-30
2.67895e-05	0.0001672	4.7599e-30
2.67965e-05	0.0001672	1.98698e-30
2.68035e-05	0.0001672	2.57023e-30
2.68105e-05	0.0001672	5.09729e-31
2.68175e-05	0.0001672	9.04436e-31
2.68245e-05	0.0001672	8.59559e-30
2.68315e-05	0.0001672	1.1895e-29
2.68385e-05	0.0001672	1.34915e-30
2.68455e-05	0.0001672	9.50681e-31
