#n_l	N_0	probability

1.4002	0.01	-nan
1.4006	0.01	-nan
1.401	0.01	-nan
1.4014	0.01	-nan
1.4018	0.01	-nan
1.4022	0.01	-nan
1.4026	0.01	-nan
1.403	0.01	-nan
1.4034	0.01	-nan
1.4038	0.01	-nan
1.4042	0.01	-nan
1.4046	0.01	-nan
1.405	0.01	-nan
1.4054	0.01	-nan
1.4058	0.01	-nan
1.4062	0.01	-nan
1.4066	0.01	-nan
1.407	0.01	-nan
1.4074	0.01	-nan
1.4078	0.01	-nan
1.4082	0.01	-nan
1.4086	0.01	-nan
1.409	0.01	-nan
1.4094	0.01	-nan
1.4098	0.01	-nan
1.4102	0.01	-nan
1.4106	0.01	-nan
1.411	0.01	-nan
1.4114	0.01	-nan
1.4118	0.01	-nan
1.4122	0.01	-nan
1.4126	0.01	-nan
1.413	0.01	-nan
1.4134	0.01	-nan
1.4138	0.01	-nan
1.4142	0.01	-nan
1.4146	0.01	-nan
1.415	0.01	-nan
1.4154	0.01	-nan
1.4158	0.01	-nan
1.4162	0.01	-nan
1.4166	0.01	-nan
1.417	0.01	-nan
1.4174	0.01	-nan
1.4178	0.01	-nan
1.4182	0.01	-nan
1.4186	0.01	-nan
1.419	0.01	-nan
1.4194	0.01	-nan
1.4198	0.01	-nan
1.4202	0.01	-nan
1.4206	0.01	-nan
1.421	0.01	-nan
1.4214	0.01	-nan
1.4218	0.01	-nan
1.4222	0.01	-nan
1.4226	0.01	-nan
1.423	0.01	-nan
1.4234	0.01	-nan
1.4238	0.01	-nan
1.4242	0.01	-nan
1.4246	0.01	-nan
1.425	0.01	-nan
1.4254	0.01	-nan
1.4258	0.01	-nan
1.4262	0.01	-nan
1.4266	0.01	-nan
1.427	0.01	-nan
1.4274	0.01	-nan
1.4278	0.01	-nan
1.4282	0.01	-nan
1.4286	0.01	-nan
1.429	0.01	-nan
1.4294	0.01	-nan
1.4298	0.01	-nan
1.4302	0.01	-nan
1.4306	0.01	-nan
1.431	0.01	-nan
1.4314	0.01	-nan
1.4318	0.01	-nan
1.4322	0.01	-nan
1.4326	0.01	-nan
1.433	0.01	-nan
1.4334	0.01	-nan
1.4338	0.01	-nan
1.4342	0.01	-nan
1.4346	0.01	-nan
1.435	0.01	-nan
1.4354	0.01	-nan
1.4358	0.01	-nan
1.4362	0.01	-nan
1.4366	0.01	-nan
1.437	0.01	-nan
1.4374	0.01	-nan
1.4378	0.01	-nan
1.4382	0.01	-nan
1.4386	0.01	-nan
1.439	0.01	-nan
1.4394	0.01	-nan
1.4398	0.01	-nan
1.4002	0.03	-nan
1.4006	0.03	-nan
1.401	0.03	-nan
1.4014	0.03	-nan
1.4018	0.03	-nan
1.4022	0.03	-nan
1.4026	0.03	-nan
1.403	0.03	-nan
1.4034	0.03	-nan
1.4038	0.03	-nan
1.4042	0.03	-nan
1.4046	0.03	-nan
1.405	0.03	-nan
1.4054	0.03	-nan
1.4058	0.03	-nan
1.4062	0.03	-nan
1.4066	0.03	-nan
1.407	0.03	-nan
1.4074	0.03	-nan
1.4078	0.03	-nan
1.4082	0.03	-nan
1.4086	0.03	-nan
1.409	0.03	-nan
1.4094	0.03	-nan
1.4098	0.03	-nan
1.4102	0.03	-nan
1.4106	0.03	-nan
1.411	0.03	-nan
1.4114	0.03	-nan
1.4118	0.03	-nan
1.4122	0.03	-nan
1.4126	0.03	-nan
1.413	0.03	-nan
1.4134	0.03	-nan
1.4138	0.03	-nan
1.4142	0.03	-nan
1.4146	0.03	-nan
1.415	0.03	-nan
1.4154	0.03	-nan
1.4158	0.03	-nan
1.4162	0.03	-nan
1.4166	0.03	-nan
1.417	0.03	-nan
1.4174	0.03	-nan
1.4178	0.03	-nan
1.4182	0.03	-nan
1.4186	0.03	-nan
1.419	0.03	-nan
1.4194	0.03	-nan
1.4198	0.03	-nan
1.4202	0.03	-nan
1.4206	0.03	-nan
1.421	0.03	-nan
1.4214	0.03	-nan
1.4218	0.03	-nan
1.4222	0.03	-nan
1.4226	0.03	-nan
1.423	0.03	-nan
1.4234	0.03	-nan
1.4238	0.03	-nan
1.4242	0.03	-nan
1.4246	0.03	-nan
1.425	0.03	-nan
1.4254	0.03	-nan
1.4258	0.03	-nan
1.4262	0.03	-nan
1.4266	0.03	-nan
1.427	0.03	-nan
1.4274	0.03	-nan
1.4278	0.03	-nan
1.4282	0.03	-nan
1.4286	0.03	-nan
1.429	0.03	-nan
1.4294	0.03	-nan
1.4298	0.03	-nan
1.4302	0.03	-nan
1.4306	0.03	-nan
1.431	0.03	-nan
1.4314	0.03	-nan
1.4318	0.03	-nan
1.4322	0.03	-nan
1.4326	0.03	-nan
1.433	0.03	-nan
1.4334	0.03	-nan
1.4338	0.03	-nan
1.4342	0.03	-nan
1.4346	0.03	-nan
1.435	0.03	-nan
1.4354	0.03	-nan
1.4358	0.03	-nan
1.4362	0.03	-nan
1.4366	0.03	-nan
1.437	0.03	-nan
1.4374	0.03	-nan
1.4378	0.03	-nan
1.4382	0.03	-nan
1.4386	0.03	-nan
1.439	0.03	-nan
1.4394	0.03	-nan
1.4398	0.03	-nan
1.4002	0.05	-nan
1.4006	0.05	-nan
1.401	0.05	-nan
1.4014	0.05	-nan
1.4018	0.05	-nan
1.4022	0.05	-nan
1.4026	0.05	-nan
1.403	0.05	-nan
1.4034	0.05	-nan
1.4038	0.05	-nan
1.4042	0.05	-nan
1.4046	0.05	-nan
1.405	0.05	-nan
1.4054	0.05	-nan
1.4058	0.05	-nan
1.4062	0.05	-nan
1.4066	0.05	-nan
1.407	0.05	-nan
1.4074	0.05	-nan
1.4078	0.05	-nan
1.4082	0.05	-nan
1.4086	0.05	-nan
1.409	0.05	-nan
1.4094	0.05	-nan
1.4098	0.05	-nan
1.4102	0.05	-nan
1.4106	0.05	-nan
1.411	0.05	-nan
1.4114	0.05	-nan
1.4118	0.05	-nan
1.4122	0.05	-nan
1.4126	0.05	-nan
1.413	0.05	-nan
1.4134	0.05	-nan
1.4138	0.05	-nan
1.4142	0.05	-nan
1.4146	0.05	-nan
1.415	0.05	-nan
1.4154	0.05	-nan
1.4158	0.05	-nan
1.4162	0.05	-nan
1.4166	0.05	-nan
1.417	0.05	-nan
1.4174	0.05	-nan
1.4178	0.05	-nan
