#theta_0	N_0	probability

-0.00196	0.01	-nan
-0.00188	0.01	-nan
-0.0018	0.01	-nan
-0.00172	0.01	-nan
-0.00164	0.01	-nan
-0.00156	0.01	-nan
-0.00148	0.01	-nan
-0.0014	0.01	-nan
-0.00132	0.01	-nan
-0.00124	0.01	-nan
-0.00116	0.01	-nan
-0.00108	0.01	-nan
-0.001	0.01	-nan
-0.00092	0.01	-nan
-0.00084	0.01	-nan
-0.00076	0.01	-nan
-0.00068	0.01	-nan
-0.0006	0.01	-nan
-0.00052	0.01	-nan
-0.00044	0.01	-nan
-0.00036	0.01	-nan
-0.00028	0.01	-nan
-0.0002	0.01	-nan
-0.00012	0.01	-nan
-4e-05	0.01	-nan
4e-05	0.01	-nan
0.00012	0.01	-nan
0.0002	0.01	-nan
0.00028	0.01	-nan
0.00036	0.01	-nan
0.00044	0.01	-nan
0.00052	0.01	-nan
0.0006	0.01	-nan
0.00068	0.01	-nan
0.00076	0.01	-nan
0.00084	0.01	-nan
0.00092	0.01	-nan
0.001	0.01	-nan
0.00108	0.01	-nan
0.00116	0.01	-nan
0.00124	0.01	-nan
0.00132	0.01	-nan
0.0014	0.01	-nan
0.00148	0.01	-nan
0.00156	0.01	-nan
0.00164	0.01	-nan
0.00172	0.01	-nan
0.0018	0.01	-nan
0.00188	0.01	-nan
0.00196	0.01	-nan
-0.00196	0.03	-nan
-0.00188	0.03	-nan
-0.0018	0.03	-nan
-0.00172	0.03	-nan
-0.00164	0.03	-nan
-0.00156	0.03	-nan
-0.00148	0.03	-nan
-0.0014	0.03	-nan
-0.00132	0.03	-nan
-0.00124	0.03	-nan
-0.00116	0.03	-nan
-0.00108	0.03	-nan
-0.001	0.03	-nan
-0.00092	0.03	-nan
-0.00084	0.03	-nan
-0.00076	0.03	-nan
-0.00068	0.03	-nan
-0.0006	0.03	-nan
-0.00052	0.03	-nan
-0.00044	0.03	-nan
-0.00036	0.03	-nan
-0.00028	0.03	-nan
-0.0002	0.03	-nan
-0.00012	0.03	-nan
-4e-05	0.03	-nan
4e-05	0.03	-nan
0.00012	0.03	-nan
0.0002	0.03	-nan
0.00028	0.03	-nan
0.00036	0.03	-nan
0.00044	0.03	-nan
0.00052	0.03	-nan
0.0006	0.03	-nan
0.00068	0.03	-nan
0.00076	0.03	-nan
0.00084	0.03	-nan
0.00092	0.03	-nan
0.001	0.03	-nan
0.00108	0.03	-nan
0.00116	0.03	-nan
0.00124	0.03	-nan
0.00132	0.03	-nan
0.0014	0.03	-nan
0.00148	0.03	-nan
0.00156	0.03	-nan
0.00164	0.03	-nan
0.00172	0.03	-nan
0.0018	0.03	-nan
0.00188	0.03	-nan
0.00196	0.03	-nan
-0.00196	0.05	-nan
-0.00188	0.05	-nan
-0.0018	0.05	-nan
-0.00172	0.05	-nan
-0.00164	0.05	-nan
-0.00156	0.05	-nan
-0.00148	0.05	-nan
-0.0014	0.05	-nan
-0.00132	0.05	-nan
-0.00124	0.05	-nan
-0.00116	0.05	-nan
-0.00108	0.05	-nan
-0.001	0.05	-nan
-0.00092	0.05	-nan
-0.00084	0.05	-nan
-0.00076	0.05	-nan
-0.00068	0.05	-nan
-0.0006	0.05	-nan
-0.00052	0.05	-nan
-0.00044	0.05	-nan
-0.00036	0.05	-nan
-0.00028	0.05	-nan
-0.0002	0.05	-nan
-0.00012	0.05	-nan
-4e-05	0.05	-nan
4e-05	0.05	-nan
0.00012	0.05	-nan
0.0002	0.05	-nan
0.00028	0.05	-nan
0.00036	0.05	-nan
0.00044	0.05	-nan
0.00052	0.05	-nan
0.0006	0.05	-nan
0.00068	0.05	-nan
0.00076	0.05	-nan
0.00084	0.05	-nan
0.00092	0.05	-nan
0.001	0.05	-nan
0.00108	0.05	-nan
0.00116	0.05	-nan
0.00124	0.05	-nan
0.00132	0.05	-nan
0.0014	0.05	-nan
0.00148	0.05	-nan
0.00156	0.05	-nan
0.00164	0.05	-nan
0.00172	0.05	-nan
0.0018	0.05	-nan
0.00188	0.05	-nan
0.00196	0.05	-nan
-0.00196	0.07	-nan
-0.00188	0.07	-nan
-0.0018	0.07	-nan
-0.00172	0.07	-nan
-0.00164	0.07	-nan
-0.00156	0.07	-nan
-0.00148	0.07	-nan
-0.0014	0.07	-nan
-0.00132	0.07	-nan
-0.00124	0.07	-nan
-0.00116	0.07	-nan
-0.00108	0.07	-nan
-0.001	0.07	-nan
-0.00092	0.07	-nan
-0.00084	0.07	-nan
-0.00076	0.07	-nan
-0.00068	0.07	-nan
-0.0006	0.07	-nan
-0.00052	0.07	-nan
-0.00044	0.07	-nan
-0.00036	0.07	-nan
-0.00028	0.07	-nan
-0.0002	0.07	-nan
-0.00012	0.07	-nan
-4e-05	0.07	-nan
4e-05	0.07	-nan
0.00012	0.07	-nan
0.0002	0.07	-nan
0.00028	0.07	-nan
0.00036	0.07	-nan
0.00044	0.07	-nan
0.00052	0.07	-nan
0.0006	0.07	-nan
0.00068	0.07	-nan
0.00076	0.07	-nan
0.00084	0.07	-nan
0.00092	0.07	-nan
0.001	0.07	-nan
0.00108	0.07	-nan
0.00116	0.07	-nan
0.00124	0.07	-nan
0.00132	0.07	-nan
0.0014	0.07	-nan
0.00148	0.07	-nan
0.00156	0.07	-nan
0.00164	0.07	-nan
0.00172	0.07	-nan
0.0018	0.07	-nan
0.00188	0.07	-nan
0.00196	0.07	-nan
-0.00196	0.09	-nan
-0.00188	0.09	-nan
-0.0018	0.09	-nan
-0.00172	0.09	-nan
-0.00164	0.09	-nan
-0.00156	0.09	-nan
-0.00148	0.09	-nan
-0.0014	0.09	-nan
-0.00132	0.09	-nan
-0.00124	0.09	-nan
-0.00116	0.09	-nan
-0.00108	0.09	-nan
-0.001	0.09	-nan
-0.00092	0.09	-nan
-0.00084	0.09	-nan
-0.00076	0.09	-nan
-0.00068	0.09	-nan
-0.0006	0.09	-nan
-0.00052	0.09	-nan
-0.00044	0.09	-nan
-0.00036	0.09	-nan
-0.00028	0.09	-nan
-0.0002	0.09	-nan
-0.00012	0.09	-nan
-4e-05	0.09	-nan
4e-05	0.09	-nan
0.00012	0.09	-nan
0.0002	0.09	-nan
0.00028	0.09	-nan
0.00036	0.09	-nan
0.00044	0.09	-nan
0.00052	0.09	-nan
0.0006	0.09	-nan
0.00068	0.09	-nan
0.00076	0.09	-nan
0.00084	0.09	-nan
0.00092	0.09	-nan
0.001	0.09	-nan
0.00108	0.09	-nan
0.00116	0.09	-nan
0.00124	0.09	-nan
0.00132	0.09	-nan
0.0014	0.09	-nan
0.00148	0.09	-nan
0.00156	0.09	-nan
0.00164	0.09	-nan
0.00172	0.09	-nan
0.0018	0.09	-nan
0.00188	0.09	-nan
0.00196	0.09	-nan
-0.00196	0.11	-nan
-0.00188	0.11	-nan
-0.0018	0.11	-nan
-0.00172	0.11	-nan
-0.00164	0.11	-nan
-0.00156	0.11	-nan
