#n_l	N_0	probability

1.40527	0.0075	0
1.4062	0.0075	0
1.40714	0.0075	0
1.40808	0.0075	0
1.40901	0.0075	0
1.40995	0.0075	0
1.41088	0.0075	0
1.41182	0.0075	0
1.41276	0.0075	0
1.41369	0.0075	0
1.41463	0.0075	0
1.41556	0.0075	0
1.4165	0.0075	0
1.41744	0.0075	0
1.41837	0.0075	0
1.41931	0.0075	0
1.42024	0.0075	0
1.42118	0.0075	0
1.42212	0.0075	0
1.42305	0.0075	0
1.42399	0.0075	0
1.42492	0.0075	0
1.42586	0.0075	0
1.4268	0.0075	0
1.42773	0.0075	0
1.42867	0.0075	0
1.4296	0.0075	0
1.43054	0.0075	0
1.43148	0.0075	0
1.43241	0.0075	0
1.43335	0.0075	0
1.43428	0.0075	0
1.43522	0.0075	0
1.43616	0.0075	0
1.43709	0.0075	0
1.43803	0.0075	0
1.43896	0.0075	0
1.4399	0.0075	0
1.44084	0.0075	0
1.44177	0.0075	0
1.44271	0.0075	0
1.44364	0.0075	0
1.44458	0.0075	0
1.44552	0.0075	0
1.44645	0.0075	0
1.44739	0.0075	0
1.44832	0.0075	0
1.44926	0.0075	0
1.4502	0.0075	0
1.45113	0.0075	0
1.40527	0.0225	0
1.4062	0.0225	0
1.40714	0.0225	0
1.40808	0.0225	0
1.40901	0.0225	0
1.40995	0.0225	0
1.41088	0.0225	0
1.41182	0.0225	0
1.41276	0.0225	0
1.41369	0.0225	0
1.41463	0.0225	0
1.41556	0.0225	0
1.4165	0.0225	0
1.41744	0.0225	0
1.41837	0.0225	0
1.41931	0.0225	0
1.42024	0.0225	0
1.42118	0.0225	0
1.42212	0.0225	0
1.42305	0.0225	0
1.42399	0.0225	0
1.42492	0.0225	0
1.42586	0.0225	0
1.4268	0.0225	0
1.42773	0.0225	0
1.42867	0.0225	0
1.4296	0.0225	0
1.43054	0.0225	0
1.43148	0.0225	0
1.43241	0.0225	0
1.43335	0.0225	0
1.43428	0.0225	0
1.43522	0.0225	0
1.43616	0.0225	0
1.43709	0.0225	0
1.43803	0.0225	0
1.43896	0.0225	0
1.4399	0.0225	0
1.44084	0.0225	0
1.44177	0.0225	0
1.44271	0.0225	0
1.44364	0.0225	0
1.44458	0.0225	0
1.44552	0.0225	0
1.44645	0.0225	0
1.44739	0.0225	0
1.44832	0.0225	0
1.44926	0.0225	0
1.4502	0.0225	0
1.45113	0.0225	0
1.40527	0.0375	0
1.4062	0.0375	0
1.40714	0.0375	0
1.40808	0.0375	0
1.40901	0.0375	7.7072e-20
1.40995	0.0375	1.0861e-15
1.41088	0.0375	6.40249e-16
1.41182	0.0375	6.48955e-16
1.41276	0.0375	0
1.41369	0.0375	3.37997e-15
1.41463	0.0375	7.62739e-13
1.41556	0.0375	7.15235e-12
1.4165	0.0375	4.92035e-11
1.41744	0.0375	3.13416e-10
1.41837	0.0375	1.04079e-10
1.41931	0.0375	4.09654e-09
1.42024	0.0375	3.1758e-10
1.42118	0.0375	3.52522e-10
1.42212	0.0375	7.31548e-09
1.42305	0.0375	3.51521e-10
1.42399	0.0375	5.67776e-10
1.42492	0.0375	1.15846e-09
1.42586	0.0375	1.7565e-09
1.4268	0.0375	4.90994e-09
1.42773	0.0375	1.55032e-08
1.42867	0.0375	1.52496e-08
1.4296	0.0375	3.2488e-09
1.43054	0.0375	1.003e-08
1.43148	0.0375	2.81802e-08
1.43241	0.0375	4.7005e-09
