#theta_0	N_0	probability

-0.000385	0.0075	0
-0.000355	0.0075	0
-0.000325	0.0075	0
-0.000295	0.0075	0
-0.000265	0.0075	0
-0.000235	0.0075	0
-0.000205	0.0075	0
-0.000175	0.0075	0
-0.000145	0.0075	0
-0.000115	0.0075	0
-8.5e-05	0.0075	0
-5.5e-05	0.0075	0
-2.5e-05	0.0075	0
5e-06	0.0075	0
3.5e-05	0.0075	0
6.5e-05	0.0075	0
9.5e-05	0.0075	0
0.000125	0.0075	0
0.000155	0.0075	0
0.000185	0.0075	0
-0.000385	0.0225	0
-0.000355	0.0225	0
-0.000325	0.0225	0
-0.000295	0.0225	0
-0.000265	0.0225	0
-0.000235	0.0225	0
-0.000205	0.0225	0
-0.000175	0.0225	0
-0.000145	0.0225	0
-0.000115	0.0225	0
-8.5e-05	0.0225	0
-5.5e-05	0.0225	0
-2.5e-05	0.0225	0
5e-06	0.0225	0
3.5e-05	0.0225	0
6.5e-05	0.0225	0
9.5e-05	0.0225	0
0.000125	0.0225	0
0.000155	0.0225	0
0.000185	0.0225	0
-0.000385	0.0375	0
-0.000355	0.0375	0
-0.000325	0.0375	0
-0.000295	0.0375	0
-0.000265	0.0375	0
-0.000235	0.0375	0
-0.000205	0.0375	0
-0.000175	0.0375	0
-0.000145	0.0375	0
-0.000115	0.0375	5.23058e-06
-8.5e-05	0.0375	0
-5.5e-05	0.0375	0
-2.5e-05	0.0375	0
5e-06	0.0375	0
3.5e-05	0.0375	0
6.5e-05	0.0375	0
9.5e-05	0.0375	0
0.000125	0.0375	0
0.000155	0.0375	0
0.000185	0.0375	0
-0.000385	0.0525	0
-0.000355	0.0525	0
-0.000325	0.0525	0
-0.000295	0.0525	0
-0.000265	0.0525	0
-0.000235	0.0525	0
-0.000205	0.0525	0
-0.000175	0.0525	0
-0.000145	0.0525	0
-0.000115	0.0525	0.019212
-8.5e-05	0.0525	0
-5.5e-05	0.0525	0
-2.5e-05	0.0525	0
5e-06	0.0525	0
3.5e-05	0.0525	0
6.5e-05	0.0525	0
9.5e-05	0.0525	0
0.000125	0.0525	0
0.000155	0.0525	0
0.000185	0.0525	0
-0.000385	0.0675	0
-0.000355	0.0675	0
-0.000325	0.0675	0
-0.000295	0.0675	0
-0.000265	0.0675	0
-0.000235	0.0675	0
-0.000205	0.0675	0
-0.000175	0.0675	0
-0.000145	0.0675	0
-0.000115	0.0675	176.3
-8.5e-05	0.0675	2.83086e-08
-5.5e-05	0.0675	0
-2.5e-05	0.0675	0
5e-06	0.0675	0
3.5e-05	0.0675	0
6.5e-05	0.0675	0
9.5e-05	0.0675	0
0.000125	0.0675	0
0.000155	0.0675	0
0.000185	0.0675	0
-0.000385	0.0825	0
-0.000355	0.0825	0
-0.000325	0.0825	0
-0.000295	0.0825	0
-0.000265	0.0825	0
-0.000235	0.0825	0
-0.000205	0.0825	0
-0.000175	0.0825	0
-0.000145	0.0825	0
-0.000115	0.0825	39.1452
-8.5e-05	0.0825	0.16179
-5.5e-05	0.0825	0
-2.5e-05	0.0825	0
5e-06	0.0825	0
3.5e-05	0.0825	0
6.5e-05	0.0825	0
9.5e-05	0.0825	0
0.000125	0.0825	0
0.000155	0.0825	0
0.000185	0.0825	0
-0.000385	0.0975	0
-0.000355	0.0975	0
-0.000325	0.0975	0
-0.000295	0.0975	0
-0.000265	0.0975	0
-0.000235	0.0975	0
-0.000205	0.0975	0
-0.000175	0.0975	0
-0.000145	0.0975	0
-0.000115	0.0975	1460.83
-8.5e-05	0.0975	18.8511
-5.5e-05	0.0975	4.15653e-11
-2.5e-05	0.0975	0
5e-06	0.0975	0
3.5e-05	0.0975	0
6.5e-05	0.0975	0
9.5e-05	0.0975	0
0.000125	0.0975	0
0.000155	0.0975	0
0.000185	0.0975	0
-0.000385	0.1125	0
-0.000355	0.1125	0
-0.000325	0.1125	0
-0.000295	0.1125	0
-0.000265	0.1125	0
-0.000235	0.1125	0
-0.000205	0.1125	0
-0.000175	0.1125	0
-0.000145	0.1125	0
-0.000115	0.1125	595134
-8.5e-05	0.1125	1.87615
-5.5e-05	0.1125	6.98001e-09
-2.5e-05	0.1125	0
5e-06	0.1125	0
3.5e-05	0.1125	0
6.5e-05	0.1125	0
9.5e-05	0.1125	0
0.000125	0.1125	0
0.000155	0.1125	0
0.000185	0.1125	0
-0.000385	0.1275	0
-0.000355	0.1275	0
-0.000325	0.1275	0
-0.000295	0.1275	0
-0.000265	0.1275	0
-0.000235	0.1275	0
-0.000205	0.1275	0
-0.000175	0.1275	0
-0.000145	0.1275	0
-0.000115	0.1275	913039
-8.5e-05	0.1275	499.323
-5.5e-05	0.1275	1.91081e-05
-2.5e-05	0.1275	0
5e-06	0.1275	0
3.5e-05	0.1275	0
6.5e-05	0.1275	0
9.5e-05	0.1275	0
0.000125	0.1275	0
0.000155	0.1275	0
0.000185	0.1275	0
-0.000385	0.1425	0
-0.000355	0.1425	0
-0.000325	0.1425	0
-0.000295	0.1425	0
-0.000265	0.1425	0
-0.000235	0.1425	0
-0.000205	0.1425	0
-0.000175	0.1425	0
-0.000145	0.1425	0
-0.000115	0.1425	32774.2
-8.5e-05	0.1425	32889.7
-5.5e-05	0.1425	0.000470691
-2.5e-05	0.1425	0
5e-06	0.1425	0
3.5e-05	0.1425	0
6.5e-05	0.1425	0
9.5e-05	0.1425	0
0.000125	0.1425	0
0.000155	0.1425	0
0.000185	0.1425	0
-0.000385	0.1575	0
-0.000355	0.1575	0
-0.000325	0.1575	0
-0.000295	0.1575	0
-0.000265	0.1575	0
-0.000235	0.1575	0
-0.000205	0.1575	0
-0.000175	0.1575	0
-0.000145	0.1575	0
-0.000115	0.1575	22465.5
-8.5e-05	0.1575	4454
-5.5e-05	0.1575	1.16632e-06
-2.5e-05	0.1575	6.69114e-18
5e-06	0.1575	0
3.5e-05	0.1575	0
6.5e-05	0.1575	0
9.5e-05	0.1575	0
0.000125	0.1575	0
0.000155	0.1575	0
0.000185	0.1575	0
-0.000385	0.1725	0
-0.000355	0.1725	0
-0.000325	0.1725	0
-0.000295	0.1725	0
-0.000265	0.1725	0
-0.000235	0.1725	0
-0.000205	0.1725	0
-0.000175	0.1725	0
-0.000145	0.1725	0
-0.000115	0.1725	618130
-8.5e-05	0.1725	188.852
-5.5e-05	0.1725	0.000100994
-2.5e-05	0.1725	4.88513e-16
5e-06	0.1725	0
3.5e-05	0.1725	0
6.5e-05	0.1725	0
9.5e-05	0.1725	0
0.000125	0.1725	0
0.000155	0.1725	0
0.000185	0.1725	0
-0.000385	0.1875	0
-0.000355	0.1875	0
-0.000325	0.1875	0
-0.000295	0.1875	0
-0.000265	0.1875	0
-0.000235	0.1875	0
-0.000205	0.1875	0
-0.000175	0.1875	0
-0.000145	0.1875	0
-0.000115	0.1875	933.227
-8.5e-05	0.1875	7.99334
-5.5e-05	0.1875	0.000174364
-2.5e-05	0.1875	7.06842e-20
5e-06	0.1875	0
3.5e-05	0.1875	0
6.5e-05	0.1875	0
9.5e-05	0.1875	0
0.000125	0.1875	0
0.000155	0.1875	0
0.000185	0.1875	0
-0.000385	0.2025	0
-0.000355	0.2025	0
-0.000325	0.2025	0
-0.000295	0.2025	0
-0.000265	0.2025	0
-0.000235	0.2025	0
-0.000205	0.2025	0
-0.000175	0.2025	0
-0.000145	0.2025	0
-0.000115	0.2025	1.51892
-8.5e-05	0.2025	7.31146
-5.5e-05	0.2025	3.1077e-07
-2.5e-05	0.2025	0
5e-06	0.2025	0
3.5e-05	0.2025	0
6.5e-05	0.2025	0
9.5e-05	0.2025	0
0.000125	0.2025	0
0.000155	0.2025	0
0.000185	0.2025	0
-0.000385	0.2175	0
-0.000355	0.2175	0
-0.000325	0.2175	0
-0.000295	0.2175	0
-0.000265	0.2175	0
-0.000235	0.2175	0
-0.000205	0.2175	0
-0.000175	0.2175	0
-0.000145	0.2175	0
-0.000115	0.2175	0.0375524
-8.5e-05	0.2175	5.1036e-05
-5.5e-05	0.2175	1.43508e-20
-2.5e-05	0.2175	0
5e-06	0.2175	0
3.5e-05	0.2175	0
6.5e-05	0.2175	0
9.5e-05	0.2175	0
0.000125	0.2175	0
0.000155	0.2175	0
0.000185	0.2175	0
-0.000385	0.2325	0
-0.000355	0.2325	0
-0.000325	0.2325	0
-0.000295	0.2325	0
-0.000265	0.2325	0
-0.000235	0.2325	0
-0.000205	0.2325	0
-0.000175	0.2325	0
-0.000145	0.2325	0
-0.000115	0.2325	0.00146866
-8.5e-05	0.2325	0
-5.5e-05	0.2325	0
-2.5e-05	0.2325	0
5e-06	0.2325	0
3.5e-05	0.2325	0
6.5e-05	0.2325	0
9.5e-05	0.2325	0
0.000125	0.2325	0
0.000155	0.2325	0
0.000185	0.2325	0
-0.000385	0.2475	0
-0.000355	0.2475	0
-0.000325	0.2475	0
-0.000295	0.2475	0
-0.000265	0.2475	0
-0.000235	0.2475	0
-0.000205	0.2475	0
-0.000175	0.2475	0
-0.000145	0.2475	0
-0.000115	0.2475	0
-8.5e-05	0.2475	0
-5.5e-05	0.2475	0
-2.5e-05	0.2475	0
5e-06	0.2475	0
3.5e-05	0.2475	0
6.5e-05	0.2475	0
9.5e-05	0.2475	0
0.000125	0.2475	0
0.000155	0.2475	0
0.000185	0.2475	0
-0.000385	0.2625	0
-0.000355	0.2625	0
-0.000325	0.2625	0
-0.000295	0.2625	0
-0.000265	0.2625	0
-0.000235	0.2625	0
-0.000205	0.2625	0
-0.000175	0.2625	0
-0.000145	0.2625	0
-0.000115	0.2625	0
-8.5e-05	0.2625	0
