#n_l	theta_0	probability

1.40507	0.00038825	6.70552e-40
1.40603	0.00038825	1.35159e-37
1.40699	0.00038825	1.07159e-33
1.40796	0.00038825	3.16072e-32
1.40892	0.00038825	2.93354e-31
1.40989	0.00038825	3.91846e-30
1.41085	0.00038825	3.74818e-29
1.41182	0.00038825	1.72382e-27
1.41278	0.00038825	8.13226e-28
1.41375	0.00038825	2.79707e-27
1.41471	0.00038825	6.63944e-27
1.41567	0.00038825	8.16348e-26
1.41664	0.00038825	5.43838e-25
1.4176	0.00038825	3.23866e-25
1.41857	0.00038825	5.21971e-25
1.41953	0.00038825	4.35688e-24
1.4205	0.00038825	3.46781e-24
1.42146	0.00038825	5.09285e-24
1.42242	0.00038825	1.61092e-23
1.42339	0.00038825	3.34267e-23
1.42435	0.00038825	1.30217e-22
1.42532	0.00038825	8.16527e-23
1.42628	0.00038825	2.20985e-22
1.42725	0.00038825	1.95142e-22
1.42821	0.00038825	9.7104e-23
1.42917	0.00038825	1.64758e-22
1.43014	0.00038825	4.94474e-22
1.4311	0.00038825	3.79684e-22
1.43207	0.00038825	1.08574e-22
1.43303	0.00038825	1.08201e-22
1.434	0.00038825	1.7607e-22
1.43496	0.00038825	1.18173e-22
1.43592	0.00038825	6.23106e-23
1.43689	0.00038825	2.05301e-23
1.43785	0.00038825	1.18993e-23
1.43882	0.00038825	7.5666e-24
1.43978	0.00038825	3.43639e-23
1.44075	0.00038825	1.43132e-24
1.44171	0.00038825	6.27592e-25
1.44267	0.00038825	2.24023e-24
1.44364	0.00038825	1.50872e-25
1.4446	0.00038825	3.54426e-25
1.44557	0.00038825	1.6439e-27
1.44653	0.00038825	2.29091e-28
1.4475	0.00038825	1.68331e-29
1.44846	0.00038825	6.91966e-31
1.44942	0.00038825	5.9931e-32
1.45039	0.00038825	0
1.45135	0.00038825	0
1.45232	0.00038825	0
1.40507	0.00040475	1.13825e-33
1.40603	0.00040475	2.59529e-30
1.40699	0.00040475	2.16783e-27
1.40796	0.00040475	3.96237e-26
1.40892	0.00040475	4.97846e-25
1.40989	0.00040475	1.36238e-23
1.41085	0.00040475	2.86931e-23
1.41182	0.00040475	1.83089e-22
1.41278	0.00040475	9.97139e-22
1.41375	0.00040475	5.52927e-21
1.41471	0.00040475	2.78458e-20
1.41567	0.00040475	8.76258e-20
1.41664	0.00040475	3.02315e-19
1.4176	0.00040475	5.99135e-19
1.41857	0.00040475	1.09617e-18
1.41953	0.00040475	3.02188e-18
1.4205	0.00040475	8.65839e-18
1.42146	0.00040475	1.34164e-17
1.42242	0.00040475	1.32557e-16
1.42339	0.00040475	6.19769e-17
1.42435	0.00040475	4.78195e-17
1.42532	0.00040475	1.67622e-16
1.42628	0.00040475	7.34469e-17
1.42725	0.00040475	2.07315e-16
1.42821	0.00040475	2.50663e-16
1.42917	0.00040475	2.43618e-16
1.43014	0.00040475	2.07859e-16
1.4311	0.00040475	2.75402e-16
1.43207	0.00040475	2.18906e-16
1.43303	0.00040475	2.42875e-16
1.434	0.00040475	1.78019e-16
1.43496	0.00040475	1.21796e-16
1.43592	0.00040475	9.55815e-17
1.43689	0.00040475	5.66496e-17
1.43785	0.00040475	1.50706e-16
1.43882	0.00040475	2.69862e-17
1.43978	0.00040475	9.10116e-18
1.44075	0.00040475	4.4504e-18
1.44171	0.00040475	1.99197e-18
1.44267	0.00040475	5.57686e-19
1.44364	0.00040475	4.33066e-19
1.4446	0.00040475	3.58334e-20
1.44557	0.00040475	1.2278e-20
1.44653	0.00040475	1.38944e-21
1.4475	0.00040475	4.7163e-22
1.44846	0.00040475	2.58352e-23
1.44942	0.00040475	3.71841e-24
1.45039	0.00040475	0
1.45135	0.00040475	0
1.45232	0.00040475	0
1.40507	0.00042125	1.54995e-28
1.40603	0.00042125	3.20097e-24
1.40699	0.00042125	1.449e-22
1.40796	0.00042125	4.13092e-21
1.40892	0.00042125	1.0902e-19
1.40989	0.00042125	3.65893e-19
1.41085	0.00042125	5.16651e-18
1.41182	0.00042125	7.49372e-17
1.41278	0.00042125	3.03899e-16
1.41375	0.00042125	4.99816e-16
1.41471	0.00042125	1.12441e-15
1.41567	0.00042125	5.36356e-15
1.41664	0.00042125	2.67239e-14
1.4176	0.00042125	1.0138e-13
1.41857	0.00042125	5.37914e-13
1.41953	0.00042125	9.34401e-13
1.4205	0.00042125	1.16013e-12
1.42146	0.00042125	3.419e-12
1.42242	0.00042125	4.86242e-12
1.42339	0.00042125	3.78373e-12
1.42435	0.00042125	1.25457e-11
1.42532	0.00042125	1.90533e-11
1.42628	0.00042125	5.19165e-11
1.42725	0.00042125	1.12905e-10
1.42821	0.00042125	1.24415e-10
1.42917	0.00042125	1.56577e-10
1.43014	0.00042125	1.37525e-10
1.4311	0.00042125	1.42219e-10
1.43207	0.00042125	1.6677e-10
1.43303	0.00042125	1.21907e-10
1.434	0.00042125	8.01909e-11
1.43496	0.00042125	6.09308e-11
1.43592	0.00042125	3.62623e-11
1.43689	0.00042125	9.22491e-12
1.43785	0.00042125	1.74181e-11
1.43882	0.00042125	9.09315e-12
1.43978	0.00042125	3.57127e-12
1.44075	0.00042125	6.29756e-13
1.44171	0.00042125	1.04369e-12
1.44267	0.00042125	3.24639e-13
1.44364	0.00042125	1.13312e-13
1.4446	0.00042125	4.60242e-14
1.44557	0.00042125	9.72548e-15
1.44653	0.00042125	9.03201e-16
1.4475	0.00042125	6.23748e-16
1.44846	0.00042125	7.42115e-18
1.44942	0.00042125	4.64986e-19
1.45039	0.00042125	0
1.45135	0.00042125	0
