#n_l	N_0	probability

1.3015	-0.095	-nan
1.3045	-0.095	-nan
1.3075	-0.095	-nan
1.3105	-0.095	-nan
1.3135	-0.095	-nan
1.3165	-0.095	-nan
1.3195	-0.095	-nan
1.3225	-0.095	-nan
1.3255	-0.095	-nan
1.3285	-0.095	-nan
1.3315	-0.095	-nan
1.3345	-0.095	-nan
1.3375	-0.095	-nan
1.3405	-0.095	-nan
1.3435	-0.095	-nan
1.3465	-0.095	-nan
1.3495	-0.095	-nan
1.3525	-0.095	-nan
1.3555	-0.095	-nan
1.3585	-0.095	-nan
1.3615	-0.095	-nan
1.3645	-0.095	-nan
1.3675	-0.095	-nan
1.3705	-0.095	-nan
1.3735	-0.095	-nan
1.3765	-0.095	-nan
1.3795	-0.095	-nan
1.3825	-0.095	-nan
1.3855	-0.095	-nan
1.3885	-0.095	-nan
1.3915	-0.095	-nan
1.3945	-0.095	-nan
1.3975	-0.095	-nan
1.4005	-0.095	-nan
1.4035	-0.095	-nan
1.4065	-0.095	-nan
1.4095	-0.095	-nan
1.4125	-0.095	-nan
1.4155	-0.095	-nan
1.4185	-0.095	-nan
1.4215	-0.095	-nan
1.4245	-0.095	-nan
1.4275	-0.095	-nan
1.4305	-0.095	-nan
1.4335	-0.095	-nan
1.4365	-0.095	-nan
1.4395	-0.095	-nan
1.4425	-0.095	-nan
1.4455	-0.095	-nan
1.4485	-0.095	-nan
1.4515	-0.095	-nan
1.4545	-0.095	-nan
1.4575	-0.095	-nan
1.4605	-0.095	-nan
1.4635	-0.095	-nan
1.4665	-0.095	-nan
1.4695	-0.095	-nan
1.4725	-0.095	-nan
1.4755	-0.095	-nan
1.4785	-0.095	-nan
1.4815	-0.095	-nan
1.4845	-0.095	-nan
1.4875	-0.095	-nan
1.4905	-0.095	-nan
1.4935	-0.095	-nan
1.4965	-0.095	-nan
1.4995	-0.095	-nan
1.5025	-0.095	-nan
1.5055	-0.095	-nan
1.5085	-0.095	-nan
1.5115	-0.095	-nan
1.5145	-0.095	-nan
1.5175	-0.095	-nan
1.5205	-0.095	-nan
1.5235	-0.095	-nan
1.5265	-0.095	-nan
1.5295	-0.095	-nan
1.5325	-0.095	-nan
1.5355	-0.095	-nan
1.5385	-0.095	-nan
1.5415	-0.095	-nan
1.5445	-0.095	-nan
1.5475	-0.095	-nan
1.5505	-0.095	-nan
1.5535	-0.095	-nan
1.5565	-0.095	-nan
1.5595	-0.095	-nan
1.5625	-0.095	-nan
1.5655	-0.095	-nan
1.5685	-0.095	-nan
1.5715	-0.095	-nan
1.5745	-0.095	-nan
1.5775	-0.095	-nan
1.5805	-0.095	-nan
1.5835	-0.095	-nan
1.5865	-0.095	-nan
1.5895	-0.095	-nan
1.5925	-0.095	-nan
1.5955	-0.095	-nan
1.5985	-0.095	-nan
1.3015	-0.085	-nan
1.3045	-0.085	-nan
1.3075	-0.085	-nan
1.3105	-0.085	-nan
1.3135	-0.085	-nan
1.3165	-0.085	-nan
1.3195	-0.085	-nan
1.3225	-0.085	-nan
1.3255	-0.085	-nan
1.3285	-0.085	-nan
1.3315	-0.085	-nan
1.3345	-0.085	-nan
1.3375	-0.085	-nan
1.3405	-0.085	-nan
1.3435	-0.085	-nan
1.3465	-0.085	-nan
1.3495	-0.085	-nan
1.3525	-0.085	-nan
1.3555	-0.085	-nan
1.3585	-0.085	-nan
1.3615	-0.085	-nan
1.3645	-0.085	-nan
1.3675	-0.085	-nan
1.3705	-0.085	-nan
1.3735	-0.085	-nan
1.3765	-0.085	-nan
1.3795	-0.085	-nan
1.3825	-0.085	-nan
1.3855	-0.085	-nan
1.3885	-0.085	-nan
1.3915	-0.085	-nan
1.3945	-0.085	-nan
1.3975	-0.085	-nan
1.4005	-0.085	-nan
1.4035	-0.085	-nan
1.4065	-0.085	-nan
1.4095	-0.085	-nan
1.4125	-0.085	-nan
1.4155	-0.085	-nan
1.4185	-0.085	-nan
1.4215	-0.085	-nan
1.4245	-0.085	-nan
1.4275	-0.085	-nan
1.4305	-0.085	-nan
1.4335	-0.085	-nan
1.4365	-0.085	-nan
1.4395	-0.085	-nan
1.4425	-0.085	-nan
1.4455	-0.085	-nan
1.4485	-0.085	-nan
1.4515	-0.085	-nan
1.4545	-0.085	-nan
1.4575	-0.085	-nan
1.4605	-0.085	-nan
1.4635	-0.085	-nan
1.4665	-0.085	-nan
1.4695	-0.085	-nan
1.4725	-0.085	-nan
1.4755	-0.085	-nan
1.4785	-0.085	-nan
1.4815	-0.085	-nan
1.4845	-0.085	-nan
1.4875	-0.085	-nan
1.4905	-0.085	-nan
1.4935	-0.085	-nan
1.4965	-0.085	-nan
1.4995	-0.085	-nan
1.5025	-0.085	-nan
1.5055	-0.085	-nan
1.5085	-0.085	-nan
1.5115	-0.085	-nan
1.5145	-0.085	-nan
1.5175	-0.085	-nan
1.5205	-0.085	-nan
1.5235	-0.085	-nan
1.5265	-0.085	-nan
1.5295	-0.085	-nan
1.5325	-0.085	-nan
