#n_l	N_0	probability

1.4501	0.002	0
1.45111	0.002	3.49124e-11
1.45212	0.002	0.00503799
1.45313	0.002	0.000400513
1.45414	0.002	0.0541956
1.45514	0.002	1.52053
1.45615	0.002	0.346458
1.45716	0.002	90.5307
1.45817	0.002	5.77199
1.45918	0.002	674.531
1.46018	0.002	43.5754
1.46119	0.002	3722.83
1.4622	0.002	485.189
1.46321	0.002	5003.51
1.46422	0.002	2541.9
1.46522	0.002	3466.69
1.46623	0.002	9409.84
1.46724	0.002	2044.22
1.46825	0.002	58235.2
1.46926	0.002	416.383
1.47026	0.002	38358.4
1.47127	0.002	5290.55
1.47228	0.002	13308
1.47329	0.002	24808.9
1.4743	0.002	915.61
1.4753	0.002	23718.4
1.47631	0.002	402.554
1.47732	0.002	9314.26
1.47833	0.002	8517.15
1.47934	0.002	135.853
1.48034	0.002	6683.67
1.48135	0.002	239.877
1.48236	0.002	603.859
1.48337	0.002	477.705
1.48438	0.002	3.41425
1.48538	0.002	49.2737
1.48639	0.002	11.7996
1.4874	0.002	1.57204
1.48841	0.002	2.76838
1.48942	0.002	0.521911
1.49042	0.002	0.198324
1.49143	0.002	0.207961
1.49244	0.002	0.00494732
1.49345	0.002	0.00155853
1.49446	0.002	0.00127644
1.49546	0.002	1.00151e-06
1.49647	0.002	7.41333e-06
1.49748	0.002	1.08735e-05
1.49849	0.002	1.4645e-10
1.4995	0.002	4.15543e-08
1.4501	0.006	0
1.45111	0.006	2.26337e-10
1.45212	0.006	5.81287e-05
1.45313	0.006	0.000977857
1.45414	0.006	0.00719037
1.45514	0.006	0.62711
1.45615	0.006	0.0278942
1.45716	0.006	13.3326
1.45817	0.006	0.46608
1.45918	0.006	67.6535
1.46018	0.006	2.65718
1.46119	0.006	303.933
1.4622	0.006	22.1992
1.46321	0.006	712.566
1.46422	0.006	144.116
1.46522	0.006	1984.98
1.46623	0.006	1337.13
1.46724	0.006	208.205
1.46825	0.006	5485.46
1.46926	0.006	149.886
1.47026	0.006	4744.4
1.47127	0.006	210.913
1.47228	0.006	1153.44
1.47329	0.006	1546.08
1.4743	0.006	281.693
1.4753	0.006	4251.95
1.47631	0.006	19.2041
1.47732	0.006	1567.5
1.47833	0.006	83.5746
1.47934	0.006	100.455
1.48034	0.006	233.566
1.48135	0.006	19.3967
1.48236	0.006	18.2384
1.48337	0.006	28.3178
1.48438	0.006	1.66484
1.48538	0.006	8.85154
1.48639	0.006	1.01129
1.4874	0.006	0.123123
1.48841	0.006	1.60389
1.48942	0.006	0.0341165
1.49042	0.006	0.0069381
1.49143	0.006	0.0232608
1.49244	0.006	0.00135073
1.49345	0.006	0.000178043
1.49446	0.006	0.000179835
1.49546	0.006	1.2099e-07
1.49647	0.006	1.50935e-06
1.49748	0.006	2.01509e-07
1.49849	0.006	2.65346e-10
1.4995	0.006	3.70957e-08
1.4501	0.01	0
1.45111	0.01	2.92007e-10
1.45212	0.01	1.3279e-05
1.45313	0.01	0.000189523
1.45414	0.01	0.000259474
1.45514	0.01	0.225183
1.45615	0.01	0.00132441
1.45716	0.01	9.66755
1.45817	0.01	0.0137418
