#n_l	theta_0	probability

1.4501	-0.000131699	0
1.45111	-0.000131699	7.22458e-38
1.45212	-0.000131699	2.64811e-22
1.45313	-0.000131699	2.8515e-29
1.45414	-0.000131699	2.66209e-20
1.45514	-0.000131699	1.40227e-24
1.45615	-0.000131699	1.50153e-19
1.45716	-0.000131699	1.00471e-19
1.45817	-0.000131699	2.14496e-19
1.45918	-0.000131699	9.824e-18
1.46018	-0.000131699	1.81988e-18
1.46119	-0.000131699	1.72423e-17
1.4622	-0.000131699	2.5141e-17
1.46321	-0.000131699	8.62172e-18
1.46422	-0.000131699	8.85415e-17
1.46522	-0.000131699	1.39467e-17
1.46623	-0.000131699	1.00786e-15
1.46724	-0.000131699	6.06911e-19
1.46825	-0.000131699	1.93702e-16
1.46926	-0.000131699	1.06663e-18
1.47026	-0.000131699	3.33768e-16
1.47127	-0.000131699	8.24893e-17
1.47228	-0.000131699	6.76604e-18
1.47329	-0.000131699	9.93149e-17
1.4743	-0.000131699	8.40202e-19
1.4753	-0.000131699	1.44287e-16
1.47631	-0.000131699	8.95656e-18
1.47732	-0.000131699	2.86881e-18
1.47833	-0.000131699	1.28438e-17
1.47934	-0.000131699	2.68694e-20
1.48034	-0.000131699	1.39768e-19
1.48135	-0.000131699	4.437e-20
1.48236	-0.000131699	5.50817e-20
1.48337	-0.000131699	3.11144e-19
1.48438	-0.000131699	2.41045e-22
1.48538	-0.000131699	2.3097e-21
1.48639	-0.000131699	3.54519e-23
1.4874	-0.000131699	1.72475e-22
1.48841	-0.000131699	1.14653e-22
1.48942	-0.000131699	3.59551e-25
1.49042	-0.000131699	1.20181e-24
1.49143	-0.000131699	2.5312e-25
1.49244	-0.000131699	3.32241e-26
1.49345	-0.000131699	8.2789e-26
1.49446	-0.000131699	9.11055e-29
1.49546	-0.000131699	1.82567e-28
1.49647	-0.000131699	5.3354e-31
1.49748	-0.000131699	3.63242e-30
1.49849	-0.000131699	1.16253e-33
1.4995	-0.000131699	3.93237e-36
1.4501	-0.000126996	0
1.45111	-0.000126996	7.68974e-30
1.45212	-0.000126996	1.68404e-19
1.45313	-0.000126996	6.20524e-24
1.45414	-0.000126996	1.85584e-16
1.45514	-0.000126996	3.40814e-20
1.45615	-0.000126996	8.77478e-15
1.45716	-0.000126996	4.09603e-16
1.45817	-0.000126996	1.23519e-13
1.45918	-0.000126996	5.52691e-15
1.46018	-0.000126996	4.01425e-13
1.46119	-0.000126996	1.15924e-14
1.4622	-0.000126996	7.20172e-14
1.46321	-0.000126996	3.00403e-14
1.46422	-0.000126996	1.13305e-13
1.46522	-0.000126996	4.62901e-15
1.46623	-0.000126996	6.80401e-13
1.46724	-0.000126996	1.7371e-15
1.46825	-0.000126996	1.98684e-12
