#theta_0	N_0	probability

-0.000131699	0.002	4.33603e-16
-0.000126996	0.002	9.06415e-13
-0.000122294	0.002	4.3286e-09
-0.000117591	0.002	5.72989e-06
-0.000112889	0.002	0.0105998
-0.000108186	0.002	2.24013
-0.000103484	0.002	82.9584
-9.87813e-05	0.002	16073.8
-9.40788e-05	0.002	184997
-8.93763e-05	0.002	5.76325e+06
-8.46738e-05	0.002	8.51176e+06
-7.99713e-05	0.002	2.58687e+07
-7.52688e-05	0.002	3.17273e+06
-7.05663e-05	0.002	3.13284e+06
-6.58638e-05	0.002	239093
-6.11613e-05	0.002	50894.6
-5.64588e-05	0.002	235.427
-5.17563e-05	0.002	0.404979
-4.70538e-05	0.002	0.00119621
-4.23513e-05	0.002	2.9568e-06
-0.000131699	0.006	7.66288e-17
-0.000126996	0.006	4.81075e-14
-0.000122294	0.006	8.66386e-10
-0.000117591	0.006	6.58765e-07
-0.000112889	0.006	0.00448866
-0.000108186	0.006	0.151176
-0.000103484	0.006	35.7707
-9.87813e-05	0.006	1672.31
-9.40788e-05	0.006	20056
-8.93763e-05	0.006	1.18155e+06
-8.46738e-05	0.006	833482
-7.99713e-05	0.006	2.31564e+06
-7.52688e-05	0.006	599769
-7.05663e-05	0.006	307602
-6.58638e-05	0.006	25351.8
-6.11613e-05	0.006	10475.3
-5.64588e-05	0.006	49.9471
-5.17563e-05	0.006	0.0471526
-4.70538e-05	0.006	0.000377262
-4.23513e-05	0.006	3.00061e-07
-0.000131699	0.01	8.53313e-18
-0.000126996	0.01	1.17141e-14
-0.000122294	0.01	8.50268e-11
-0.000117591	0.01	4.04952e-08
-0.000112889	0.01	0.000240835
-0.000108186	0.01	0.0547884
-0.000103484	0.01	6.10418
-9.87813e-05	0.01	217.792
-9.40788e-05	0.01	12328.8
-8.93763e-05	0.01	99675.5
-8.46738e-05	0.01	179622
-7.99713e-05	0.01	319939
-7.52688e-05	0.01	48318.5
-7.05663e-05	0.01	48175.2
-6.58638e-05	0.01	7469.69
-6.11613e-05	0.01	3647.67
-5.64588e-05	0.01	3.34
-5.17563e-05	0.01	0.00654875
-4.70538e-05	0.01	5.31876e-05
-4.23513e-05	0.01	3.35169e-08
-0.000131699	0.014	6.80996e-19
-0.000126996	0.014	1.04637e-15
-0.000122294	0.014	1.78354e-11
-0.000117591	0.014	6.53591e-09
-0.000112889	0.014	2.5233e-05
-0.000108186	0.014	0.0113076
-0.000103484	0.014	1.74062
-9.87813e-05	0.014	77.5761
-9.40788e-05	0.014	795.697
-8.93763e-05	0.014	5295.08
-8.46738e-05	0.014	17316.8
-7.99713e-05	0.014	139044
-7.52688e-05	0.014	5896.47
-7.05663e-05	0.014	11252.7
-6.58638e-05	0.014	1104.87
-6.11613e-05	0.014	339.146
-5.64588e-05	0.014	2.90726
-5.17563e-05	0.014	0.00271988
-4.70538e-05	0.014	1.67815e-06
-4.23513e-05	0.014	4.16162e-09
-0.000131699	0.018	6.62618e-20
-0.000126996	0.018	1.27548e-16
-0.000122294	0.018	2.0408e-12
-0.000117591	0.018	2.23298e-09
-0.000112889	0.018	5.66627e-06
-0.000108186	0.018	0.00484202
-0.000103484	0.018	0.220369
-9.87813e-05	0.018	5.44027
-9.40788e-05	0.018	93.2945
-8.93763e-05	0.018	723.999
-8.46738e-05	0.018	1221.81
-7.99713e-05	0.018	19024.3
-7.52688e-05	0.018	1156.83
-7.05663e-05	0.018	886.285
-6.58638e-05	0.018	132.853
-6.11613e-05	0.018	39.2691
-5.64588e-05	0.018	0.738315
-5.17563e-05	0.018	0.000144202
-4.70538e-05	0.018	1.45285e-07
-4.23513e-05	0.018	7.28662e-11
-0.000131699	0.022	3.91477e-21
-0.000126996	0.022	4.30386e-17
-0.000122294	0.022	2.61274e-13
-0.000117591	0.022	2.18671e-10
-0.000112889	0.022	1.39365e-07
-0.000108186	0.022	0.00268818
-0.000103484	0.022	0.0208522
-9.87813e-05	0.022	1.24324
-9.40788e-05	0.022	3.66282
-8.93763e-05	0.022	90.5603
-8.46738e-05	0.022	635.896
-7.99713e-05	0.022	1594.98
-7.52688e-05	0.022	196.189
-7.05663e-05	0.022	100.021
-6.58638e-05	0.022	33.3023
-6.11613e-05	0.022	1.32183
-5.64588e-05	0.022	0.00400437
-5.17563e-05	0.022	1.55763e-05
-4.70538e-05	0.022	2.3104e-08
-4.23513e-05	0.022	1.22471e-11
-0.000131699	0.026	1.27912e-21
-0.000126996	0.026	8.82267e-18
-0.000122294	0.026	1.09041e-14
-0.000117591	0.026	6.1896e-11
-0.000112889	0.026	4.06556e-08
-0.000108186	0.026	0.000319005
-0.000103484	0.026	0.00204985
-9.87813e-05	0.026	0.0582468
