#n_l	N_0	probability

1.4213	0.025	0
1.4239	0.025	0
1.4265	0.025	0
1.4291	0.025	0
1.4317	0.025	0
1.4343	0.025	0
1.4369	0.025	0
1.4395	0.025	0
1.4421	0.025	0
1.4447	0.025	0
1.4473	0.025	0
1.4499	0.025	0
1.4525	0.025	0
1.4551	0.025	0
1.4577	0.025	0
1.4603	0.025	0
1.4629	0.025	0
1.4655	0.025	0
1.4681	0.025	0
1.4707	0.025	0
1.4733	0.025	0
1.4759	0.025	0
1.4785	0.025	0
1.4811	0.025	0
1.4837	0.025	0
1.4863	0.025	0
1.4889	0.025	0
1.4915	0.025	0
1.4941	0.025	0
1.4967	0.025	0
1.4993	0.025	0
1.5019	0.025	0
1.5045	0.025	0
1.5071	0.025	0
1.5097	0.025	0
1.5123	0.025	0
1.5149	0.025	0
1.5175	0.025	0
1.5201	0.025	0
1.5227	0.025	0
1.5253	0.025	0
1.5279	0.025	0
1.5305	0.025	0
1.5331	0.025	0
1.5357	0.025	0
1.5383	0.025	0
1.5409	0.025	0
1.5435	0.025	0
1.5461	0.025	0
1.5487	0.025	0
1.4213	0.075	0
1.4239	0.075	0
1.4265	0.075	0
1.4291	0.075	0
1.4317	0.075	0
1.4343	0.075	0
1.4369	0.075	0
1.4395	0.075	0
1.4421	0.075	0
1.4447	0.075	0
1.4473	0.075	0
1.4499	0.075	0
1.4525	0.075	0
1.4551	0.075	0
1.4577	0.075	0
1.4603	0.075	0
1.4629	0.075	0
1.4655	0.075	0
1.4681	0.075	0
1.4707	0.075	0
1.4733	0.075	0
1.4759	0.075	0
1.4785	0.075	0
1.4811	0.075	0
1.4837	0.075	0
1.4863	0.075	0
1.4889	0.075	0
1.4915	0.075	0
1.4941	0.075	0
1.4967	0.075	0
1.4993	0.075	0
1.5019	0.075	0
1.5045	0.075	0
1.5071	0.075	0
1.5097	0.075	0
1.5123	0.075	0
1.5149	0.075	0
1.5175	0.075	0
1.5201	0.075	0
1.5227	0.075	0
1.5253	0.075	0
1.5279	0.075	0
1.5305	0.075	0
1.5331	0.075	0
1.5357	0.075	0
1.5383	0.075	0
1.5409	0.075	0
1.5435	0.075	0
1.5461	0.075	0
1.5487	0.075	0
1.4213	0.125	0
1.4239	0.125	0
1.4265	0.125	0
1.4291	0.125	0
1.4317	0.125	0
1.4343	0.125	0
1.4369	0.125	0
1.4395	0.125	0
1.4421	0.125	0
1.4447	0.125	0
1.4473	0.125	0
1.4499	0.125	0
1.4525	0.125	0
1.4551	0.125	0
1.4577	0.125	0
1.4603	0.125	0
1.4629	0.125	0
1.4655	0.125	0
1.4681	0.125	0
1.4707	0.125	0
1.4733	0.125	0
1.4759	0.125	0
1.4785	0.125	0
1.4811	0.125	0
1.4837	0.125	0
1.4863	0.125	0
1.4889	0.125	0
1.4915	0.125	0
1.4941	0.125	0
1.4967	0.125	0
1.4993	0.125	0
1.5019	0.125	0
1.5045	0.125	0
1.5071	0.125	0
1.5097	0.125	0
1.5123	0.125	0
1.5149	0.125	0
1.5175	0.125	0
1.5201	0.125	0
1.5227	0.125	0
1.5253	0.125	0
1.5279	0.125	0
1.5305	0.125	0
1.5331	0.125	0
1.5357	0.125	0
1.5383	0.125	0
1.5409	0.125	0
1.5435	0.125	0
1.5461	0.125	0
1.5487	0.125	0
1.4213	0.175	0
1.4239	0.175	0
1.4265	0.175	0
1.4291	0.175	0
1.4317	0.175	0
1.4343	0.175	0
1.4369	0.175	0
1.4395	0.175	0
1.4421	0.175	0
1.4447	0.175	0
1.4473	0.175	0
1.4499	0.175	0
1.4525	0.175	0
1.4551	0.175	0
1.4577	0.175	0
1.4603	0.175	0
1.4629	0.175	0
1.4655	0.175	0
1.4681	0.175	0
1.4707	0.175	0
1.4733	0.175	0
1.4759	0.175	0
1.4785	0.175	0
1.4811	0.175	0
1.4837	0.175	0
1.4863	0.175	0
1.4889	0.175	0
1.4915	0.175	0
1.4941	0.175	0
1.4967	0.175	0
1.4993	0.175	0
1.5019	0.175	0
1.5045	0.175	0
1.5071	0.175	0
1.5097	0.175	0
1.5123	0.175	0
1.5149	0.175	0
1.5175	0.175	0
1.5201	0.175	0
1.5227	0.175	0
1.5253	0.175	0
1.5279	0.175	0
1.5305	0.175	0
1.5331	0.175	0
1.5357	0.175	0
1.5383	0.175	0
1.5409	0.175	0
1.5435	0.175	0
1.5461	0.175	0
1.5487	0.175	0
1.4213	0.225	0
1.4239	0.225	0
1.4265	0.225	0
1.4291	0.225	0
1.4317	0.225	0
1.4343	0.225	0
1.4369	0.225	0
1.4395	0.225	0
1.4421	0.225	0
1.4447	0.225	0
1.4473	0.225	0
1.4499	0.225	0
1.4525	0.225	0
1.4551	0.225	0
1.4577	0.225	0
1.4603	0.225	0
1.4629	0.225	0
1.4655	0.225	0
1.4681	0.225	0
1.4707	0.225	0
1.4733	0.225	0
1.4759	0.225	0
1.4785	0.225	0
1.4811	0.225	0
