#theta_0	N_0	probability

-0.0019	0.025	0
-0.0017	0.025	0
-0.0015	0.025	0
-0.0013	0.025	0
-0.0011	0.025	0
-0.0009	0.025	0
-0.0007	0.025	0
-0.0005	0.025	0
-0.0003	0.025	0
-0.0001	0.025	0
0.0001	0.025	0
0.0003	0.025	0
0.0005	0.025	0
0.0007	0.025	0
0.0009	0.025	0
0.0011	0.025	0
0.0013	0.025	0
0.0015	0.025	0
0.0017	0.025	0
0.0019	0.025	0
-0.0019	0.075	0
-0.0017	0.075	0
-0.0015	0.075	0
-0.0013	0.075	0
-0.0011	0.075	0
-0.0009	0.075	0
-0.0007	0.075	0
-0.0005	0.075	0
-0.0003	0.075	0
-0.0001	0.075	0
0.0001	0.075	0
0.0003	0.075	0
0.0005	0.075	0
0.0007	0.075	0
0.0009	0.075	0
0.0011	0.075	0
0.0013	0.075	0
0.0015	0.075	0
0.0017	0.075	0
0.0019	0.075	0
-0.0019	0.125	0
-0.0017	0.125	0
-0.0015	0.125	0
-0.0013	0.125	0
-0.0011	0.125	0
-0.0009	0.125	0
-0.0007	0.125	0
-0.0005	0.125	0
-0.0003	0.125	0
-0.0001	0.125	0
0.0001	0.125	0
0.0003	0.125	0
0.0005	0.125	0
0.0007	0.125	0
0.0009	0.125	0
0.0011	0.125	0
0.0013	0.125	0
0.0015	0.125	0
0.0017	0.125	0
0.0019	0.125	0
-0.0019	0.175	0
-0.0017	0.175	0
-0.0015	0.175	0
-0.0013	0.175	0
-0.0011	0.175	0
-0.0009	0.175	0
-0.0007	0.175	0
-0.0005	0.175	0
-0.0003	0.175	0
-0.0001	0.175	0
0.0001	0.175	0
0.0003	0.175	0
0.0005	0.175	0
0.0007	0.175	0
0.0009	0.175	0
0.0011	0.175	0
0.0013	0.175	0
0.0015	0.175	0
0.0017	0.175	0
0.0019	0.175	0
-0.0019	0.225	0
-0.0017	0.225	0
-0.0015	0.225	0
-0.0013	0.225	0
-0.0011	0.225	0
-0.0009	0.225	0
-0.0007	0.225	0
-0.0005	0.225	0
-0.0003	0.225	0
-0.0001	0.225	0
0.0001	0.225	0
0.0003	0.225	0
0.0005	0.225	0
0.0007	0.225	0
0.0009	0.225	0
0.0011	0.225	0
0.0013	0.225	0
0.0015	0.225	0
0.0017	0.225	0
0.0019	0.225	0
-0.0019	0.275	0
-0.0017	0.275	0
-0.0015	0.275	0
-0.0013	0.275	0
-0.0011	0.275	0
-0.0009	0.275	0
-0.0007	0.275	0
-0.0005	0.275	0
-0.0003	0.275	0
-0.0001	0.275	0
0.0001	0.275	0
0.0003	0.275	0
0.0005	0.275	0
0.0007	0.275	0
0.0009	0.275	0
0.0011	0.275	0
0.0013	0.275	0
0.0015	0.275	0
0.0017	0.275	0
0.0019	0.275	0
-0.0019	0.325	0
-0.0017	0.325	0
-0.0015	0.325	0
-0.0013	0.325	0
-0.0011	0.325	0
-0.0009	0.325	0
-0.0007	0.325	0
-0.0005	0.325	0
-0.0003	0.325	0
-0.0001	0.325	0
0.0001	0.325	0
0.0003	0.325	0
0.0005	0.325	0
0.0007	0.325	0
0.0009	0.325	0
0.0011	0.325	0
0.0013	0.325	0
0.0015	0.325	0
0.0017	0.325	0
0.0019	0.325	0
-0.0019	0.375	0
-0.0017	0.375	0
-0.0015	0.375	0
-0.0013	0.375	0
-0.0011	0.375	0
-0.0009	0.375	0
-0.0007	0.375	0
-0.0005	0.375	0
-0.0003	0.375	0
-0.0001	0.375	0
0.0001	0.375	0
0.0003	0.375	0
0.0005	0.375	0
0.0007	0.375	0
0.0009	0.375	0
0.0011	0.375	0
0.0013	0.375	0
0.0015	0.375	0
