#n_l	theta_0	probability

1.401	-0.00095	0
1.403	-0.00095	0
1.405	-0.00095	0
1.407	-0.00095	0
1.409	-0.00095	0
1.411	-0.00095	0
1.413	-0.00095	0
1.415	-0.00095	0
1.417	-0.00095	0
1.419	-0.00095	0
1.421	-0.00095	0
1.423	-0.00095	0
1.425	-0.00095	0
1.427	-0.00095	0
1.429	-0.00095	0
1.431	-0.00095	0
1.433	-0.00095	0
1.435	-0.00095	0
1.437	-0.00095	0
1.439	-0.00095	0
1.441	-0.00095	0
1.443	-0.00095	0
1.445	-0.00095	0
1.447	-0.00095	0
1.449	-0.00095	0
1.451	-0.00095	0
1.453	-0.00095	0
1.455	-0.00095	0
1.457	-0.00095	0
1.459	-0.00095	0
1.461	-0.00095	0
1.463	-0.00095	0
1.465	-0.00095	0
1.467	-0.00095	0
1.469	-0.00095	0
1.471	-0.00095	0
1.473	-0.00095	0
1.475	-0.00095	0
1.477	-0.00095	0
1.479	-0.00095	0
1.481	-0.00095	0
1.483	-0.00095	0
1.485	-0.00095	0
1.487	-0.00095	0
1.489	-0.00095	0
1.491	-0.00095	0
1.493	-0.00095	0
1.495	-0.00095	0
1.497	-0.00095	0
1.499	-0.00095	0
1.501	-0.00095	0
1.503	-0.00095	0
1.505	-0.00095	0
1.507	-0.00095	0
1.509	-0.00095	0
1.511	-0.00095	0
1.513	-0.00095	0
1.515	-0.00095	0
1.517	-0.00095	0
1.519	-0.00095	0
1.521	-0.00095	0
1.523	-0.00095	0
1.525	-0.00095	0
1.527	-0.00095	0
1.529	-0.00095	0
1.531	-0.00095	0
1.533	-0.00095	0
1.535	-0.00095	0
1.537	-0.00095	0
1.539	-0.00095	0
1.541	-0.00095	0
1.543	-0.00095	0
1.545	-0.00095	0
1.547	-0.00095	0
1.549	-0.00095	0
1.551	-0.00095	0
1.553	-0.00095	0
1.555	-0.00095	0
1.557	-0.00095	0
1.559	-0.00095	0
1.561	-0.00095	0
1.563	-0.00095	0
1.565	-0.00095	0
1.567	-0.00095	0
1.569	-0.00095	0
1.571	-0.00095	0
1.573	-0.00095	0
1.575	-0.00095	0
1.577	-0.00095	0
1.579	-0.00095	0
1.581	-0.00095	0
1.583	-0.00095	0
1.585	-0.00095	0
1.587	-0.00095	0
1.589	-0.00095	0
1.591	-0.00095	0
1.593	-0.00095	0
1.595	-0.00095	0
1.597	-0.00095	0
1.599	-0.00095	0
1.401	-0.00085	0
1.403	-0.00085	0
1.405	-0.00085	0
1.407	-0.00085	0
1.409	-0.00085	0
1.411	-0.00085	0
1.413	-0.00085	0
1.415	-0.00085	0
1.417	-0.00085	0
1.419	-0.00085	0
1.421	-0.00085	0
1.423	-0.00085	0
1.425	-0.00085	0
1.427	-0.00085	0
1.429	-0.00085	0
1.431	-0.00085	0
1.433	-0.00085	0
1.435	-0.00085	0
1.437	-0.00085	0
1.439	-0.00085	0
1.441	-0.00085	0
1.443	-0.00085	0
1.445	-0.00085	0
1.447	-0.00085	0
1.449	-0.00085	0
1.451	-0.00085	0
1.453	-0.00085	0
1.455	-0.00085	0
1.457	-0.00085	0
1.459	-0.00085	0
1.461	-0.00085	0
1.463	-0.00085	0
1.465	-0.00085	0
1.467	-0.00085	0
1.469	-0.00085	0
1.471	-0.00085	0
1.473	-0.00085	0
1.475	-0.00085	0
1.477	-0.00085	0
1.479	-0.00085	0
1.481	-0.00085	0
1.483	-0.00085	0
1.485	-0.00085	0
1.487	-0.00085	0
1.489	-0.00085	0
1.491	-0.00085	0
1.493	-0.00085	0
1.495	-0.00085	0
