#n_l	theta_0	probability

1.401	-5e-06	0
1.403	-5e-06	0
1.405	-5e-06	0
1.407	-5e-06	0
1.409	-5e-06	0
1.411	-5e-06	0
1.413	-5e-06	0
1.415	-5e-06	0
1.417	-5e-06	0
1.419	-5e-06	0
1.421	-5e-06	0
1.423	-5e-06	0
1.425	-5e-06	0
1.427	-5e-06	0
1.429	-5e-06	0
1.431	-5e-06	0
1.433	-5e-06	0
1.435	-5e-06	0
1.437	-5e-06	0
1.439	-5e-06	0
1.441	-5e-06	0
1.443	-5e-06	0
1.445	-5e-06	0
1.447	-5e-06	0
1.449	-5e-06	0
1.451	-5e-06	0
1.453	-5e-06	0
1.455	-5e-06	0
1.457	-5e-06	0
1.459	-5e-06	0
1.461	-5e-06	0
1.463	-5e-06	0
1.465	-5e-06	0
1.467	-5e-06	0
1.469	-5e-06	0
1.471	-5e-06	0
1.473	-5e-06	0
1.475	-5e-06	0
1.477	-5e-06	0
1.479	-5e-06	0
1.481	-5e-06	0
1.483	-5e-06	0
1.485	-5e-06	0
1.487	-5e-06	0
1.489	-5e-06	0
1.491	-5e-06	0
1.493	-5e-06	0
1.495	-5e-06	0
1.497	-5e-06	0
1.499	-5e-06	2.49657e+07
1.501	-5e-06	0
1.503	-5e-06	0
1.505	-5e-06	0
1.507	-5e-06	0
1.509	-5e-06	0
1.511	-5e-06	0
1.513	-5e-06	0
1.515	-5e-06	0
1.517	-5e-06	0
1.519	-5e-06	0
1.521	-5e-06	0
1.523	-5e-06	0
1.525	-5e-06	0
1.527	-5e-06	0
1.529	-5e-06	0
1.531	-5e-06	0
1.533	-5e-06	0
1.535	-5e-06	0
1.537	-5e-06	0
1.539	-5e-06	0
1.541	-5e-06	0
1.543	-5e-06	0
1.545	-5e-06	0
1.547	-5e-06	0
1.549	-5e-06	0
1.551	-5e-06	0
1.553	-5e-06	0
1.555	-5e-06	0
1.557	-5e-06	0
1.559	-5e-06	0
1.561	-5e-06	0
1.563	-5e-06	0
1.565	-5e-06	2.50343e+07
1.567	-5e-06	0
1.569	-5e-06	0
1.571	-5e-06	0
1.573	-5e-06	0
1.575	-5e-06	0
1.577	-5e-06	0
1.579	-5e-06	0
1.581	-5e-06	0
1.583	-5e-06	0
1.585	-5e-06	0
1.587	-5e-06	0
1.589	-5e-06	0
1.591	-5e-06	0
1.593	-5e-06	0
1.595	-5e-06	0
1.597	-5e-06	0
1.599	-5e-06	0
1.401	5e-06	0
1.403	5e-06	0
1.405	5e-06	0
1.407	5e-06	0
1.409	5e-06	0
1.411	5e-06	0
1.413	5e-06	0
1.415	5e-06	0
1.417	5e-06	0
1.419	5e-06	0
1.421	5e-06	0
1.423	5e-06	0
1.425	5e-06	0
1.427	5e-06	0
1.429	5e-06	0
1.431	5e-06	0
1.433	5e-06	0
1.435	5e-06	0
1.437	5e-06	0
1.439	5e-06	0
1.441	5e-06	0
1.443	5e-06	0
1.445	5e-06	0
1.447	5e-06	0
1.449	5e-06	0
1.451	5e-06	0
1.453	5e-06	0
1.455	5e-06	0
1.457	5e-06	0
1.459	5e-06	0
1.461	5e-06	0
1.463	5e-06	0
1.465	5e-06	0
1.467	5e-06	0
1.469	5e-06	0
1.471	5e-06	0
1.473	5e-06	0
1.475	5e-06	0
1.477	5e-06	0
1.479	5e-06	0
1.481	5e-06	0
1.483	5e-06	0
1.485	5e-06	0
1.487	5e-06	0
1.489	5e-06	0
1.491	5e-06	0
1.493	5e-06	0
1.495	5e-06	0
1.497	5e-06	0
1.499	5e-06	0
1.501	5e-06	0
1.503	5e-06	0
1.505	5e-06	0
1.507	5e-06	0
1.509	5e-06	0
1.511	5e-06	0
1.513	5e-06	0
1.515	5e-06	0
1.517	5e-06	0
1.519	5e-06	0
1.521	5e-06	0
1.523	5e-06	0
1.525	5e-06	0
1.527	5e-06	0
1.529	5e-06	0
1.531	5e-06	0
1.533	5e-06	0
1.535	5e-06	0
1.537	5e-06	0
1.539	5e-06	0
1.541	5e-06	0
1.543	5e-06	0
1.545	5e-06	0
1.547	5e-06	0
1.549	5e-06	0
1.551	5e-06	0
1.553	5e-06	0
1.555	5e-06	0
1.557	5e-06	0
1.559	5e-06	0
1.561	5e-06	0
1.563	5e-06	0
1.565	5e-06	0
1.567	5e-06	0
1.569	5e-06	0
1.571	5e-06	0
1.573	5e-06	0
1.575	5e-06	0
1.577	5e-06	0
1.579	5e-06	0
1.581	5e-06	0
1.583	5e-06	0
1.585	5e-06	0
1.587	5e-06	0
1.589	5e-06	0
1.591	5e-06	0
1.593	5e-06	0
1.595	5e-06	0
1.597	5e-06	0
1.599	5e-06	0
