#theta_0	N_0	probability

-0.0042985	0.29025	-nan
-0.0042955	0.29025	-nan
-0.0042925	0.29025	-nan
-0.0042895	0.29025	-nan
-0.0042865	0.29025	-nan
-0.0042835	0.29025	-nan
-0.0042805	0.29025	-nan
-0.0042775	0.29025	-nan
-0.0042745	0.29025	-nan
-0.0042715	0.29025	-nan
-0.0042685	0.29025	-nan
-0.0042655	0.29025	-nan
-0.0042625	0.29025	-nan
-0.0042595	0.29025	-nan
-0.0042565	0.29025	-nan
-0.0042535	0.29025	-nan
-0.0042505	0.29025	-nan
-0.0042475	0.29025	-nan
-0.0042445	0.29025	-nan
-0.0042415	0.29025	-nan
-0.0042985	0.29075	-nan
-0.0042955	0.29075	-nan
-0.0042925	0.29075	-nan
-0.0042895	0.29075	-nan
-0.0042865	0.29075	-nan
-0.0042835	0.29075	-nan
-0.0042805	0.29075	-nan
-0.0042775	0.29075	-nan
-0.0042745	0.29075	-nan
-0.0042715	0.29075	-nan
-0.0042685	0.29075	-nan
-0.0042655	0.29075	-nan
-0.0042625	0.29075	-nan
-0.0042595	0.29075	-nan
-0.0042565	0.29075	-nan
-0.0042535	0.29075	-nan
-0.0042505	0.29075	-nan
-0.0042475	0.29075	-nan
-0.0042445	0.29075	-nan
-0.0042415	0.29075	-nan
-0.0042985	0.29125	-nan
-0.0042955	0.29125	-nan
-0.0042925	0.29125	-nan
-0.0042895	0.29125	-nan
-0.0042865	0.29125	-nan
-0.0042835	0.29125	-nan
-0.0042805	0.29125	-nan
-0.0042775	0.29125	-nan
-0.0042745	0.29125	-nan
-0.0042715	0.29125	-nan
-0.0042685	0.29125	-nan
-0.0042655	0.29125	-nan
-0.0042625	0.29125	-nan
-0.0042595	0.29125	-nan
-0.0042565	0.29125	-nan
-0.0042535	0.29125	-nan
-0.0042505	0.29125	-nan
-0.0042475	0.29125	-nan
-0.0042445	0.29125	-nan
-0.0042415	0.29125	-nan
-0.0042985	0.29175	-nan
-0.0042955	0.29175	-nan
-0.0042925	0.29175	-nan
-0.0042895	0.29175	-nan
-0.0042865	0.29175	-nan
-0.0042835	0.29175	-nan
-0.0042805	0.29175	-nan
-0.0042775	0.29175	-nan
-0.0042745	0.29175	-nan
-0.0042715	0.29175	-nan
-0.0042685	0.29175	-nan
-0.0042655	0.29175	-nan
-0.0042625	0.29175	-nan
-0.0042595	0.29175	-nan
-0.0042565	0.29175	-nan
-0.0042535	0.29175	-nan
-0.0042505	0.29175	-nan
-0.0042475	0.29175	-nan
-0.0042445	0.29175	-nan
-0.0042415	0.29175	-nan
-0.0042985	0.29225	-nan
-0.0042955	0.29225	-nan
-0.0042925	0.29225	-nan
-0.0042895	0.29225	-nan
