#theta_0	N_0	probability

-0.00095	-0.095	0
-0.00085	-0.095	0
-0.00075	-0.095	0
-0.00065	-0.095	0
-0.00055	-0.095	0
-0.00045	-0.095	0
-0.00035	-0.095	0
-0.00025	-0.095	0
-0.00015	-0.095	0
-5e-05	-0.095	0
5e-05	-0.095	0
0.00015	-0.095	0
0.00025	-0.095	0
0.00035	-0.095	0
0.00045	-0.095	0
0.00055	-0.095	0
0.00065	-0.095	0
0.00075	-0.095	0
0.00085	-0.095	0
0.00095	-0.095	0
-0.00095	-0.085	0
-0.00085	-0.085	0
-0.00075	-0.085	0
-0.00065	-0.085	0
-0.00055	-0.085	0
-0.00045	-0.085	0
-0.00035	-0.085	0
-0.00025	-0.085	0
-0.00015	-0.085	0
-5e-05	-0.085	0
5e-05	-0.085	0
0.00015	-0.085	0
0.00025	-0.085	0
0.00035	-0.085	0
0.00045	-0.085	0
0.00055	-0.085	0
0.00065	-0.085	0
0.00075	-0.085	0
0.00085	-0.085	0
0.00095	-0.085	0
-0.00095	-0.075	0
-0.00085	-0.075	0
-0.00075	-0.075	0
-0.00065	-0.075	0
-0.00055	-0.075	0
-0.00045	-0.075	0
-0.00035	-0.075	0
-0.00025	-0.075	0
-0.00015	-0.075	0
-5e-05	-0.075	0
5e-05	-0.075	0
0.00015	-0.075	0
0.00025	-0.075	0
0.00035	-0.075	0
0.00045	-0.075	0
0.00055	-0.075	0
0.00065	-0.075	0
0.00075	-0.075	0
0.00085	-0.075	0
0.00095	-0.075	0
-0.00095	-0.065	0
-0.00085	-0.065	0
-0.00075	-0.065	0
-0.00065	-0.065	0
-0.00055	-0.065	0
-0.00045	-0.065	0
-0.00035	-0.065	0
-0.00025	-0.065	0
-0.00015	-0.065	0
-5e-05	-0.065	0
5e-05	-0.065	0
0.00015	-0.065	0
0.00025	-0.065	0
0.00035	-0.065	0
0.00045	-0.065	0
0.00055	-0.065	0
0.00065	-0.065	0
0.00075	-0.065	0
0.00085	-0.065	0
0.00095	-0.065	0
-0.00095	-0.055	0
-0.00085	-0.055	0
-0.00075	-0.055	0
-0.00065	-0.055	0
-0.00055	-0.055	0
-0.00045	-0.055	0
-0.00035	-0.055	0
-0.00025	-0.055	0
-0.00015	-0.055	0
-5e-05	-0.055	0
5e-05	-0.055	0
0.00015	-0.055	0
0.00025	-0.055	0
0.00035	-0.055	0
0.00045	-0.055	0
0.00055	-0.055	0
0.00065	-0.055	0
0.00075	-0.055	0
0.00085	-0.055	0
0.00095	-0.055	0
-0.00095	-0.045	0
-0.00085	-0.045	0
-0.00075	-0.045	0
-0.00065	-0.045	0
-0.00055	-0.045	0
-0.00045	-0.045	0
-0.00035	-0.045	0
-0.00025	-0.045	0
-0.00015	-0.045	0
-5e-05	-0.045	0
5e-05	-0.045	0
0.00015	-0.045	0
0.00025	-0.045	0
0.00035	-0.045	0
0.00045	-0.045	0
0.00055	-0.045	0
0.00065	-0.045	0
0.00075	-0.045	0
0.00085	-0.045	0
0.00095	-0.045	0
-0.00095	-0.035	0
-0.00085	-0.035	0
-0.00075	-0.035	0
-0.00065	-0.035	0
-0.00055	-0.035	0
-0.00045	-0.035	0
-0.00035	-0.035	0
-0.00025	-0.035	0
-0.00015	-0.035	0
-5e-05	-0.035	0
5e-05	-0.035	0
0.00015	-0.035	0
0.00025	-0.035	0
