#theta_0	N_0	probability

-0.000318433	0.108896	6.41501e-33
-0.0003089	0.108896	2.04656e-31
-0.000299366	0.108896	9.08365e-29
-0.000289833	0.108896	3.04396e-27
-0.0002803	0.108896	4.60024e-26
-0.000270766	0.108896	1.25068e-24
-0.000261233	0.108896	1.4761e-23
-0.000251699	0.108896	8.16328e-23
-0.000242166	0.108896	1.18319e-21
-0.000232632	0.108896	5.06182e-20
-0.000223099	0.108896	5.73763e-19
-0.000213565	0.108896	3.59106e-18
-0.000204032	0.108896	1.40659e-17
-0.000194499	0.108896	9.8216e-18
-0.000184965	0.108896	3.96418e-17
-0.000175432	0.108896	2.00114e-16
-0.000165898	0.108896	1.08657e-15
-0.000156365	0.108896	1.00869e-15
-0.000146831	0.108896	1.52414e-16
-0.000137298	0.108896	9.23772e-16
-0.000127764	0.108896	4.30447e-15
-0.000118231	0.108896	1.16868e-15
-0.000108698	0.108896	2.27988e-15
-9.91642e-05	0.108896	7.18344e-16
-8.96307e-05	0.108896	3.82918e-15
-8.00973e-05	0.108896	7.79705e-15
-7.05638e-05	0.108896	2.4006e-14
-6.10304e-05	0.108896	1.21131e-14
-5.1497e-05	0.108896	1.13477e-15
-4.19635e-05	0.108896	3.04691e-18
-3.24301e-05	0.108896	1.75003e-18
-2.28966e-05	0.108896	2.76088e-19
-1.33632e-05	0.108896	6.41181e-20
-3.82976e-06	0.108896	5.03099e-20
5.70368e-06	0.108896	2.67118e-20
1.52371e-05	0.108896	6.24722e-21
2.47706e-05	0.108896	1.43961e-21
3.4304e-05	0.108896	1.89306e-22
4.38374e-05	0.108896	1.28979e-23
5.33709e-05	0.108896	1.65427e-27
6.29043e-05	0.108896	1.49186e-30
7.24378e-05	0.108896	0
8.19712e-05	0.108896	0
9.15046e-05	0.108896	0
0.000101038	0.108896	0
0.000110572	0.108896	0
0.000120105	0.108896	0
0.000129638	0.108896	0
0.000139172	0.108896	0
0.000148705	0.108896	0
-0.000318433	0.116288	3.16876e-32
-0.0003089	0.116288	1.06321e-30
-0.000299366	0.116288	6.7067e-29
-0.000289833	0.116288	6.57592e-27
-0.0002803	0.116288	3.83146e-25
-0.000270766	0.116288	1.85037e-23
-0.000261233	0.116288	2.79837e-22
-0.000251699	0.116288	7.43078e-21
-0.000242166	0.116288	3.29051e-20
-0.000232632	0.116288	1.24491e-18
-0.000223099	0.116288	9.90833e-18
-0.000213565	0.116288	9.73231e-17
-0.000204032	0.116288	2.93964e-16
-0.000194499	0.116288	4.95519e-15
-0.000184965	0.116288	3.344e-14
-0.000175432	0.116288	9.83484e-14
-0.000165898	0.116288	2.66253e-14
-0.000156365	0.116288	7.46918e-14
-0.000146831	0.116288	1.96087e-13
-0.000137298	0.116288	9.16665e-13
-0.000127764	0.116288	4.85208e-13
-0.000118231	0.116288	2.47235e-12
-0.000108698	0.116288	2.24888e-12
