#n_l	N_0	probability

1.41934	0.22652	0
1.41941	0.22652	0
1.41948	0.22652	0
1.41955	0.22652	0
1.41963	0.22652	0
1.4197	0.22652	0
1.41977	0.22652	0
1.41984	0.22652	0
1.41991	0.22652	0
1.41998	0.22652	0
1.42005	0.22652	0
1.42012	0.22652	0
1.42019	0.22652	0
1.42026	0.22652	0
1.42033	0.22652	0
1.4204	0.22652	0
1.42047	0.22652	0
1.42054	0.22652	0
1.42061	0.22652	0
1.42068	0.22652	0
1.42075	0.22652	0
1.42083	0.22652	0
1.4209	0.22652	0
1.42097	0.22652	0
1.42104	0.22652	0
1.42111	0.22652	0
1.42118	0.22652	0
1.42125	0.22652	0
1.42132	0.22652	0
1.42139	0.22652	0
1.42146	0.22652	0
1.42153	0.22652	0
1.4216	0.22652	0
1.42167	0.22652	0
1.42174	0.22652	0
1.42181	0.22652	0
1.42188	0.22652	0
1.42195	0.22652	0
1.42202	0.22652	0
1.4221	0.22652	0
1.42217	0.22652	0
1.42224	0.22652	0
1.42231	0.22652	0
1.42238	0.22652	0
1.42245	0.22652	0
1.42252	0.22652	0
1.42259	0.22652	0
1.42266	0.22652	0
1.42273	0.22652	0
1.4228	0.22652	0
1.42287	0.22652	0
1.42294	0.22652	0
1.42301	0.22652	0
1.42308	0.22652	0
1.42315	0.22652	0
1.42322	0.22652	0
1.42329	0.22652	0
1.42337	0.22652	0
1.42344	0.22652	0
1.42351	0.22652	0
1.42358	0.22652	0
1.42365	0.22652	0
1.42372	0.22652	0
1.42379	0.22652	0
1.42386	0.22652	0
1.42393	0.22652	0
1.424	0.22652	0
1.42407	0.22652	0
1.42414	0.22652	0
1.42421	0.22652	0
1.42428	0.22652	0
1.42435	0.22652	0
1.42442	0.22652	0
1.42449	0.22652	0
1.42456	0.22652	0
1.42464	0.22652	0
1.42471	0.22652	0
1.42478	0.22652	0
1.42485	0.22652	0
1.42492	0.22652	0
1.42499	0.22652	0
1.42506	0.22652	0
1.42513	0.22652	0
1.4252	0.22652	0
1.42527	0.22652	0
1.42534	0.22652	0
1.42541	0.22652	0
1.42548	0.22652	0
1.42555	0.22652	0
1.42562	0.22652	0
1.42569	0.22652	0
1.42576	0.22652	0
1.42583	0.22652	0
1.42591	0.22652	0
1.42598	0.22652	0
1.42605	0.22652	0
1.42612	0.22652	0
1.42619	0.22652	0
1.42626	0.22652	0
1.42633	0.22652	0
1.41934	0.22676	0
1.41941	0.22676	0
1.41948	0.22676	0
1.41955	0.22676	0
1.41963	0.22676	0
1.4197	0.22676	0
1.41977	0.22676	0
1.41984	0.22676	0
1.41991	0.22676	0
1.41998	0.22676	0
1.42005	0.22676	0
1.42012	0.22676	0
1.42019	0.22676	0
1.42026	0.22676	0
1.42033	0.22676	0
1.4204	0.22676	0
1.42047	0.22676	0
1.42054	0.22676	0
1.42061	0.22676	0
1.42068	0.22676	0
1.42075	0.22676	0
1.42083	0.22676	0
1.4209	0.22676	0
1.42097	0.22676	0
1.42104	0.22676	0
1.42111	0.22676	0
1.42118	0.22676	0
1.42125	0.22676	0
1.42132	0.22676	0
1.42139	0.22676	0
1.42146	0.22676	0
1.42153	0.22676	0
1.4216	0.22676	0
1.42167	0.22676	0
1.42174	0.22676	0
1.42181	0.22676	0
1.42188	0.22676	0
1.42195	0.22676	0
1.42202	0.22676	0
1.4221	0.22676	0
1.42217	0.22676	0
1.42224	0.22676	0
1.42231	0.22676	0
1.42238	0.22676	0
1.42245	0.22676	0
1.42252	0.22676	0
1.42259	0.22676	0
1.42266	0.22676	0
1.42273	0.22676	0
1.4228	0.22676	0
1.42287	0.22676	0
1.42294	0.22676	0
1.42301	0.22676	0
1.42308	0.22676	0
1.42315	0.22676	0
1.42322	0.22676	0
1.42329	0.22676	0
1.42337	0.22676	0
1.42344	0.22676	0
1.42351	0.22676	0
1.42358	0.22676	0
1.42365	0.22676	0
1.42372	0.22676	0
1.42379	0.22676	0
1.42386	0.22676	0
1.42393	0.22676	0
1.424	0.22676	0
1.42407	0.22676	0
1.42414	0.22676	0
1.42421	0.22676	0
1.42428	0.22676	0
1.42435	0.22676	0
1.42442	0.22676	0
1.42449	0.22676	0
1.42456	0.22676	0
1.42464	0.22676	0
1.42471	0.22676	0
1.42478	0.22676	0
1.42485	0.22676	0
1.42492	0.22676	0
1.42499	0.22676	0
1.42506	0.22676	0
1.42513	0.22676	0
1.4252	0.22676	0
1.42527	0.22676	0
1.42534	0.22676	0
1.42541	0.22676	0
1.42548	0.22676	0
1.42555	0.22676	0
1.42562	0.22676	0
1.42569	0.22676	0
1.42576	0.22676	0
1.42583	0.22676	0
1.42591	0.22676	0
1.42598	0.22676	0
1.42605	0.22676	0
1.42612	0.22676	0
1.42619	0.22676	0
1.42626	0.22676	0
1.42633	0.22676	0
1.41934	0.227	0
1.41941	0.227	0
1.41948	0.227	0
1.41955	0.227	0
1.41963	0.227	0
1.4197	0.227	0
1.41977	0.227	0
1.41984	0.227	0
1.41991	0.227	0
1.41998	0.227	0
1.42005	0.227	0
1.42012	0.227	0
1.42019	0.227	0
1.42026	0.227	0
1.42033	0.227	0
1.4204	0.227	0
1.42047	0.227	0
1.42054	0.227	0
1.42061	0.227	0
1.42068	0.227	0
1.42075	0.227	0
1.42083	0.227	0
1.4209	0.227	0
1.42097	0.227	0
1.42104	0.227	0
1.42111	0.227	0
1.42118	0.227	0
1.42125	0.227	0
1.42132	0.227	0
1.42139	0.227	0
1.42146	0.227	0
1.42153	0.227	0
1.4216	0.227	0
1.42167	0.227	0
1.42174	0.227	0
1.42181	0.227	0
1.42188	0.227	0
1.42195	0.227	0
1.42202	0.227	0
1.4221	0.227	0
1.42217	0.227	0
1.42224	0.227	0
1.42231	0.227	0
1.42238	0.227	0
1.42245	0.227	0
1.42252	0.227	0
1.42259	0.227	0
1.42266	0.227	0
1.42273	0.227	0
1.4228	0.227	0
1.42287	0.227	0
1.42294	0.227	0
1.42301	0.227	0
1.42308	0.227	0
1.42315	0.227	0
1.42322	0.227	0
1.42329	0.227	0
1.42337	0.227	0
1.42344	0.227	0
1.42351	0.227	0
1.42358	0.227	0
1.42365	0.227	0
1.42372	0.227	0
1.42379	0.227	0
1.42386	0.227	0
1.42393	0.227	0
1.424	0.227	0
1.42407	0.227	0
1.42414	0.227	0
1.42421	0.227	0
1.42428	0.227	0
1.42435	0.227	0
1.42442	0.227	0
1.42449	0.227	0
1.42456	0.227	0
1.42464	0.227	0
1.42471	0.227	0
1.42478	0.227	0
1.42485	0.227	0
1.42492	0.227	0
1.42499	0.227	0
1.42506	0.227	0
1.42513	0.227	0
1.4252	0.227	0
1.42527	0.227	0
1.42534	0.227	0
1.42541	0.227	0
1.42548	0.227	0
1.42555	0.227	0
1.42562	0.227	0
1.42569	0.227	0
1.42576	0.227	0
1.42583	0.227	0
1.42591	0.227	0
1.42598	0.227	0
1.42605	0.227	0
1.42612	0.227	0
1.42619	0.227	0
1.42626	0.227	0
1.42633	0.227	0
1.41934	0.22724	0
1.41941	0.22724	0
1.41948	0.22724	0
1.41955	0.22724	0
1.41963	0.22724	0
1.4197	0.22724	0
1.41977	0.22724	0
1.41984	0.22724	0
1.41991	0.22724	0
1.41998	0.22724	0
1.42005	0.22724	0
1.42012	0.22724	0
1.42019	0.22724	0
1.42026	0.22724	0
1.42033	0.22724	0
1.4204	0.22724	0
1.42047	0.22724	0
1.42054	0.22724	0
1.42061	0.22724	0
1.42068	0.22724	0
1.42075	0.22724	0
1.42083	0.22724	0
1.4209	0.22724	0
1.42097	0.22724	0
1.42104	0.22724	0
1.42111	0.22724	0
1.42118	0.22724	0
1.42125	0.22724	0
1.42132	0.22724	0
1.42139	0.22724	0
1.42146	0.22724	0
1.42153	0.22724	0
1.4216	0.22724	0
1.42167	0.22724	0
1.42174	0.22724	0
1.42181	0.22724	0
1.42188	0.22724	0
1.42195	0.22724	0
1.42202	0.22724	0
1.4221	0.22724	0
1.42217	0.22724	0
1.42224	0.22724	0
1.42231	0.22724	0
1.42238	0.22724	0
1.42245	0.22724	0
1.42252	0.22724	0
1.42259	0.22724	0
1.42266	0.22724	0
1.42273	0.22724	0
1.4228	0.22724	0
