#n_l	N_0	probability

1.41483	0.2006	0
1.4149	0.2006	0
1.41496	0.2006	0
1.41502	0.2006	0
1.41509	0.2006	0
1.41515	0.2006	0
1.41522	0.2006	0
1.41528	0.2006	0
1.41534	0.2006	0
1.41541	0.2006	0
1.41547	0.2006	0
1.41554	0.2006	0
1.4156	0.2006	0
1.41566	0.2006	0
1.41573	0.2006	0
1.41579	0.2006	0
1.41586	0.2006	0
1.41592	0.2006	0
1.41598	0.2006	0
1.41605	0.2006	0
1.41611	0.2006	0
1.41618	0.2006	0
1.41624	0.2006	0
1.4163	0.2006	0
1.41637	0.2006	0
1.41643	0.2006	0
1.4165	0.2006	0
1.41656	0.2006	0
1.41662	0.2006	0
1.41669	0.2006	0
1.41675	0.2006	0
1.41682	0.2006	0
1.41688	0.2006	0
1.41694	0.2006	0
1.41701	0.2006	0
1.41707	0.2006	0
1.41714	0.2006	0
1.4172	0.2006	0
1.41726	0.2006	0
1.41733	0.2006	0
1.41739	0.2006	0
1.41746	0.2006	0
1.41752	0.2006	0
1.41758	0.2006	0
1.41765	0.2006	0
1.41771	0.2006	0
1.41778	0.2006	0
1.41784	0.2006	0
1.4179	0.2006	0
1.41797	0.2006	0
1.41803	0.2006	0
1.4181	0.2006	0
1.41816	0.2006	0
1.41822	0.2006	0
1.41829	0.2006	0
1.41835	0.2006	0
1.41842	0.2006	0
1.41848	0.2006	0
1.41854	0.2006	0
1.41861	0.2006	0
1.41867	0.2006	0
1.41874	0.2006	0
1.4188	0.2006	0
1.41886	0.2006	0
1.41893	0.2006	0
1.41899	0.2006	0
1.41906	0.2006	0
1.41912	0.2006	0
1.41918	0.2006	0
1.41925	0.2006	0
1.41931	0.2006	0
1.41938	0.2006	0
1.41944	0.2006	0
1.4195	0.2006	0
1.41957	0.2006	0
1.41963	0.2006	0
1.4197	0.2006	0
1.41976	0.2006	0
1.41982	0.2006	0
1.41989	0.2006	0
1.41995	0.2006	0
1.42002	0.2006	0
1.42008	0.2006	0
1.42014	0.2006	0
1.42021	0.2006	0
1.42027	0.2006	0
1.42034	0.2006	0
1.4204	0.2006	0
1.42046	0.2006	0
1.42053	0.2006	0
1.42059	0.2006	0
1.42066	0.2006	0
1.42072	0.2006	0
1.42078	0.2006	0
1.42085	0.2006	0
1.42091	0.2006	0
1.42098	0.2006	0
1.42104	0.2006	0
1.4211	0.2006	0
1.42117	0.2006	0
1.41483	0.2018	0
1.4149	0.2018	0
1.41496	0.2018	0
1.41502	0.2018	0
1.41509	0.2018	0
1.41515	0.2018	0
1.41522	0.2018	0
1.41528	0.2018	0
1.41534	0.2018	0
1.41541	0.2018	0
1.41547	0.2018	0
1.41554	0.2018	0
1.4156	0.2018	0
1.41566	0.2018	0
1.41573	0.2018	0
1.41579	0.2018	0
1.41586	0.2018	0
1.41592	0.2018	0
1.41598	0.2018	0
1.41605	0.2018	0
1.41611	0.2018	0
1.41618	0.2018	0
1.41624	0.2018	0
1.4163	0.2018	0
1.41637	0.2018	0
1.41643	0.2018	0
1.4165	0.2018	0
1.41656	0.2018	0
1.41662	0.2018	0
1.41669	0.2018	0
1.41675	0.2018	0
1.41682	0.2018	0
1.41688	0.2018	0
1.41694	0.2018	0
1.41701	0.2018	0
1.41707	0.2018	0
1.41714	0.2018	0
1.4172	0.2018	0
1.41726	0.2018	0
1.41733	0.2018	0
1.41739	0.2018	0
1.41746	0.2018	0
1.41752	0.2018	0
1.41758	0.2018	0
1.41765	0.2018	0
1.41771	0.2018	0
1.41778	0.2018	0
1.41784	0.2018	0
1.4179	0.2018	0
1.41797	0.2018	0
1.41803	0.2018	0
1.4181	0.2018	0
1.41816	0.2018	0
1.41822	0.2018	0
1.41829	0.2018	0
1.41835	0.2018	0
1.41842	0.2018	0
1.41848	0.2018	0
1.41854	0.2018	0
1.41861	0.2018	0
1.41867	0.2018	0
1.41874	0.2018	0
1.4188	0.2018	0
1.41886	0.2018	0
1.41893	0.2018	0
1.41899	0.2018	0
1.41906	0.2018	0
1.41912	0.2018	0
1.41918	0.2018	0
1.41925	0.2018	0
1.41931	0.2018	0
1.41938	0.2018	0
1.41944	0.2018	0
1.4195	0.2018	0
1.41957	0.2018	0
1.41963	0.2018	0
1.4197	0.2018	0
1.41976	0.2018	0
1.41982	0.2018	0
1.41989	0.2018	0
1.41995	0.2018	0
1.42002	0.2018	0
1.42008	0.2018	0
1.42014	0.2018	0
1.42021	0.2018	0
1.42027	0.2018	0
1.42034	0.2018	0
1.4204	0.2018	0
1.42046	0.2018	0
1.42053	0.2018	0
1.42059	0.2018	0
1.42066	0.2018	0
1.42072	0.2018	0
1.42078	0.2018	0
1.42085	0.2018	0
1.42091	0.2018	0
1.42098	0.2018	0
1.42104	0.2018	0
1.4211	0.2018	0
1.42117	0.2018	0
1.41483	0.203	0
1.4149	0.203	0
1.41496	0.203	0
1.41502	0.203	0
1.41509	0.203	0
1.41515	0.203	0
1.41522	0.203	0
1.41528	0.203	0
1.41534	0.203	0
1.41541	0.203	0
1.41547	0.203	0
1.41554	0.203	0
1.4156	0.203	0
1.41566	0.203	0
1.41573	0.203	0
1.41579	0.203	0
1.41586	0.203	0
1.41592	0.203	0
1.41598	0.203	0
1.41605	0.203	0
1.41611	0.203	0
1.41618	0.203	0
1.41624	0.203	0
1.4163	0.203	0
1.41637	0.203	0
1.41643	0.203	0
1.4165	0.203	0
1.41656	0.203	0
1.41662	0.203	0
1.41669	0.203	0
1.41675	0.203	0
1.41682	0.203	0
1.41688	0.203	0
1.41694	0.203	0
1.41701	0.203	0
1.41707	0.203	0
1.41714	0.203	0
1.4172	0.203	0
1.41726	0.203	0
1.41733	0.203	0
1.41739	0.203	0
1.41746	0.203	0
1.41752	0.203	0
1.41758	0.203	0
1.41765	0.203	0
1.41771	0.203	0
1.41778	0.203	0
1.41784	0.203	0
1.4179	0.203	0
1.41797	0.203	0
1.41803	0.203	0
1.4181	0.203	0
1.41816	0.203	0
1.41822	0.203	0
1.41829	0.203	0
1.41835	0.203	0
1.41842	0.203	0
1.41848	0.203	0
1.41854	0.203	0
1.41861	0.203	0
1.41867	0.203	0
1.41874	0.203	0
1.4188	0.203	0
1.41886	0.203	0
1.41893	0.203	0
1.41899	0.203	0
1.41906	0.203	0
1.41912	0.203	0
1.41918	0.203	0
1.41925	0.203	0
1.41931	0.203	0
1.41938	0.203	0
1.41944	0.203	0
1.4195	0.203	0
1.41957	0.203	0
1.41963	0.203	0
1.4197	0.203	0
1.41976	0.203	0
1.41982	0.203	0
1.41989	0.203	0
1.41995	0.203	0
1.42002	0.203	0
1.42008	0.203	0
1.42014	0.203	0
1.42021	0.203	0
1.42027	0.203	0
1.42034	0.203	0
1.4204	0.203	0
1.42046	0.203	0
1.42053	0.203	0
1.42059	0.203	0
1.42066	0.203	0
1.42072	0.203	0
1.42078	0.203	0
1.42085	0.203	0
1.42091	0.203	0
1.42098	0.203	0
1.42104	0.203	0
1.4211	0.203	0
1.42117	0.203	0
1.41483	0.2042	0
1.4149	0.2042	0
1.41496	0.2042	0
1.41502	0.2042	0
1.41509	0.2042	0
1.41515	0.2042	0
1.41522	0.2042	0
1.41528	0.2042	0
1.41534	0.2042	0
1.41541	0.2042	0
1.41547	0.2042	0
1.41554	0.2042	0
1.4156	0.2042	0
1.41566	0.2042	0
1.41573	0.2042	0
1.41579	0.2042	0
1.41586	0.2042	0
1.41592	0.2042	0
1.41598	0.2042	0
1.41605	0.2042	0
1.41611	0.2042	0
1.41618	0.2042	0
1.41624	0.2042	0
1.4163	0.2042	0
1.41637	0.2042	0
1.41643	0.2042	0
1.4165	0.2042	0
1.41656	0.2042	0
1.41662	0.2042	0
1.41669	0.2042	0
1.41675	0.2042	0
1.41682	0.2042	0
1.41688	0.2042	0
1.41694	0.2042	0
1.41701	0.2042	0
1.41707	0.2042	0
1.41714	0.2042	0
1.4172	0.2042	0
1.41726	0.2042	0
1.41733	0.2042	0
1.41739	0.2042	0
1.41746	0.2042	0
1.41752	0.2042	0
1.41758	0.2042	0
1.41765	0.2042	0
1.41771	0.2042	0
1.41778	0.2042	0
1.41784	0.2042	0
1.4179	0.2042	0
1.41797	0.2042	0
1.41803	0.2042	0
1.4181	0.2042	0
1.41816	0.2042	0
1.41822	0.2042	0
1.41829	0.2042	0
1.41835	0.2042	0
1.41842	0.2042	0
1.41848	0.2042	0
1.41854	0.2042	0
1.41861	0.2042	0
1.41867	0.2042	0
1.41874	0.2042	0
1.4188	0.2042	0
1.41886	0.2042	0
1.41893	0.2042	0
1.41899	0.2042	0
1.41906	0.2042	0
1.41912	0.2042	0
1.41918	0.2042	0
1.41925	0.2042	0
1.41931	0.2042	0
1.41938	0.2042	0
1.41944	0.2042	0
1.4195	0.2042	0
1.41957	0.2042	0
1.41963	0.2042	0
1.4197	0.2042	0
1.41976	0.2042	0
1.41982	0.2042	0
1.41989	0.2042	0
1.41995	0.2042	0
1.42002	0.2042	0
1.42008	0.2042	0
1.42014	0.2042	0
1.42021	0.2042	0
1.42027	0.2042	0
1.42034	0.2042	0
1.4204	0.2042	0
1.42046	0.2042	0
1.42053	0.2042	0
1.42059	0.2042	0
1.42066	0.2042	0
1.42072	0.2042	0
1.42078	0.2042	0
1.42085	0.2042	0
1.42091	0.2042	0
1.42098	0.2042	0
1.42104	0.2042	0
1.4211	0.2042	0
1.42117	0.2042	0
1.41483	0.2054	0
1.4149	0.2054	0
1.41496	0.2054	0
1.41502	0.2054	0
1.41509	0.2054	0
1.41515	0.2054	0
1.41522	0.2054	0
1.41528	0.2054	0
1.41534	0.2054	0
1.41541	0.2054	0
1.41547	0.2054	0
1.41554	0.2054	0
1.4156	0.2054	0
1.41566	0.2054	0
1.41573	0.2054	0
1.41579	0.2054	0
1.41586	0.2054	0
1.41592	0.2054	0
1.41598	0.2054	0
1.41605	0.2054	0
1.41611	0.2054	0
1.41618	0.2054	0
1.41624	0.2054	0
1.4163	0.2054	0
1.41637	0.2054	0
1.41643	0.2054	0
1.4165	0.2054	0
1.41656	0.2054	0
1.41662	0.2054	0
1.41669	0.2054	0
1.41675	0.2054	0
1.41682	0.2054	0
1.41688	0.2054	0
1.41694	0.2054	0
1.41701	0.2054	0
1.41707	0.2054	0
1.41714	0.2054	0
1.4172	0.2054	0
1.41726	0.2054	0
1.41733	0.2054	0
1.41739	0.2054	0
1.41746	0.2054	0
1.41752	0.2054	0
1.41758	0.2054	0
1.41765	0.2054	0
1.41771	0.2054	0
1.41778	0.2054	0
1.41784	0.2054	0
1.4179	0.2054	0
1.41797	0.2054	0
1.41803	0.2054	0
1.4181	0.2054	0
1.41816	0.2054	0
1.41822	0.2054	0
1.41829	0.2054	0
1.41835	0.2054	0
1.41842	0.2054	0
1.41848	0.2054	0
1.41854	0.2054	0
1.41861	0.2054	0
1.41867	0.2054	0
1.41874	0.2054	0
1.4188	0.2054	0
1.41886	0.2054	0
1.41893	0.2054	0
1.41899	0.2054	0
1.41906	0.2054	0
1.41912	0.2054	0
1.41918	0.2054	0
1.41925	0.2054	0
1.41931	0.2054	0
1.41938	0.2054	0
1.41944	0.2054	0
1.4195	0.2054	0
1.41957	0.2054	0
1.41963	0.2054	0
1.4197	0.2054	0
1.41976	0.2054	0
1.41982	0.2054	0
1.41989	0.2054	0
1.41995	0.2054	0
1.42002	0.2054	0
1.42008	0.2054	0
1.42014	0.2054	0
1.42021	0.2054	0
1.42027	0.2054	0
1.42034	0.2054	0
1.4204	0.2054	0
1.42046	0.2054	0
1.42053	0.2054	0
1.42059	0.2054	0
1.42066	0.2054	0
1.42072	0.2054	0
1.42078	0.2054	0
1.42085	0.2054	0
1.42091	0.2054	0
1.42098	0.2054	0
1.42104	0.2054	0
1.4211	0.2054	0
1.42117	0.2054	0
1.41483	0.2066	0
1.4149	0.2066	0
1.41496	0.2066	0
1.41502	0.2066	0
1.41509	0.2066	0
1.41515	0.2066	0
1.41522	0.2066	0
1.41528	0.2066	0
1.41534	0.2066	0
1.41541	0.2066	0
1.41547	0.2066	0
1.41554	0.2066	0
1.4156	0.2066	0
1.41566	0.2066	0
1.41573	0.2066	0
1.41579	0.2066	0
1.41586	0.2066	0
1.41592	0.2066	0
1.41598	0.2066	0
1.41605	0.2066	0
1.41611	0.2066	0
1.41618	0.2066	0
1.41624	0.2066	0
1.4163	0.2066	0
1.41637	0.2066	0
1.41643	0.2066	0
1.4165	0.2066	0
1.41656	0.2066	0
1.41662	0.2066	0
1.41669	0.2066	0
1.41675	0.2066	0
1.41682	0.2066	0
1.41688	0.2066	0
1.41694	0.2066	0
1.41701	0.2066	0
1.41707	0.2066	0
1.41714	0.2066	0
1.4172	0.2066	0
1.41726	0.2066	0
1.41733	0.2066	0
1.41739	0.2066	0
1.41746	0.2066	0
1.41752	0.2066	0
1.41758	0.2066	0
1.41765	0.2066	0
1.41771	0.2066	0
1.41778	0.2066	0
1.41784	0.2066	0
1.4179	0.2066	0
1.41797	0.2066	0
1.41803	0.2066	0
1.4181	0.2066	0
1.41816	0.2066	0
1.41822	0.2066	0
1.41829	0.2066	0
1.41835	0.2066	0
1.41842	0.2066	0
1.41848	0.2066	0
1.41854	0.2066	0
1.41861	0.2066	0
1.41867	0.2066	0
1.41874	0.2066	0
1.4188	0.2066	0
1.41886	0.2066	0
1.41893	0.2066	0
1.41899	0.2066	0
1.41906	0.2066	0
1.41912	0.2066	0
1.41918	0.2066	0
1.41925	0.2066	0
1.41931	0.2066	0
1.41938	0.2066	0
1.41944	0.2066	0
1.4195	0.2066	0
1.41957	0.2066	0
1.41963	0.2066	0
1.4197	0.2066	0
1.41976	0.2066	0
1.41982	0.2066	0
1.41989	0.2066	0
1.41995	0.2066	0
1.42002	0.2066	0
1.42008	0.2066	0
1.42014	0.2066	0
1.42021	0.2066	0
1.42027	0.2066	0
1.42034	0.2066	0
1.4204	0.2066	0
1.42046	0.2066	0
1.42053	0.2066	0
1.42059	0.2066	0
1.42066	0.2066	0
1.42072	0.2066	0
1.42078	0.2066	0
1.42085	0.2066	0
1.42091	0.2066	0
1.42098	0.2066	0
1.42104	0.2066	0
1.4211	0.2066	0
1.42117	0.2066	0
1.41483	0.2078	0
1.4149	0.2078	0
1.41496	0.2078	0
1.41502	0.2078	0
1.41509	0.2078	0
1.41515	0.2078	0
1.41522	0.2078	0
1.41528	0.2078	0
1.41534	0.2078	0
1.41541	0.2078	0
1.41547	0.2078	0
1.41554	0.2078	0
1.4156	0.2078	0
1.41566	0.2078	0
1.41573	0.2078	0
1.41579	0.2078	0
1.41586	0.2078	0
1.41592	0.2078	0
1.41598	0.2078	0
1.41605	0.2078	0
