#n_l	theta_0	probability

1.41483	-0.0003968	1.35347e-112
1.4149	-0.0003968	8.49934e-111
1.41496	-0.0003968	4.00234e-110
1.41502	-0.0003968	1.6628e-107
1.41509	-0.0003968	1.31949e-106
1.41515	-0.0003968	8.48016e-105
1.41522	-0.0003968	2.75684e-104
1.41528	-0.0003968	3.81431e-102
1.41534	-0.0003968	6.71266e-100
1.41541	-0.0003968	1.05127e-98
1.41547	-0.0003968	2.53298e-97
1.41554	-0.0003968	1.63766e-96
1.4156	-0.0003968	1.50847e-94
1.41566	-0.0003968	4.25122e-94
1.41573	-0.0003968	6.53654e-93
1.41579	-0.0003968	5.08716e-91
1.41586	-0.0003968	1.08706e-89
1.41592	-0.0003968	2.54485e-89
1.41598	-0.0003968	1.7242e-88
1.41605	-0.0003968	3.71782e-88
1.41611	-0.0003968	7.33373e-87
1.41618	-0.0003968	1.83566e-85
1.41624	-0.0003968	3.79846e-85
1.4163	-0.0003968	2.29436e-85
1.41637	-0.0003968	1.52908e-83
1.41643	-0.0003968	2.24535e-82
1.4165	-0.0003968	1.03663e-80
1.41656	-0.0003968	2.77531e-79
1.41662	-0.0003968	4.61944e-78
1.41669	-0.0003968	3.01857e-77
1.41675	-0.0003968	4.98148e-77
1.41682	-0.0003968	1.49941e-76
1.41688	-0.0003968	3.51047e-76
1.41694	-0.0003968	3.18688e-75
1.41701	-0.0003968	2.05559e-74
1.41707	-0.0003968	3.53501e-73
1.41714	-0.0003968	8.79046e-73
1.4172	-0.0003968	1.37922e-71
1.41726	-0.0003968	8.08394e-71
1.41733	-0.0003968	8.22537e-70
1.41739	-0.0003968	5.58564e-69
1.41746	-0.0003968	2.68725e-68
1.41752	-0.0003968	9.07227e-68
1.41758	-0.0003968	2.37393e-67
1.41765	-0.0003968	7.19962e-67
1.41771	-0.0003968	3.08361e-66
1.41778	-0.0003968	7.75023e-66
1.41784	-0.0003968	5.03583e-65
1.4179	-0.0003968	9.69318e-65
1.41797	-0.0003968	7.5598e-64
1.41803	-0.0003968	1.73276e-63
1.4181	-0.0003968	3.44968e-63
1.41816	-0.0003968	9.77467e-63
1.41822	-0.0003968	3.71277e-62
1.41829	-0.0003968	6.55026e-61
1.41835	-0.0003968	2.09244e-60
1.41842	-0.0003968	2.17766e-60
1.41848	-0.0003968	5.24633e-61
1.41854	-0.0003968	1.19979e-60
1.41861	-0.0003968	2.75731e-60
1.41867	-0.0003968	7.32608e-60
1.41874	-0.0003968	2.11128e-59
1.4188	-0.0003968	1.65349e-59
1.41886	-0.0003968	2.24522e-59
1.41893	-0.0003968	2.13106e-59
1.41899	-0.0003968	7.50954e-60
1.41906	-0.0003968	1.90533e-59
1.41912	-0.0003968	1.99506e-60
1.41918	-0.0003968	8.3737e-62
1.41925	-0.0003968	7.99397e-62
1.41931	-0.0003968	1.94357e-61
1.41938	-0.0003968	7.25423e-62
1.41944	-0.0003968	3.03605e-62
1.4195	-0.0003968	4.03685e-62
1.41957	-0.0003968	3.17106e-63
1.41963	-0.0003968	1.11897e-63
1.4197	-0.0003968	8.58325e-64
1.41976	-0.0003968	1.8431e-63
1.41982	-0.0003968	3.4379e-63
1.41989	-0.0003968	6.09455e-63
1.41995	-0.0003968	5.01946e-62
1.42002	-0.0003968	4.19168e-62
1.42008	-0.0003968	5.5702e-62
1.42014	-0.0003968	5.34866e-62
1.42021	-0.0003968	3.88554e-62
1.42027	-0.0003968	4.63054e-62
1.42034	-0.0003968	1.68869e-62
1.4204	-0.0003968	3.61051e-63
1.42046	-0.0003968	5.16309e-64
1.42053	-0.0003968	2.17549e-64
1.42059	-0.0003968	2.05395e-65
1.42066	-0.0003968	4.38288e-66
1.42072	-0.0003968	5.70885e-66
1.42078	-0.0003968	2.63329e-66
1.42085	-0.0003968	4.22647e-66
1.42091	-0.0003968	3.78274e-66
1.42098	-0.0003968	2.47521e-66
1.42104	-0.0003968	4.91883e-66
