#theta_0	N_0	probability

-0.0003968	0.2006	0
-0.0003904	0.2006	0
-0.000384	0.2006	0
-0.0003776	0.2006	0
-0.0003712	0.2006	0
-0.0003648	0.2006	0
-0.0003584	0.2006	0
-0.000352	0.2006	0
-0.0003456	0.2006	0
-0.0003392	0.2006	0
-0.0003328	0.2006	0
-0.0003264	0.2006	0
-0.00032	0.2006	0
-0.0003136	0.2006	0
-0.0003072	0.2006	0
-0.0003008	0.2006	0
-0.0002944	0.2006	0
-0.000288	0.2006	0
-0.0002816	0.2006	0
-0.0002752	0.2006	0
-0.0002688	0.2006	0
-0.0002624	0.2006	0
-0.000256	0.2006	0
-0.0002496	0.2006	0
-0.0002432	0.2006	0
-0.0002368	0.2006	0
-0.0002304	0.2006	0
-0.000224	0.2006	0
-0.0002176	0.2006	0
-0.0002112	0.2006	0
-0.0002048	0.2006	0
-0.0001984	0.2006	0
-0.000192	0.2006	0
-0.0001856	0.2006	0
-0.0001792	0.2006	0
-0.0001728	0.2006	0
-0.0001664	0.2006	0
-0.00016	0.2006	0
-0.0001536	0.2006	0
-0.0001472	0.2006	0
-0.0001408	0.2006	0
-0.0001344	0.2006	0
-0.000128	0.2006	0
-0.0001216	0.2006	0
-0.0001152	0.2006	0
-0.0001088	0.2006	0
-0.0001024	0.2006	0
-9.6e-05	0.2006	0
-8.96e-05	0.2006	0
-8.32e-05	0.2006	0
-0.0003968	0.2018	0
-0.0003904	0.2018	0
-0.000384	0.2018	0
-0.0003776	0.2018	0
-0.0003712	0.2018	0
-0.0003648	0.2018	0
-0.0003584	0.2018	0
-0.000352	0.2018	0
-0.0003456	0.2018	0
-0.0003392	0.2018	0
-0.0003328	0.2018	0
-0.0003264	0.2018	0
-0.00032	0.2018	0
-0.0003136	0.2018	0
-0.0003072	0.2018	0
-0.0003008	0.2018	0
-0.0002944	0.2018	0
-0.000288	0.2018	0
-0.0002816	0.2018	0
-0.0002752	0.2018	0
-0.0002688	0.2018	0
-0.0002624	0.2018	0
-0.000256	0.2018	0
-0.0002496	0.2018	0
-0.0002432	0.2018	0
-0.0002368	0.2018	0
-0.0002304	0.2018	0
-0.000224	0.2018	0
-0.0002176	0.2018	0
-0.0002112	0.2018	0
-0.0002048	0.2018	0
-0.0001984	0.2018	0
-0.000192	0.2018	0
-0.0001856	0.2018	0
-0.0001792	0.2018	0
-0.0001728	0.2018	0
-0.0001664	0.2018	0
-0.00016	0.2018	0
-0.0001536	0.2018	0
-0.0001472	0.2018	0
-0.0001408	0.2018	0
-0.0001344	0.2018	0
-0.000128	0.2018	0
-0.0001216	0.2018	0
-0.0001152	0.2018	0
-0.0001088	0.2018	0
-0.0001024	0.2018	0
-9.6e-05	0.2018	0
-8.96e-05	0.2018	0
-8.32e-05	0.2018	0
-0.0003968	0.203	0
-0.0003904	0.203	0
-0.000384	0.203	0
-0.0003776	0.203	0
-0.0003712	0.203	0
-0.0003648	0.203	0
-0.0003584	0.203	0
-0.000352	0.203	0
-0.0003456	0.203	0
-0.0003392	0.203	0
-0.0003328	0.203	0
-0.0003264	0.203	0
-0.00032	0.203	0
-0.0003136	0.203	0
-0.0003072	0.203	0
-0.0003008	0.203	0
-0.0002944	0.203	0
-0.000288	0.203	0
-0.0002816	0.203	0
-0.0002752	0.203	0
-0.0002688	0.203	0
-0.0002624	0.203	0
-0.000256	0.203	0
-0.0002496	0.203	0
-0.0002432	0.203	0
-0.0002368	0.203	0
-0.0002304	0.203	0
-0.000224	0.203	0
-0.0002176	0.203	0
-0.0002112	0.203	0
-0.0002048	0.203	0
-0.0001984	0.203	0
-0.000192	0.203	0
-0.0001856	0.203	0
-0.0001792	0.203	0
-0.0001728	0.203	0
-0.0001664	0.203	0
-0.00016	0.203	0
-0.0001536	0.203	0
-0.0001472	0.203	0
-0.0001408	0.203	0
-0.0001344	0.203	0
-0.000128	0.203	0
-0.0001216	0.203	0
-0.0001152	0.203	0
-0.0001088	0.203	0
-0.0001024	0.203	0
-9.6e-05	0.203	0
-8.96e-05	0.203	0
-8.32e-05	0.203	0
-0.0003968	0.2042	0
-0.0003904	0.2042	0
-0.000384	0.2042	0
-0.0003776	0.2042	0
-0.0003712	0.2042	0
-0.0003648	0.2042	0
-0.0003584	0.2042	0
-0.000352	0.2042	0
-0.0003456	0.2042	0
-0.0003392	0.2042	0
-0.0003328	0.2042	0
-0.0003264	0.2042	0
-0.00032	0.2042	0
-0.0003136	0.2042	0
-0.0003072	0.2042	0
-0.0003008	0.2042	0
-0.0002944	0.2042	0
-0.000288	0.2042	0
-0.0002816	0.2042	0
-0.0002752	0.2042	0
-0.0002688	0.2042	0
-0.0002624	0.2042	0
-0.000256	0.2042	0
-0.0002496	0.2042	0
-0.0002432	0.2042	0
-0.0002368	0.2042	0
-0.0002304	0.2042	0
-0.000224	0.2042	0
-0.0002176	0.2042	0
-0.0002112	0.2042	0
-0.0002048	0.2042	0
-0.0001984	0.2042	0
-0.000192	0.2042	0
-0.0001856	0.2042	0
-0.0001792	0.2042	0
-0.0001728	0.2042	0
-0.0001664	0.2042	0
-0.00016	0.2042	0
-0.0001536	0.2042	0
-0.0001472	0.2042	0
-0.0001408	0.2042	0
-0.0001344	0.2042	0
-0.000128	0.2042	0
-0.0001216	0.2042	0
-0.0001152	0.2042	0
-0.0001088	0.2042	0
-0.0001024	0.2042	0
-9.6e-05	0.2042	0
-8.96e-05	0.2042	0
-8.32e-05	0.2042	0
-0.0003968	0.2054	0
-0.0003904	0.2054	0
-0.000384	0.2054	0
-0.0003776	0.2054	0
-0.0003712	0.2054	0
-0.0003648	0.2054	0
-0.0003584	0.2054	0
-0.000352	0.2054	0
-0.0003456	0.2054	0
-0.0003392	0.2054	0
-0.0003328	0.2054	0
-0.0003264	0.2054	0
-0.00032	0.2054	0
-0.0003136	0.2054	0
-0.0003072	0.2054	0
-0.0003008	0.2054	0
-0.0002944	0.2054	0
-0.000288	0.2054	0
-0.0002816	0.2054	0
-0.0002752	0.2054	0
-0.0002688	0.2054	0
-0.0002624	0.2054	0
-0.000256	0.2054	0
-0.0002496	0.2054	0
-0.0002432	0.2054	0
-0.0002368	0.2054	0
-0.0002304	0.2054	0
-0.000224	0.2054	0
-0.0002176	0.2054	0
-0.0002112	0.2054	0
-0.0002048	0.2054	0
-0.0001984	0.2054	0
-0.000192	0.2054	0
-0.0001856	0.2054	0
-0.0001792	0.2054	0
-0.0001728	0.2054	0
-0.0001664	0.2054	0
-0.00016	0.2054	0
-0.0001536	0.2054	0
-0.0001472	0.2054	0
-0.0001408	0.2054	0
-0.0001344	0.2054	0
-0.000128	0.2054	0
-0.0001216	0.2054	0
-0.0001152	0.2054	0
-0.0001088	0.2054	0
-0.0001024	0.2054	0
-9.6e-05	0.2054	0
-8.96e-05	0.2054	0
-8.32e-05	0.2054	0
-0.0003968	0.2066	0
-0.0003904	0.2066	0
-0.000384	0.2066	0
-0.0003776	0.2066	0
-0.0003712	0.2066	0
-0.0003648	0.2066	0
-0.0003584	0.2066	0
-0.000352	0.2066	0
-0.0003456	0.2066	0
-0.0003392	0.2066	0
-0.0003328	0.2066	0
-0.0003264	0.2066	0
-0.00032	0.2066	0
-0.0003136	0.2066	0
-0.0003072	0.2066	0
-0.0003008	0.2066	0
-0.0002944	0.2066	0
-0.000288	0.2066	0
-0.0002816	0.2066	0
-0.0002752	0.2066	0
-0.0002688	0.2066	0
-0.0002624	0.2066	0
-0.000256	0.2066	0
-0.0002496	0.2066	0
-0.0002432	0.2066	0
-0.0002368	0.2066	0
-0.0002304	0.2066	0
-0.000224	0.2066	0
-0.0002176	0.2066	0
-0.0002112	0.2066	0
-0.0002048	0.2066	0
-0.0001984	0.2066	0
-0.000192	0.2066	0
-0.0001856	0.2066	0
-0.0001792	0.2066	0
-0.0001728	0.2066	0
-0.0001664	0.2066	0
-0.00016	0.2066	0
-0.0001536	0.2066	0
-0.0001472	0.2066	0
-0.0001408	0.2066	0
-0.0001344	0.2066	0
-0.000128	0.2066	0
-0.0001216	0.2066	0
-0.0001152	0.2066	0
-0.0001088	0.2066	0
-0.0001024	0.2066	0
-9.6e-05	0.2066	0
-8.96e-05	0.2066	0
-8.32e-05	0.2066	0
-0.0003968	0.2078	0
-0.0003904	0.2078	0
-0.000384	0.2078	0
-0.0003776	0.2078	0
-0.0003712	0.2078	0
-0.0003648	0.2078	0
-0.0003584	0.2078	0
-0.000352	0.2078	0
-0.0003456	0.2078	0
-0.0003392	0.2078	0
-0.0003328	0.2078	0
-0.0003264	0.2078	0
-0.00032	0.2078	0
-0.0003136	0.2078	0
-0.0003072	0.2078	0
-0.0003008	0.2078	0
-0.0002944	0.2078	0
-0.000288	0.2078	0
-0.0002816	0.2078	0
-0.0002752	0.2078	0
-0.0002688	0.2078	0
-0.0002624	0.2078	0
-0.000256	0.2078	0
-0.0002496	0.2078	0
-0.0002432	0.2078	0
-0.0002368	0.2078	0
-0.0002304	0.2078	0
-0.000224	0.2078	0
-0.0002176	0.2078	0
-0.0002112	0.2078	0
-0.0002048	0.2078	0
-0.0001984	0.2078	0
-0.000192	0.2078	0
-0.0001856	0.2078	0
-0.0001792	0.2078	0
-0.0001728	0.2078	0
-0.0001664	0.2078	0
-0.00016	0.2078	0
-0.0001536	0.2078	0
-0.0001472	0.2078	0
-0.0001408	0.2078	0
-0.0001344	0.2078	0
-0.000128	0.2078	0
-0.0001216	0.2078	0
-0.0001152	0.2078	0
-0.0001088	0.2078	0
-0.0001024	0.2078	0
-9.6e-05	0.2078	0
-8.96e-05	0.2078	0
-8.32e-05	0.2078	0
-0.0003968	0.209	0
-0.0003904	0.209	0
-0.000384	0.209	0
-0.0003776	0.209	0
-0.0003712	0.209	0
-0.0003648	0.209	0
-0.0003584	0.209	0
-0.000352	0.209	0
-0.0003456	0.209	0
-0.0003392	0.209	0
-0.0003328	0.209	0
-0.0003264	0.209	0
-0.00032	0.209	0
-0.0003136	0.209	0
-0.0003072	0.209	0
-0.0003008	0.209	0
-0.0002944	0.209	0
-0.000288	0.209	0
-0.0002816	0.209	0
-0.0002752	0.209	0
-0.0002688	0.209	0
-0.0002624	0.209	0
-0.000256	0.209	0
-0.0002496	0.209	0
-0.0002432	0.209	0
-0.0002368	0.209	0
-0.0002304	0.209	0
-0.000224	0.209	0
-0.0002176	0.209	0
-0.0002112	0.209	0
-0.0002048	0.209	0
-0.0001984	0.209	0
-0.000192	0.209	0
-0.0001856	0.209	0
-0.0001792	0.209	0
-0.0001728	0.209	0
-0.0001664	0.209	0
-0.00016	0.209	0
-0.0001536	0.209	0
-0.0001472	0.209	0
-0.0001408	0.209	0
-0.0001344	0.209	0
-0.000128	0.209	0
-0.0001216	0.209	0
-0.0001152	0.209	0
-0.0001088	0.209	0
-0.0001024	0.209	0
-9.6e-05	0.209	0
-8.96e-05	0.209	0
-8.32e-05	0.209	0
-0.0003968	0.2102	0
-0.0003904	0.2102	0
-0.000384	0.2102	0
-0.0003776	0.2102	0
-0.0003712	0.2102	0
-0.0003648	0.2102	0
-0.0003584	0.2102	0
-0.000352	0.2102	0
-0.0003456	0.2102	0
-0.0003392	0.2102	0
-0.0003328	0.2102	0
-0.0003264	0.2102	0
-0.00032	0.2102	0
-0.0003136	0.2102	0
-0.0003072	0.2102	0
-0.0003008	0.2102	0
-0.0002944	0.2102	0
-0.000288	0.2102	0
-0.0002816	0.2102	0
-0.0002752	0.2102	0
-0.0002688	0.2102	0
-0.0002624	0.2102	0
-0.000256	0.2102	0
-0.0002496	0.2102	0
-0.0002432	0.2102	0
-0.0002368	0.2102	0
-0.0002304	0.2102	0
-0.000224	0.2102	0
-0.0002176	0.2102	0
-0.0002112	0.2102	0
-0.0002048	0.2102	0
-0.0001984	0.2102	0
-0.000192	0.2102	0
-0.0001856	0.2102	0
-0.0001792	0.2102	0
-0.0001728	0.2102	0
-0.0001664	0.2102	0
-0.00016	0.2102	0
-0.0001536	0.2102	0
-0.0001472	0.2102	0
-0.0001408	0.2102	0
-0.0001344	0.2102	0
-0.000128	0.2102	0
-0.0001216	0.2102	0
-0.0001152	0.2102	0
-0.0001088	0.2102	0
-0.0001024	0.2102	0
-9.6e-05	0.2102	0
-8.96e-05	0.2102	0
