#n_l	theta_0	probability

1.41934	-0.000283648	3.40128e-48
1.41941	-0.000283648	2.06088e-47
1.41948	-0.000283648	4.06157e-45
1.41955	-0.000283648	1.47881e-44
1.41963	-0.000283648	4.70572e-43
1.4197	-0.000283648	1.49621e-41
1.41977	-0.000283648	3.18391e-40
1.41984	-0.000283648	9.96731e-39
1.41991	-0.000283648	1.42426e-37
1.41998	-0.000283648	5.39399e-37
1.42005	-0.000283648	2.18318e-36
1.42012	-0.000283648	6.31439e-35
1.42019	-0.000283648	8.01744e-34
1.42026	-0.000283648	4.02006e-32
1.42033	-0.000283648	6.33287e-32
1.4204	-0.000283648	1.11612e-31
1.42047	-0.000283648	4.21151e-30
1.42054	-0.000283648	1.47511e-28
1.42061	-0.000283648	4.06057e-28
1.42068	-0.000283648	7.5726e-28
1.42075	-0.000283648	4.18324e-27
1.42083	-0.000283648	1.34304e-26
1.4209	-0.000283648	3.08679e-26
1.42097	-0.000283648	5.4046e-25
1.42104	-0.000283648	4.84863e-24
1.42111	-0.000283648	7.72403e-24
1.42118	-0.000283648	1.72668e-23
1.42125	-0.000283648	5.96939e-23
1.42132	-0.000283648	2.02802e-22
1.42139	-0.000283648	5.52643e-22
1.42146	-0.000283648	1.14518e-21
1.42153	-0.000283648	2.8069e-21
1.4216	-0.000283648	5.71677e-21
1.42167	-0.000283648	1.04152e-20
1.42174	-0.000283648	2.06944e-20
1.42181	-0.000283648	3.51639e-20
1.42188	-0.000283648	6.2708e-20
1.42195	-0.000283648	1.03479e-19
1.42202	-0.000283648	1.81523e-19
1.4221	-0.000283648	3.66165e-19
1.42217	-0.000283648	7.17825e-19
1.42224	-0.000283648	1.54682e-18
1.42231	-0.000283648	2.80281e-18
1.42238	-0.000283648	5.10219e-18
1.42245	-0.000283648	9.33642e-18
1.42252	-0.000283648	1.63304e-17
1.42259	-0.000283648	2.39471e-17
1.42266	-0.000283648	3.53432e-17
1.42273	-0.000283648	4.98304e-17
1.4228	-0.000283648	6.56855e-17
1.42287	-0.000283648	8.34591e-17
1.42294	-0.000283648	9.65359e-17
1.42301	-0.000283648	1.11116e-16
1.42308	-0.000283648	1.23402e-16
1.42315	-0.000283648	1.2983e-16
1.42322	-0.000283648	1.37676e-16
1.42329	-0.000283648	1.31085e-16
1.42337	-0.000283648	1.22595e-16
1.42344	-0.000283648	1.14243e-16
1.42351	-0.000283648	1.09661e-16
1.42358	-0.000283648	9.575e-17
1.42365	-0.000283648	7.93301e-17
1.42372	-0.000283648	7.38582e-17
1.42379	-0.000283648	6.72074e-17
1.42386	-0.000283648	6.12295e-17
1.42393	-0.000283648	6.16835e-17
1.424	-0.000283648	5.83088e-17
1.42407	-0.000283648	5.90256e-17
1.42414	-0.000283648	6.34855e-17
1.42421	-0.000283648	5.83114e-17
1.42428	-0.000283648	5.55448e-17
1.42435	-0.000283648	5.15469e-17
1.42442	-0.000283648	4.77305e-17
1.42449	-0.000283648	3.77329e-17
1.42456	-0.000283648	3.07378e-17
1.42464	-0.000283648	2.42572e-17
1.42471	-0.000283648	1.68089e-17
1.42478	-0.000283648	1.12647e-17
1.42485	-0.000283648	7.6046e-18
1.42492	-0.000283648	4.81353e-18
1.42499	-0.000283648	2.6865e-18
1.42506	-0.000283648	1.46877e-18
1.42513	-0.000283648	7.96966e-19
1.4252	-0.000283648	4.03159e-19
1.42527	-0.000283648	1.89139e-19
1.42534	-0.000283648	8.24774e-20
1.42541	-0.000283648	3.09312e-20
1.42548	-0.000283648	1.28557e-20
1.42555	-0.000283648	3.93134e-21
1.42562	-0.000283648	2.0572e-21
1.42569	-0.000283648	1.03782e-21
1.42576	-0.000283648	6.35177e-22
1.42583	-0.000283648	3.36512e-22
1.42591	-0.000283648	1.71249e-22
1.42598	-0.000283648	8.35541e-23
1.42605	-0.000283648	4.47282e-23
1.42612	-0.000283648	1.88174e-23
1.42619	-0.000283648	6.76318e-24
1.42626	-0.000283648	3.00571e-24
1.42633	-0.000283648	8.44147e-25
1.41934	-0.000281344	4.4402e-47
1.41941	-0.000281344	4.41848e-46
1.41948	-0.000281344	2.24309e-44
1.41955	-0.000281344	3.12644e-43
1.41963	-0.000281344	5.76104e-42
1.4197	-0.000281344	2.31574e-40
1.41977	-0.000281344	5.40403e-39
1.41984	-0.000281344	6.95728e-38
1.41991	-0.000281344	7.83794e-37
1.41998	-0.000281344	2.53986e-36
1.42005	-0.000281344	3.92029e-35
1.42012	-0.000281344	2.24795e-34
1.42019	-0.000281344	8.07952e-33
1.42026	-0.000281344	1.1467e-31
1.42033	-0.000281344	1.40238e-31
1.4204	-0.000281344	1.04686e-30
1.42047	-0.000281344	3.41472e-29
1.42054	-0.000281344	1.99973e-27
1.42061	-0.000281344	2.54858e-27
1.42068	-0.000281344	6.22675e-27
1.42075	-0.000281344	2.59802e-26
1.42083	-0.000281344	9.34924e-26
1.4209	-0.000281344	8.49112e-25
1.42097	-0.000281344	5.96565e-24
1.42104	-0.000281344	2.3881e-23
1.42111	-0.000281344	5.92441e-23
1.42118	-0.000281344	1.55339e-22
1.42125	-0.000281344	4.73267e-22
1.42132	-0.000281344	1.45175e-21
1.42139	-0.000281344	3.663e-21
1.42146	-0.000281344	8.57589e-21
1.42153	-0.000281344	1.84484e-20
1.4216	-0.000281344	3.64973e-20
1.42167	-0.000281344	7.54632e-20
1.42174	-0.000281344	1.60609e-19
1.42181	-0.000281344	2.82794e-19
1.42188	-0.000281344	4.6016e-19
1.42195	-0.000281344	9.35364e-19
1.42202	-0.000281344	2.10876e-18
1.4221	-0.000281344	4.54315e-18
1.42217	-0.000281344	1.09119e-17
1.42224	-0.000281344	2.18434e-17
1.42231	-0.000281344	4.03158e-17
1.42238	-0.000281344	7.98307e-17
1.42245	-0.000281344	1.38452e-16
1.42252	-0.000281344	2.466e-16
1.42259	-0.000281344	3.49609e-16
1.42266	-0.000281344	5.06477e-16
1.42273	-0.000281344	7.24283e-16
1.4228	-0.000281344	9.0708e-16
1.42287	-0.000281344	1.04138e-15
1.42294	-0.000281344	1.22129e-15
1.42301	-0.000281344	1.43223e-15
1.42308	-0.000281344	1.62698e-15
1.42315	-0.000281344	1.50302e-15
1.42322	-0.000281344	1.47711e-15
1.42329	-0.000281344	1.45139e-15
1.42337	-0.000281344	1.31701e-15
1.42344	-0.000281344	1.09784e-15
1.42351	-0.000281344	1.07347e-15
1.42358	-0.000281344	9.99278e-16
1.42365	-0.000281344	7.0346e-16
1.42372	-0.000281344	5.73744e-16
1.42379	-0.000281344	5.2644e-16
1.42386	-0.000281344	4.16702e-16
1.42393	-0.000281344	3.57981e-16
1.424	-0.000281344	3.22999e-16
1.42407	-0.000281344	2.95045e-16
1.42414	-0.000281344	2.55747e-16
1.42421	-0.000281344	2.41348e-16
1.42428	-0.000281344	2.19084e-16
1.42435	-0.000281344	1.84918e-16
1.42442	-0.000281344	1.51253e-16
1.42449	-0.000281344	1.299e-16
1.42456	-0.000281344	9.7483e-17
1.42464	-0.000281344	7.15531e-17
1.42471	-0.000281344	5.09861e-17
1.42478	-0.000281344	3.39122e-17
1.42485	-0.000281344	2.1806e-17
1.42492	-0.000281344	1.29318e-17
1.42499	-0.000281344	7.63445e-18
1.42506	-0.000281344	4.07977e-18
1.42513	-0.000281344	2.1222e-18
1.4252	-0.000281344	1.09508e-18
1.42527	-0.000281344	4.7828e-19
1.42534	-0.000281344	2.14145e-19
1.42541	-0.000281344	8.72501e-20
1.42548	-0.000281344	3.05508e-20
1.42555	-0.000281344	1.24007e-20
1.42562	-0.000281344	5.79134e-21
1.42569	-0.000281344	3.25855e-21
1.42576	-0.000281344	1.60523e-21
1.42583	-0.000281344	8.86804e-22
1.42591	-0.000281344	4.49979e-22
1.42598	-0.000281344	2.36208e-22
1.42605	-0.000281344	1.17828e-22
1.42612	-0.000281344	5.19664e-23
1.42619	-0.000281344	2.02654e-23
1.42626	-0.000281344	8.34168e-24
1.42633	-0.000281344	3.5071e-24
1.41934	-0.00027904	2.67384e-46
1.41941	-0.00027904	2.12512e-44
1.41948	-0.00027904	1.53042e-43
1.41955	-0.00027904	6.24275e-42
1.41963	-0.00027904	1.92771e-40
1.4197	-0.00027904	4.86533e-39
1.41977	-0.00027904	4.33816e-38
1.41984	-0.00027904	5.29432e-37
1.41991	-0.00027904	3.51905e-36
1.41998	-0.00027904	3.41107e-35
1.42005	-0.00027904	3.81442e-34
1.42012	-0.00027904	3.03136e-33
1.42019	-0.00027904	4.38184e-32
1.42026	-0.00027904	2.78728e-31
1.42033	-0.00027904	8.05113e-31
1.4204	-0.00027904	3.46351e-30
1.42047	-0.00027904	3.49619e-28
1.42054	-0.00027904	7.22601e-27
1.42061	-0.00027904	1.05502e-26
1.42068	-0.00027904	3.04414e-26
1.42075	-0.00027904	1.13444e-25
1.42083	-0.00027904	5.92438e-25
1.4209	-0.00027904	4.44012e-23
1.42097	-0.00027904	9.14984e-23
1.42104	-0.00027904	3.03631e-22
1.42111	-0.00027904	8.57275e-22
1.42118	-0.00027904	2.17864e-21
1.42125	-0.00027904	6.66812e-21
1.42132	-0.00027904	1.72784e-20
1.42139	-0.00027904	4.39408e-20
1.42146	-0.00027904	9.50884e-20
1.42153	-0.00027904	1.84744e-19
1.4216	-0.00027904	4.04928e-19
1.42167	-0.00027904	8.83071e-19
