#n_l	gamma	probability

1.53565	3.05e-05	0
1.53695	3.05e-05	0
1.53825	3.05e-05	0
1.53955	3.05e-05	0
1.54085	3.05e-05	0
1.54215	3.05e-05	0
1.54345	3.05e-05	0
1.54475	3.05e-05	0
1.54605	3.05e-05	0
1.54735	3.05e-05	0
1.54865	3.05e-05	0
1.54995	3.05e-05	0
1.55125	3.05e-05	0
1.55255	3.05e-05	0
1.55385	3.05e-05	0
1.55515	3.05e-05	0
1.55645	3.05e-05	0
1.55775	3.05e-05	0
1.55905	3.05e-05	0
1.56035	3.05e-05	0
1.56165	3.05e-05	0
1.56295	3.05e-05	0
1.56425	3.05e-05	0
1.56555	3.05e-05	0
1.56685	3.05e-05	0
1.56815	3.05e-05	0
1.56945	3.05e-05	0
1.57075	3.05e-05	0
1.57205	3.05e-05	0
1.57335	3.05e-05	0
1.57465	3.05e-05	0
1.57595	3.05e-05	0
1.57725	3.05e-05	0
1.57855	3.05e-05	0
1.57985	3.05e-05	0
1.58115	3.05e-05	0
1.58245	3.05e-05	0
1.58375	3.05e-05	0
1.58505	3.05e-05	0
1.58635	3.05e-05	0
1.58765	3.05e-05	0
1.58895	3.05e-05	0
1.59025	3.05e-05	0
1.59155	3.05e-05	0
1.59285	3.05e-05	0
1.59415	3.05e-05	0
1.59545	3.05e-05	0
1.59675	3.05e-05	0
1.59805	3.05e-05	0
1.59935	3.05e-05	0
1.53565	3.15e-05	0
1.53695	3.15e-05	0
1.53825	3.15e-05	0
1.53955	3.15e-05	0
1.54085	3.15e-05	0
1.54215	3.15e-05	0
1.54345	3.15e-05	0
1.54475	3.15e-05	0
1.54605	3.15e-05	0
1.54735	3.15e-05	0
1.54865	3.15e-05	0
1.54995	3.15e-05	0
1.55125	3.15e-05	0
1.55255	3.15e-05	0
1.55385	3.15e-05	0
1.55515	3.15e-05	0
1.55645	3.15e-05	0
1.55775	3.15e-05	0
1.55905	3.15e-05	0
1.56035	3.15e-05	0
1.56165	3.15e-05	0
1.56295	3.15e-05	0
1.56425	3.15e-05	0
1.56555	3.15e-05	0
1.56685	3.15e-05	0
1.56815	3.15e-05	0
1.56945	3.15e-05	0
1.57075	3.15e-05	0
1.57205	3.15e-05	0
1.57335	3.15e-05	0
1.57465	3.15e-05	0
1.57595	3.15e-05	0
1.57725	3.15e-05	0
1.57855	3.15e-05	0
1.57985	3.15e-05	0
1.58115	3.15e-05	0
1.58245	3.15e-05	0
1.58375	3.15e-05	0
1.58505	3.15e-05	0
1.58635	3.15e-05	0
1.58765	3.15e-05	0
1.58895	3.15e-05	0
1.59025	3.15e-05	0
1.59155	3.15e-05	0
1.59285	3.15e-05	0
1.59415	3.15e-05	0
1.59545	3.15e-05	0
1.59675	3.15e-05	0
1.59805	3.15e-05	0
1.59935	3.15e-05	0
1.53565	3.25e-05	0
1.53695	3.25e-05	0
1.53825	3.25e-05	0
1.53955	3.25e-05	0
1.54085	3.25e-05	0
1.54215	3.25e-05	0
