#n_l	N_0	probability

1.4077	0.00875	0
1.40871	0.00875	3.49447e-39
1.40972	0.00875	4.04742e-18
1.41073	0.00875	7.15841e-09
1.41174	0.00875	6.36473e-07
1.41274	0.00875	2.41144e-05
1.41375	0.00875	0.000397012
1.41476	0.00875	0.0038844
1.41577	0.00875	0.0254988
1.41678	0.00875	0.121981
1.41778	0.00875	0.477278
1.41879	0.00875	1.61774
1.4198	0.00875	4.76008
1.42081	0.00875	12.4616
1.42182	0.00875	30.4859
1.42282	0.00875	71.1426
1.42383	0.00875	151.752
1.42484	0.00875	295.253
1.42585	0.00875	523.655
1.42686	0.00875	842.576
1.42786	0.00875	1268.83
1.42887	0.00875	1735.27
1.42988	0.00875	2205.82
1.43089	0.00875	2594.51
1.4319	0.00875	2824.93
1.4329	0.00875	2844.42
1.43391	0.00875	2681.47
1.43492	0.00875	2331.2
1.43593	0.00875	1877.41
1.43694	0.00875	1410.01
1.43794	0.00875	988.087
1.43895	0.00875	645.005
1.43996	0.00875	390.055
1.44097	0.00875	219.758
1.44198	0.00875	114.394
1.44298	0.00875	54.6456
1.44399	0.00875	23.9188
1.445	0.00875	9.55622
1.44601	0.00875	3.45016
1.44702	0.00875	1.12492
1.44802	0.00875	0.331331
1.44903	0.00875	0.0893442
1.45004	0.00875	0.0198701
1.45105	0.00875	0.00356729
1.45206	0.00875	0.000431753
1.45306	0.00875	3.53546e-05
1.45407	0.00875	2.2592e-06
1.45508	0.00875	4.75133e-08
1.45609	0.00875	9.78483e-13
1.4571	0.00875	2.85499e-25
1.4077	0.02625	0
1.40871	0.02625	7.84224e-35
1.40972	0.02625	1.3621e-15
1.41073	0.02625	2.80601e-08
1.41174	0.02625	1.14098e-06
1.41274	0.02625	3.48411e-05
1.41375	0.02625	0.00051999
1.41476	0.02625	0.00477319
1.41577	0.02625	0.0290052
1.41678	0.02625	0.131037
1.41778	0.02625	0.487036
1.41879	0.02625	1.60758
1.4198	0.02625	4.57183
1.42081	0.02625	11.8624
1.42182	0.02625	28.7924
1.42282	0.02625	65.069
1.42383	0.02625	137.43
1.42484	0.02625	258.433
1.42585	0.02625	447.069
1.42686	0.02625	703.262
1.42786	0.02625	1037.7
1.42887	0.02625	1381.29
1.42988	0.02625	1720.68
1.43089	0.02625	1971.79
1.4319	0.02625	2096.65
1.4329	0.02625	2064.66
1.43391	0.02625	1925.45
1.43492	0.02625	1620.39
1.43593	0.02625	1284.07
1.43694	0.02625	934.413
1.43794	0.02625	648.425
1.43895	0.02625	416.475
1.43996	0.02625	246.743
1.44097	0.02625	132.787
1.44198	0.02625	68.158
1.44298	0.02625	31.8643
1.44399	0.02625	13.3823
1.445	0.02625	5.21721
1.44601	0.02625	1.8281
1.44702	0.02625	0.583762
1.44802	0.02625	0.165611
1.44903	0.02625	0.0419155
1.45004	0.02625	0.00893425
1.45105	0.02625	0.00146265
1.45206	0.02625	0.000168797
1.45306	0.02625	1.19147e-05
1.45407	0.02625	6.98224e-07
1.45508	0.02625	1.17954e-08
1.45609	0.02625	5.2568e-15
1.4571	0.02625	1.50028e-29
1.4077	0.04375	1.65872e-63
1.40871	0.04375	5.07802e-30
1.40972	0.04375	1.05811e-13
1.41073	0.04375	2.82725e-08
1.41174	0.04375	1.02016e-06
1.41274	0.04375	2.46755e-05
1.41375	0.04375	0.000329916
1.41476	0.04375	0.0027975
1.41577	0.04375	0.0161747
1.41678	0.04375	0.0699142
1.41778	0.04375	0.255259
1.41879	0.04375	0.811609
1.4198	0.04375	2.28058
1.42081	0.04375	5.8087
1.42182	0.04375	13.9451
1.42282	0.04375	31.1887
1.42383	0.04375	63.9034
1.42484	0.04375	119.241
1.42585	0.04375	203.001
1.42686	0.04375	314.587
1.42786	0.04375	454.581
1.42887	0.04375	601.864
1.42988	0.04375	740.941
1.43089	0.04375	838.579
1.4319	0.04375	877.344
1.4329	0.04375	855.638
1.43391	0.04375	779.017
1.43492	0.04375	655.039
1.43593	0.04375	506.476
1.43694	0.04375	373.408
1.43794	0.04375	251.316
1.43895	0.04375	157.629
1.43996	0.04375	92.3432
1.44097	0.04375	50.2835
1.44198	0.04375	25.0868
1.44298	0.04375	11.5349
1.44399	0.04375	4.85705
1.445	0.04375	1.85297
1.44601	0.04375	0.634233
1.44702	0.04375	0.196709
1.44802	0.04375	0.0554841
1.44903	0.04375	0.0139404
1.45004	0.04375	0.00274856
1.45105	0.04375	0.000428484
1.45206	0.04375	4.62635e-05
