#n_l	theta_0	probability

1.4077	-0.00038	0
1.40871	-0.00038	0
1.40972	-0.00038	0
1.41073	-0.00038	0
1.41174	-0.00038	0
1.41274	-0.00038	0
1.41375	-0.00038	0
1.41476	-0.00038	0
1.41577	-0.00038	0
1.41678	-0.00038	0
1.41778	-0.00038	0
1.41879	-0.00038	0
1.4198	-0.00038	0
1.42081	-0.00038	0
1.42182	-0.00038	0
1.42282	-0.00038	0
1.42383	-0.00038	0
1.42484	-0.00038	0
1.42585	-0.00038	0
1.42686	-0.00038	0
1.42786	-0.00038	0
1.42887	-0.00038	0
1.42988	-0.00038	0
1.43089	-0.00038	0
1.4319	-0.00038	0
1.4329	-0.00038	0
1.43391	-0.00038	0
1.43492	-0.00038	0
1.43593	-0.00038	0
1.43694	-0.00038	0
1.43794	-0.00038	0
1.43895	-0.00038	0
1.43996	-0.00038	0
1.44097	-0.00038	0
1.44198	-0.00038	0
1.44298	-0.00038	0
1.44399	-0.00038	0
1.445	-0.00038	0
1.44601	-0.00038	0
1.44702	-0.00038	0
1.44802	-0.00038	0
1.44903	-0.00038	0
1.45004	-0.00038	0
1.45105	-0.00038	0
1.45206	-0.00038	0
1.45306	-0.00038	0
1.45407	-0.00038	0
1.45508	-0.00038	0
1.45609	-0.00038	0
1.4571	-0.00038	0
1.4077	-0.00034	0
1.40871	-0.00034	0
1.40972	-0.00034	0
1.41073	-0.00034	0
1.41174	-0.00034	0
1.41274	-0.00034	0
1.41375	-0.00034	0
1.41476	-0.00034	0
1.41577	-0.00034	0
1.41678	-0.00034	0
1.41778	-0.00034	0
1.41879	-0.00034	0
1.4198	-0.00034	0
1.42081	-0.00034	0
1.42182	-0.00034	0
1.42282	-0.00034	0
1.42383	-0.00034	0
1.42484	-0.00034	0
1.42585	-0.00034	0
1.42686	-0.00034	0
1.42786	-0.00034	0
1.42887	-0.00034	0
1.42988	-0.00034	0
1.43089	-0.00034	0
1.4319	-0.00034	0
1.4329	-0.00034	0
1.43391	-0.00034	0
1.43492	-0.00034	0
1.43593	-0.00034	0
1.43694	-0.00034	0
1.43794	-0.00034	0
1.43895	-0.00034	0
1.43996	-0.00034	0
1.44097	-0.00034	0
1.44198	-0.00034	0
1.44298	-0.00034	0
1.44399	-0.00034	0
1.445	-0.00034	0
1.44601	-0.00034	0
1.44702	-0.00034	0
1.44802	-0.00034	0
1.44903	-0.00034	0
1.45004	-0.00034	0
1.45105	-0.00034	0
1.45206	-0.00034	0
1.45306	-0.00034	0
1.45407	-0.00034	0
1.45508	-0.00034	0
1.45609	-0.00034	0
1.4571	-0.00034	0
1.4077	-0.0003	0
1.40871	-0.0003	0
1.40972	-0.0003	0
1.41073	-0.0003	3.43809e-84
1.41174	-0.0003	3.2983e-79
1.41274	-0.0003	4.21365e-76
1.41375	-0.0003	4.9291e-75
1.41476	-0.0003	3.74505e-74
1.41577	-0.0003	2.1858e-73
1.41678	-0.0003	9.36061e-73
1.41778	-0.0003	2.06478e-72
1.41879	-0.0003	5.63976e-72
1.4198	-0.0003	8.75712e-72
1.42081	-0.0003	1.44412e-71
1.42182	-0.0003	3.1238e-71
1.42282	-0.0003	3.32345e-71
1.42383	-0.0003	5.55696e-71
1.42484	-0.0003	7.68248e-71
1.42585	-0.0003	9.05802e-71
1.42686	-0.0003	1.48039e-70
1.42786	-0.0003	1.17655e-70
1.42887	-0.0003	1.25122e-70
1.42988	-0.0003	1.25427e-70
1.43089	-0.0003	9.66145e-71
1.4319	-0.0003	9.18799e-71
1.4329	-0.0003	5.98785e-71
1.43391	-0.0003	5.09095e-71
1.43492	-0.0003	3.27008e-71
1.43593	-0.0003	2.18994e-71
1.43694	-0.0003	1.21256e-71
1.43794	-0.0003	6.39882e-72
1.43895	-0.0003	3.25089e-72
1.43996	-0.0003	1.48272e-72
1.44097	-0.0003	7.34621e-73
1.44198	-0.0003	2.41881e-73
1.44298	-0.0003	1.02097e-73
1.44399	-0.0003	3.11911e-74
1.445	-0.0003	9.7731e-75
1.44601	-0.0003	2.21477e-75
1.44702	-0.0003	7.79947e-76
1.44802	-0.0003	1.65395e-76
1.44903	-0.0003	3.64034e-77
1.45004	-0.0003	5.16914e-78
1.45105	-0.0003	1.08631e-78
1.45206	-0.0003	4.86905e-80
1.45306	-0.0003	6.51638e-81
1.45407	-0.0003	5.10671e-82
1.45508	-0.0003	3.4504e-84
1.45609	-0.0003	0
1.4571	-0.0003	0
1.4077	-0.00026	0
1.40871	-0.00026	0
1.40972	-0.00026	1.34614e-71
1.41073	-0.00026	2.1716e-58
1.41174	-0.00026	2.17049e-56
1.41274	-0.00026	1.38656e-54
1.41375	-0.00026	1.9283e-53
1.41476	-0.00026	2.23033e-52
1.41577	-0.00026	1.40156e-51
1.41678	-0.00026	5.60836e-51
1.41778	-0.00026	1.87528e-50
1.41879	-0.00026	5.9391e-50
1.4198	-0.00026	1.49983e-49
1.42081	-0.00026	3.22884e-49
1.42182	-0.00026	6.18656e-49
1.42282	-0.00026	1.14869e-48
1.42383	-0.00026	2.03492e-48
1.42484	-0.00026	3.18659e-48
1.42585	-0.00026	4.7209e-48
1.42686	-0.00026	6.26072e-48
1.42786	-0.00026	7.83337e-48
1.42887	-0.00026	8.96854e-48
1.42988	-0.00026	8.83923e-48
1.43089	-0.00026	8.95185e-48
1.4319	-0.00026	7.91362e-48
1.4329	-0.00026	6.36463e-48
1.43391	-0.00026	5.01327e-48
1.43492	-0.00026	3.57939e-48
1.43593	-0.00026	2.64633e-48
1.43694	-0.00026	1.61679e-48
1.43794	-0.00026	8.3452e-49
1.43895	-0.00026	4.39265e-49
1.43996	-0.00026	2.27986e-49
1.44097	-0.00026	1.01686e-49
1.44198	-0.00026	3.87891e-50
1.44298	-0.00026	1.70183e-50
1.44399	-0.00026	5.34152e-51
1.445	-0.00026	1.9693e-51
1.44601	-0.00026	6.30053e-52
1.44702	-0.00026	1.69023e-52
1.44802	-0.00026	3.81229e-53
1.44903	-0.00026	8.4911e-54
1.45004	-0.00026	1.77285e-54
1.45105	-0.00026	2.22905e-55
1.45206	-0.00026	3.51603e-56
1.45306	-0.00026	4.76707e-57
1.45407	-0.00026	9.90957e-59
1.45508	-0.00026	1.34172e-60
1.45609	-0.00026	0
1.4571	-0.00026	0
1.4077	-0.00022	0
1.40871	-0.00022	1.59482e-61
1.40972	-0.00022	9.35598e-48
1.41073	-0.00022	1.2113e-41
1.41174	-0.00022	4.90249e-40
1.41274	-0.00022	1.92151e-38
1.41375	-0.00022	3.01039e-37
1.41476	-0.00022	2.88144e-36
1.41577	-0.00022	1.66461e-35
1.41678	-0.00022	7.12396e-35
1.41778	-0.00022	2.40397e-34
1.41879	-0.00022	6.99185e-34
1.4198	-0.00022	1.84047e-33
1.42081	-0.00022	4.30826e-33
1.42182	-0.00022	9.12307e-33
1.42282	-0.00022	1.82424e-32
1.42383	-0.00022	3.58506e-32
1.42484	-0.00022	6.06638e-32
1.42585	-0.00022	9.30139e-32
1.42686	-0.00022	1.35635e-31
1.42786	-0.00022	1.73362e-31
1.42887	-0.00022	2.13626e-31
1.42988	-0.00022	2.3408e-31
1.43089	-0.00022	2.42739e-31
1.4319	-0.00022	2.32712e-31
1.4329	-0.00022	2.02064e-31
1.43391	-0.00022	1.70614e-31
1.43492	-0.00022	1.31592e-31
1.43593	-0.00022	9.20634e-32
1.43694	-0.00022	6.25778e-32
1.43794	-0.00022	3.85769e-32
1.43895	-0.00022	2.22156e-32
1.43996	-0.00022	1.22944e-32
1.44097	-0.00022	5.8749e-33
1.44198	-0.00022	2.73658e-33
1.44298	-0.00022	1.20713e-33
1.44399	-0.00022	4.70069e-34
1.445	-0.00022	1.63902e-34
1.44601	-0.00022	5.09576e-35
1.44702	-0.00022	1.58896e-35
1.44802	-0.00022	4.07048e-36
1.44903	-0.00022	9.89508e-37
1.45004	-0.00022	1.97338e-37
1.45105	-0.00022	3.68813e-38
1.45206	-0.00022	3.82944e-39
1.45306	-0.00022	3.16997e-40
1.45407	-0.00022	2.78925e-41
1.45508	-0.00022	4.33384e-43
1.45609	-0.00022	3.5844e-51
1.4571	-0.00022	0
1.4077	-0.00018	1.476e-62
1.40871	-0.00018	4.57526e-42
1.40972	-0.00018	1.69873e-33
1.41073	-0.00018	2.47542e-29
1.41174	-0.00018	1.62373e-27
1.41274	-0.00018	5.04718e-26
1.41375	-0.00018	7.33135e-25
1.41476	-0.00018	6.65457e-24
1.41577	-0.00018	4.09183e-23
1.41678	-0.00018	1.7998e-22
1.41778	-0.00018	6.45144e-22
1.41879	-0.00018	1.99977e-21
1.4198	-0.00018	5.32223e-21
1.42081	-0.00018	1.27087e-20
1.42182	-0.00018	2.9004e-20
1.42282	-0.00018	5.99918e-20
1.42383	-0.00018	1.17264e-19
1.42484	-0.00018	2.05794e-19
1.42585	-0.00018	3.29175e-19
1.42686	-0.00018	4.91794e-19
1.42786	-0.00018	6.68559e-19
1.42887	-0.00018	8.40604e-19
1.42988	-0.00018	9.60604e-19
1.43089	-0.00018	1.02774e-18
1.4319	-0.00018	1.02983e-18
1.4329	-0.00018	9.43732e-19
1.43391	-0.00018	8.12732e-19
1.43492	-0.00018	6.47521e-19
1.43593	-0.00018	4.75897e-19
1.43694	-0.00018	3.25085e-19
1.43794	-0.00018	2.06413e-19
