#theta_0	N_0	probability

-0.00038	0.00875	0
-0.00034	0.00875	0
-0.0003	0.00875	3.17391e-71
-0.00026	0.00875	2.97191e-48
-0.00022	0.00875	7.13125e-32
-0.00018	0.00875	2.47568e-19
-0.00014	0.00875	1.62833e-09
-0.0001	0.00875	0.0214615
-6e-05	0.00875	1346.16
-2e-05	0.00875	297985
2e-05	0.00875	357504
6e-05	0.00875	2362.77
0.0001	0.00875	0.075375
0.00014	0.00875	9.92724e-09
0.00018	0.00875	4.1968e-18
0.00022	0.00875	1.78632e-30
0.00026	0.00875	6.33416e-46
0.0003	0.00875	2.13572e-63
0.00034	0.00875	1.94269e-82
0.00038	0.00875	0
-0.00038	0.02625	0
-0.00034	0.02625	0
-0.0003	0.02625	3.22211e-71
-0.00026	0.02625	1.4125e-48
-0.00022	0.02625	3.73578e-32
-0.00018	0.02625	2.10146e-19
-0.00014	0.02625	1.19416e-09
-0.0001	0.02625	0.0220874
-6e-05	0.02625	1040.97
-2e-05	0.02625	229739
2e-05	0.02625	252860
6e-05	0.02625	1750.28
0.0001	0.02625	0.0532509
0.00014	0.02625	6.3727e-09
0.00018	0.02625	2.2187e-18
0.00022	0.02625	9.01566e-31
0.00026	0.02625	2.77721e-46
0.0003	0.02625	2.46478e-63
0.00034	0.02625	5.11803e-83
0.00038	0.02625	0
-0.00038	0.04375	0
-0.00034	0.04375	0
-0.0003	0.04375	5.8646e-72
-0.00026	0.04375	3.02706e-49
-0.00022	0.04375	1.59496e-32
-0.00018	0.04375	6.72027e-20
-0.00014	0.04375	4.40424e-10
-0.0001	0.04375	0.00604294
-6e-05	0.04375	315.954
-2e-05	0.04375	88685.4
2e-05	0.04375	112772
6e-05	0.04375	678.272
0.0001	0.04375	0.0234392
0.00014	0.04375	2.68396e-09
0.00018	0.04375	1.02856e-18
0.00022	0.04375	4.54484e-31
0.00026	0.04375	8.0525e-47
0.0003	0.04375	4.29059e-64
0.00034	0.04375	1.07041e-83
0.00038	0.04375	0
-0.00038	0.06125	0
-0.00034	0.06125	0
-0.0003	0.06125	9.28788e-74
-0.00026	0.06125	2.92912e-50
-0.00022	0.06125	1.69484e-33
-0.00018	0.06125	1.59626e-20
-0.00014	0.06125	1.08388e-10
-0.0001	0.06125	0.00245991
-6e-05	0.06125	133.222
-2e-05	0.06125	29000.3
2e-05	0.06125	33995.1
6e-05	0.06125	208.039
0.0001	0.06125	0.00631047
0.00014	0.06125	8.80308e-10
0.00018	0.06125	2.86406e-19
0.00022	0.06125	9.94574e-32
0.00026	0.06125	2.01864e-47
0.0003	0.06125	1.21768e-64
0.00034	0.06125	5.30909e-84
0.00038	0.06125	0
-0.00038	0.07875	0
-0.00034	0.07875	0
-0.0003	0.07875	1.17933e-74
-0.00026	0.07875	2.22376e-51
-0.00022	0.07875	3.07464e-34
-0.00018	0.07875	2.90878e-21
-0.00014	0.07875	2.61464e-11
-0.0001	0.07875	0.000374395
-6e-05	0.07875	20.6016
-2e-05	0.07875	6406.7
2e-05	0.07875	8634.04
6e-05	0.07875	50.3002
0.0001	0.07875	0.00192591
0.00014	0.07875	1.96604e-10
0.00018	0.07875	6.45657e-20
0.00022	0.07875	2.97843e-32
0.00026	0.07875	4.04166e-48
0.0003	0.07875	6.30878e-66
0.00034	0.07875	2.54634e-85
0.00038	0.07875	0
-0.00038	0.09625	0
-0.00034	0.09625	0
-0.0003	0.09625	6.17669e-77
-0.00026	0.09625	1.35729e-52
-0.00022	0.09625	2.39089e-35
-0.00018	0.09625	4.34771e-22
-0.00014	0.09625	3.2285e-12
-0.0001	0.09625	6.04529e-05
-6e-05	0.09625	5.60347
-2e-05	0.09625	1259.29
2e-05	0.09625	1401.63
6e-05	0.09625	9.62316
0.0001	0.09625	0.000285701
0.00014	0.09625	4.0269e-11
0.00018	0.09625	9.37562e-21
0.00022	0.09625	2.86717e-33
0.00026	0.09625	4.80259e-49
0.0003	0.09625	7.43111e-67
0.00034	0.09625	2.28076e-86
0.00038	0.09625	0
-0.00038	0.11375	0
-0.00034	0.11375	0
-0.0003	0.11375	1.21317e-78
-0.00026	0.11375	3.49973e-54
-0.00022	0.11375	1.74142e-36
-0.00018	0.11375	3.14441e-23
-0.00014	0.11375	3.54801e-13
-0.0001	0.11375	7.21609e-06
-6e-05	0.11375	0.470282
-2e-05	0.11375	164.572
2e-05	0.11375	201.21
6e-05	0.11375	1.39756
0.0001	0.11375	4.80331e-05
0.00014	0.11375	4.36233e-12
0.00018	0.11375	1.30528e-21
0.00022	0.11375	3.88902e-34
0.00026	0.11375	6.07302e-50
0.0003	0.11375	4.35296e-68
0.00034	0.11375	2.51632e-88
0.00038	0.11375	0
-0.00038	0.13125	0
-0.00034	0.13125	0
-0.0003	0.13125	1.14796e-81
-0.00026	0.13125	7.88489e-56
-0.00022	0.13125	1.24406e-37
-0.00018	0.13125	2.19995e-24
-0.00014	0.13125	3.08715e-14
-0.0001	0.13125	7.00397e-07
-6e-05	0.13125	0.0628108
-2e-05	0.13125	15.7879
2e-05	0.13125	19.8508
6e-05	0.13125	0.131759
0.0001	0.13125	4.58855e-06
0.00014	0.13125	4.60208e-13
0.00018	0.13125	8.671e-23
0.00022	0.13125	2.22804e-35
0.00026	0.13125	1.91504e-51
0.0003	0.13125	4.98528e-69
0.00034	0.13125	2.4869e-90
0.00038	0.13125	0
-0.00038	0.14875	0
-0.00034	0.14875	0
-0.0003	0.14875	0
-0.00026	0.14875	1.19495e-57
-0.00022	0.14875	1.88938e-39
-0.00018	0.14875	1.06213e-25
-0.00014	0.14875	1.71068e-15
-0.0001	0.14875	4.83205e-08
-6e-05	0.14875	0.00367184
-2e-05	0.14875	1.23589
2e-05	0.14875	2.02967
6e-05	0.14875	0.0115526
0.0001	0.14875	2.62769e-07
0.00014	0.14875	2.89425e-14
0.00018	0.14875	6.20831e-24
0.00022	0.14875	1.82447e-36
0.00026	0.14875	1.22741e-52
0.0003	0.14875	9.80264e-71
0.00034	0.14875	2.62587e-87
0.00038	0.14875	0
-0.00038	0.16625	0
-0.00034	0.16625	0
-0.0003	0.16625	0
-0.00026	0.16625	1.69624e-59
-0.00022	0.16625	8.12363e-41
-0.00018	0.16625	2.75027e-27
-0.00014	0.16625	6.72609e-17
-0.0001	0.16625	2.50752e-09
-6e-05	0.16625	0.000181899
-2e-05	0.16625	0.0691418
2e-05	0.16625	0.0747885
6e-05	0.16625	0.000635874
0.0001	0.16625	2.02057e-08
0.00014	0.16625	1.19656e-15
0.00018	0.16625	2.27183e-25
0.00022	0.16625	3.20347e-38
0.00026	0.16625	2.32242e-54
0.0003	0.16625	3.19438e-71
0.00034	0.16625	2.68347e-89
0.00038	0.16625	0
-0.00038	0.18375	0
-0.00034	0.18375	0
-0.0003	0.18375	0
-0.00026	0.18375	1.16431e-62
-0.00022	0.18375	7.99498e-43
-0.00018	0.18375	8.80599e-29
-0.00014	0.18375	1.96469e-18
-0.0001	0.18375	6.83693e-11
-6e-05	0.18375	8.21192e-06
-2e-05	0.18375	0.00283509
2e-05	0.18375	0.0047818
6e-05	0.18375	2.87679e-05
0.0001	0.18375	5.08459e-10
0.00014	0.18375	6.3603e-17
0.00018	0.18375	7.49096e-27
0.00022	0.18375	1.10847e-39
0.00026	0.18375	3.91296e-56
0.0003	0.18375	3.27601e-73
0.00034	0.18375	1.46991e-98
0.00038	0.18375	0
-0.00038	0.20125	0
-0.00034	0.20125	0
-0.0003	0.20125	0
-0.00026	0.20125	3.28172e-65
-0.00022	0.20125	2.93839e-45
-0.00018	0.20125	7.43182e-31
-0.00014	0.20125	3.76979e-20
-0.0001	0.20125	2.28339e-12
-6e-05	0.20125	1.92933e-07
-2e-05	0.20125	7.52183e-05
2e-05	0.20125	9.27101e-05
