#n_l	N_0	probability

1.42224	0.104	9.5264e-156
1.42232	0.104	1.54919e-153
1.42239	0.104	2.0228e-152
1.42247	0.104	6.66389e-149
1.42255	0.104	1.12482e-146
1.42263	0.104	1.51998e-145
1.42271	0.104	1.30247e-142
1.42278	0.104	2.04787e-141
1.42286	0.104	5.63457e-140
1.42294	0.104	1.27613e-137
1.42302	0.104	1.98106e-136
1.4231	0.104	4.65347e-134
1.42317	0.104	1.06675e-132
1.42325	0.104	9.19534e-132
1.42333	0.104	7.41792e-129
1.42341	0.104	9.6808e-128
1.42349	0.104	3.37243e-125
1.42356	0.104	8.76032e-122
1.42364	0.104	4.91314e-120
1.42372	0.104	5.89532e-119
1.4238	0.104	6.90728e-117
1.42388	0.104	1.56655e-114
1.42395	0.104	5.91803e-113
1.42403	0.104	5.17008e-111
1.42411	0.104	1.1848e-109
1.42419	0.104	1.53727e-107
1.42427	0.104	7.11417e-105
1.42434	0.104	8.79302e-104
1.42442	0.104	4.71044e-102
1.4245	0.104	5.84666e-100
1.42458	0.104	2.8103e-97
1.42466	0.104	1.15893e-95
1.42473	0.104	7.0216e-94
1.42481	0.104	2.71732e-93
1.42489	0.104	3.20783e-91
1.42497	0.104	9.993e-90
1.42505	0.104	4.41007e-89
1.42512	0.104	1.80304e-87
1.4252	0.104	2.56577e-86
1.42528	0.104	1.77335e-85
1.42536	0.104	3.53643e-84
1.42544	0.104	5.82703e-83
1.42551	0.104	2.45803e-79
1.42559	0.104	4.20371e-79
1.42567	0.104	6.85966e-78
1.42575	0.104	7.96834e-76
1.42583	0.104	6.76339e-74
1.4259	0.104	4.35136e-73
1.42598	0.104	3.01874e-71
1.42606	0.104	8.29795e-70
1.42614	0.104	1.42289e-68
1.42622	0.104	4.35354e-67
1.42629	0.104	2.84623e-65
1.42637	0.104	2.18755e-64
1.42645	0.104	8.62787e-64
1.42653	0.104	1.29257e-62
1.42661	0.104	2.58605e-61
1.42668	0.104	9.10962e-61
1.42676	0.104	1.01085e-58
1.42684	0.104	1.83653e-57
1.42692	0.104	5.39664e-57
1.427	0.104	1.40623e-55
1.42707	0.104	4.31768e-54
1.42715	0.104	1.92095e-53
1.42723	0.104	3.19621e-52
1.42731	0.104	1.99636e-51
1.42739	0.104	7.28941e-50
1.42746	0.104	1.01606e-48
1.42754	0.104	5.27245e-48
1.42762	0.104	1.65595e-47
1.4277	0.104	3.48206e-46
1.42778	0.104	3.1782e-45
1.42785	0.104	1.09613e-43
1.42793	0.104	2.59497e-42
1.42801	0.104	2.70128e-41
1.42809	0.104	1.50697e-38
1.42817	0.104	1.62861e-38
1.42824	0.104	9.57639e-38
1.42832	0.104	8.09081e-37
1.4284	0.104	3.45393e-36
1.42848	0.104	1.08101e-35
1.42856	0.104	7.19678e-35
1.42863	0.104	2.94604e-34
1.42871	0.104	6.05501e-33
1.42879	0.104	2.20343e-32
1.42887	0.104	1.23377e-31
1.42895	0.104	1.37879e-30
1.42902	0.104	4.97037e-30
1.4291	0.104	4.52107e-29
1.42918	0.104	5.80124e-28
1.42926	0.104	1.15261e-27
1.42934	0.104	4.29228e-27
1.42941	0.104	2.89572e-26
1.42949	0.104	1.08929e-25
1.42957	0.104	1.8975e-24
1.42965	0.104	1.30646e-23
1.42973	0.104	9.36509e-23
1.4298	0.104	2.18563e-22
1.42988	0.104	1.34718e-21
1.42996	0.104	7.18595e-21
1.42224	0.112	3.84428e-149
1.42232	0.112	8.91173e-148
1.42239	0.112	2.26585e-145
1.42247	0.112	4.76512e-144
1.42255	0.112	1.30938e-142
1.42263	0.112	2.41291e-140
1.42271	0.112	1.03221e-138
1.42278	0.112	3.39721e-136
1.42286	0.112	1.02196e-134
1.42294	0.112	3.12717e-133
1.42302	0.112	3.55523e-131
1.4231	0.112	2.84294e-129
1.42317	0.112	3.49742e-126
1.42325	0.112	8.20914e-124
1.42333	0.112	3.43739e-121
1.42341	0.112	2.854e-118
1.42349	0.112	3.67833e-117
1.42356	0.112	1.23462e-115
1.42364	0.112	2.19126e-114
1.42372	0.112	4.86632e-112
1.4238	0.112	2.33767e-110
1.42388	0.112	2.30939e-108
1.42395	0.112	5.90304e-107
1.42403	0.112	2.74459e-104
1.42411	0.112	4.61983e-103
1.42419	0.112	7.83594e-102
1.42427	0.112	4.52126e-100
1.42434	0.112	1.40708e-98
1.42442	0.112	2.87635e-96
1.4245	0.112	1.03591e-93
1.42458	0.112	4.37486e-93
1.42466	0.112	7.05157e-92
1.42473	0.112	1.15215e-90
1.42481	0.112	1.94861e-89
1.42489	0.112	1.06738e-87
1.42497	0.112	6.36305e-87
1.42505	0.112	1.34824e-85
1.42512	0.112	3.80816e-84
1.4252	0.112	9.52953e-82
1.42528	0.112	1.22402e-79
1.42536	0.112	1.59994e-77
1.42544	0.112	2.8538e-76
1.42551	0.112	1.29476e-73
1.42559	0.112	4.91853e-73
1.42567	0.112	1.29808e-71
1.42575	0.112	5.51486e-70
1.42583	0.112	1.27194e-68
1.4259	0.112	7.0494e-67
1.42598	0.112	3.83362e-66
1.42606	0.112	4.71782e-65
1.42614	0.112	1.06505e-63
1.42622	0.112	2.44646e-62
1.42629	0.112	1.38902e-61
1.42637	0.112	2.25195e-60
1.42645	0.112	1.44079e-59
1.42653	0.112	1.698e-58
1.42661	0.112	4.74024e-57
1.42668	0.112	2.36383e-56
1.42676	0.112	1.96127e-55
1.42684	0.112	5.94877e-54
1.42692	0.112	8.68262e-53
1.427	0.112	7.82379e-52
1.42707	0.112	7.1186e-51
1.42715	0.112	1.10924e-49
1.42723	0.112	5.14112e-48
1.42731	0.112	2.43284e-47
1.42739	0.112	2.83058e-46
1.42746	0.112	3.09807e-45
1.42754	0.112	2.05894e-43
1.42762	0.112	1.00823e-42
1.4277	0.112	1.10889e-40
1.42778	0.112	5.12608e-40
1.42785	0.112	1.92591e-39
1.42793	0.112	2.68038e-38
1.42801	0.112	4.81907e-37
1.42809	0.112	1.14481e-36
1.42817	0.112	3.143e-35
1.42824	0.112	1.88347e-34
1.42832	0.112	2.5632e-34
1.4284	0.112	6.26049e-33
1.42848	0.112	8.75861e-33
1.42856	0.112	7.35773e-32
1.42863	0.112	5.37838e-31
1.42871	0.112	3.28308e-30
1.42879	0.112	1.37447e-29
1.42887	0.112	7.16315e-29
1.42895	0.112	5.43151e-28
1.42902	0.112	1.37951e-27
1.4291	0.112	1.34254e-26
1.42918	0.112	4.95825e-25
1.42926	0.112	1.01496e-24
1.42934	0.112	4.16985e-24
1.42941	0.112	3.03817e-23
1.42949	0.112	1.7292e-22
1.42957	0.112	4.83466e-22
1.42965	0.112	4.64275e-21
1.42973	0.112	3.3518e-20
1.4298	0.112	1.39612e-19
1.42988	0.112	4.94597e-19
1.42996	0.112	2.13369e-18
1.42224	0.12	1.22367e-142
1.42232	0.12	2.81265e-141
1.42239	0.12	9.27444e-141
1.42247	0.12	1.83875e-136
1.42255	0.12	3.54515e-136
1.42263	0.12	6.19315e-135
1.42271	0.12	6.44384e-133
1.42278	0.12	4.43201e-129
1.42286	0.12	2.7492e-126
1.42294	0.12	8.39932e-125
1.42302	0.12	1.64438e-121
1.4231	0.12	4.28472e-120
1.42317	0.12	1.50173e-118
1.42325	0.12	2.4017e-116
1.42333	0.12	3.26973e-114
1.42341	0.12	5.87735e-112
1.42349	0.12	1.50946e-110
1.42356	0.12	6.04217e-108
1.42364	0.12	1.08689e-106
1.42372	0.12	7.42346e-106
1.4238	0.12	3.50446e-105
1.42388	0.12	1.55083e-103
1.42395	0.12	4.31631e-101
1.42403	0.12	4.84757e-100
1.42411	0.12	2.82437e-98
1.42419	0.12	5.02861e-96
1.42427	0.12	2.25447e-94
1.42434	0.12	2.49474e-92
1.42442	0.12	2.16783e-91
1.4245	0.12	8.70814e-90
1.42458	0.12	5.01169e-88
1.42466	0.12	1.50494e-87
1.42473	0.12	4.89556e-85
1.42481	0.12	1.21993e-83
1.42489	0.12	3.44096e-83
1.42497	0.12	1.31598e-81
1.42505	0.12	2.8506e-80
1.42512	0.12	2.48242e-78
1.4252	0.12	5.05979e-76
1.42528	0.12	2.78859e-74
1.42536	0.12	1.27195e-72
1.42544	0.12	7.11747e-71
1.42551	0.12	1.8859e-69
1.42559	0.12	6.23449e-68
1.42567	0.12	7.33156e-67
1.42575	0.12	2.63561e-65
1.42583	0.12	6.36491e-64
1.4259	0.12	1.53626e-62
1.42598	0.12	6.36426e-62
1.42606	0.12	7.16091e-61
1.42614	0.12	1.47767e-59
1.42622	0.12	3.27108e-59
1.42629	0.12	3.85724e-58
1.42637	0.12	5.66208e-57
1.42645	0.12	2.46359e-55
1.42653	0.12	2.4258e-54
1.42661	0.12	5.59651e-53
1.42668	0.12	4.68517e-52
1.42676	0.12	6.92886e-51
1.42684	0.12	3.37257e-49
1.42692	0.12	1.18349e-48
1.427	0.12	1.13195e-47
1.42707	0.12	3.70921e-46
1.42715	0.12	1.21525e-45
1.42723	0.12	9.97428e-45
1.42731	0.12	2.03997e-43
1.42739	0.12	1.64448e-42
1.42746	0.12	2.98502e-41
1.42754	0.12	3.8573e-40
1.42762	0.12	4.40227e-39
1.4277	0.12	9.7554e-38
1.42778	0.12	2.28615e-36
1.42785	0.12	5.16107e-36
1.42793	0.12	2.23184e-35
1.42801	0.12	6.8031e-34
1.42809	0.12	1.2734e-33
1.42817	0.12	2.38427e-32
1.42824	0.12	3.3564e-31
1.42832	0.12	5.39827e-31
1.4284	0.12	2.90555e-30
1.42848	0.12	1.81074e-29
1.42856	0.12	6.37088e-29
1.42863	0.12	1.21681e-27
1.42871	0.12	4.75158e-27
1.42879	0.12	5.97763e-26
1.42887	0.12	4.51033e-25
1.42895	0.12	1.91919e-24
1.42902	0.12	3.60684e-24
1.4291	0.12	2.9104e-23
1.42918	0.12	1.19207e-22
1.42926	0.12	6.90975e-22
1.42934	0.12	3.21524e-21
1.42941	0.12	3.82273e-20
1.42949	0.12	1.47633e-19
1.42957	0.12	5.11432e-19
1.42965	0.12	1.86709e-18
1.42973	0.12	6.53992e-18
1.4298	0.12	8.70122e-17
1.42988	0.12	4.11733e-16
1.42996	0.12	1.97183e-15
1.42224	0.128	8.09543e-139
1.42232	0.128	3.65746e-136
1.42239	0.128	1.95315e-134
1.42247	0.128	1.16191e-132
1.42255	0.128	6.97921e-129
1.42263	0.128	1.57216e-127
1.42271	0.128	5.8411e-125
1.42278	0.128	3.57102e-122
1.42286	0.128	2.95231e-120
1.42294	0.128	4.23661e-118
1.42302	0.128	7.12681e-117
1.4231	0.128	2.26019e-114
1.42317	0.128	1.10934e-112
1.42325	0.128	1.37059e-110
1.42333	0.128	2.3358e-109
1.42341	0.128	5.19304e-107
1.42349	0.128	7.9677e-106
1.42356	0.128	4.0834e-105
1.42364	0.128	2.19112e-102
1.42372	0.128	7.21958e-100
1.4238	0.128	2.41851e-99
1.42388	0.128	1.13599e-97
1.42395	0.128	6.11056e-97
1.42403	0.128	3.48618e-95
1.42411	0.128	1.56304e-93
1.42419	0.128	4.14456e-91
1.42427	0.128	1.00404e-89
1.42434	0.128	8.7138e-88
1.42442	0.128	2.32232e-86
1.4245	0.128	5.88382e-86
1.42458	0.128	1.03061e-83
1.42466	0.128	3.49069e-83
1.42473	0.128	2.9989e-81
1.42481	0.128	3.24363e-79
1.42489	0.128	1.35858e-77
1.42497	0.128	1.60451e-74
1.42505	0.128	4.59299e-73
1.42512	0.128	9.5876e-72
1.4252	0.128	1.36324e-70
1.42528	0.128	1.69203e-68
1.42536	0.128	1.73873e-67
1.42544	0.128	1.83764e-65
1.42551	0.128	4.84419e-65
1.42559	0.128	2.48895e-63
1.42567	0.128	5.35029e-62
1.42575	0.128	8.05281e-61
1.42583	0.128	1.20053e-59
1.4259	0.128	1.04849e-58
1.42598	0.128	3.88522e-58
1.42606	0.128	2.58591e-57
1.42614	0.128	1.66698e-56
1.42622	0.128	1.20189e-55
1.42629	0.128	1.53854e-54
1.42637	0.128	8.61138e-54
1.42645	0.128	1.89197e-52
1.42653	0.128	6.32805e-51
1.42661	0.128	1.15434e-49
1.42668	0.128	8.89412e-48
1.42676	0.128	7.47514e-47
1.42684	0.128	7.06065e-46
1.42692	0.128	7.34132e-45
1.427	0.128	8.97945e-44
1.42707	0.128	3.75201e-43
1.42715	0.128	6.51895e-42
1.42723	0.128	2.895e-40
1.42731	0.128	8.40373e-40
1.42739	0.128	6.27707e-38
1.42746	0.128	3.41677e-37
1.42754	0.128	3.35095e-36
1.42762	0.128	8.94982e-36
1.4277	0.128	1.349e-34
1.42778	0.128	9.32641e-33
1.42785	0.128	1.90445e-32
1.42793	0.128	2.65531e-32
1.42801	0.128	3.3919e-31
1.42809	0.128	3.39906e-30
1.42817	0.128	4.86919e-30
1.42824	0.128	6.34441e-29
1.42832	0.128	2.37141e-28
1.4284	0.128	1.28357e-27
1.42848	0.128	1.80463e-26
1.42856	0.128	3.44307e-25
1.42863	0.128	9.71866e-25
1.42871	0.128	6.24877e-24
1.42879	0.128	3.07547e-23
1.42887	0.128	5.62409e-22
1.42895	0.128	5.65075e-21
1.42902	0.128	9.80008e-21
1.4291	0.128	5.04601e-20
1.42918	0.128	3.09435e-19
1.42926	0.128	8.10131e-19
1.42934	0.128	2.64638e-18
1.42941	0.128	2.3118e-17
1.42949	0.128	2.21033e-16
1.42957	0.128	7.88591e-16
1.42965	0.128	2.61011e-15
1.42973	0.128	5.52783e-15
1.4298	0.128	2.58077e-14
1.42988	0.128	1.62765e-13
1.42996	0.128	7.52655e-13
1.42224	0.136	9.29436e-133
1.42232	0.136	2.44479e-131
1.42239	0.136	1.99643e-128
1.42247	0.136	4.20612e-126
1.42255	0.136	2.56497e-123
1.42263	0.136	6.13502e-121
1.42271	0.136	6.34037e-119
1.42278	0.136	6.45446e-117
1.42286	0.136	3.11099e-116
1.42294	0.136	1.22085e-113
1.42302	0.136	1.24666e-111
1.4231	0.136	1.45247e-108
1.42317	0.136	3.16473e-107
1.42325	0.136	8.29304e-107
1.42333	0.136	4.14714e-105
1.42341	0.136	6.39089e-103
1.42349	0.136	8.22832e-102
1.42356	0.136	3.43061e-100
1.42364	0.136	2.89889e-98
1.42372	0.136	1.51195e-96
1.4238	0.136	1.25694e-95
1.42388	0.136	2.91554e-93
1.42395	0.136	5.93992e-92
1.42403	0.136	3.11346e-90
1.42411	0.136	1.24707e-88
1.42419	0.136	1.01497e-86
1.42427	0.136	5.08352e-86
1.42434	0.136	5.83866e-84
1.42442	0.136	3.79184e-83
1.4245	0.136	4.46358e-81
1.42458	0.136	1.69494e-79
1.42466	0.136	2.54909e-78
1.42473	0.136	6.32633e-77
1.42481	0.136	5.93535e-75
1.42489	0.136	6.81265e-73
1.42497	0.136	9.90479e-72
1.42505	0.136	3.65493e-69
1.42512	0.136	3.42846e-68
1.4252	0.136	5.91874e-67
1.42528	0.136	4.60239e-66
1.42536	0.136	2.44495e-64
1.42544	0.136	1.21347e-62
1.42551	0.136	4.69742e-62
1.42559	0.136	1.72122e-60
1.42567	0.136	3.37614e-59
1.42575	0.136	2.18567e-58
1.42583	0.136	9.7458e-58
1.4259	0.136	6.76981e-57
