#n_l	theta_0	probability

1.42224	-0.0003936	1.57001e-44
1.42232	-0.0003936	1.10963e-44
1.42239	-0.0003936	1.72897e-44
1.42247	-0.0003936	1.89335e-44
1.42255	-0.0003936	2.10306e-44
1.42263	-0.0003936	1.09701e-43
1.42271	-0.0003936	1.93377e-43
1.42278	-0.0003936	3.53872e-43
1.42286	-0.0003936	9.60012e-43
1.42294	-0.0003936	3.81392e-42
1.42302	-0.0003936	1.38846e-42
1.4231	-0.0003936	4.31709e-42
1.42317	-0.0003936	9.40273e-42
1.42325	-0.0003936	2.77291e-41
1.42333	-0.0003936	1.67765e-41
1.42341	-0.0003936	1.22581e-40
1.42349	-0.0003936	4.48093e-40
1.42356	-0.0003936	4.62751e-39
1.42364	-0.0003936	5.2555e-39
1.42372	-0.0003936	1.36566e-38
1.4238	-0.0003936	2.69657e-38
1.42388	-0.0003936	7.00211e-38
1.42395	-0.0003936	3.8963e-37
1.42403	-0.0003936	3.75989e-37
1.42411	-0.0003936	1.31956e-35
1.42419	-0.0003936	3.02931e-36
1.42427	-0.0003936	9.35083e-36
1.42434	-0.0003936	2.12679e-35
1.42442	-0.0003936	1.22651e-34
1.4245	-0.0003936	1.41257e-34
1.42458	-0.0003936	1.10298e-34
1.42466	-0.0003936	2.22974e-34
1.42473	-0.0003936	2.4862e-34
1.42481	-0.0003936	3.4978e-34
1.42489	-0.0003936	9.2473e-34
1.42497	-0.0003936	7.72704e-34
1.42505	-0.0003936	1.45022e-33
1.42512	-0.0003936	3.4081e-33
1.4252	-0.0003936	4.51955e-33
1.42528	-0.0003936	1.04591e-32
1.42536	-0.0003936	1.25644e-32
1.42544	-0.0003936	2.68808e-32
1.42551	-0.0003936	3.80356e-32
1.42559	-0.0003936	3.4374e-32
1.42567	-0.0003936	2.72918e-31
1.42575	-0.0003936	1.58749e-31
1.42583	-0.0003936	4.34223e-31
1.4259	-0.0003936	1.78025e-30
1.42598	-0.0003936	4.12051e-31
1.42606	-0.0003936	3.67748e-30
1.42614	-0.0003936	6.54007e-31
1.42622	-0.0003936	1.13411e-30
1.42629	-0.0003936	9.13219e-31
1.42637	-0.0003936	2.63551e-31
1.42645	-0.0003936	2.19576e-31
1.42653	-0.0003936	1.85096e-30
1.42661	-0.0003936	1.36195e-30
1.42668	-0.0003936	6.30296e-31
1.42676	-0.0003936	3.28339e-30
1.42684	-0.0003936	3.01328e-30
1.42692	-0.0003936	3.786e-30
1.427	-0.0003936	3.60296e-30
