#theta_0	N_0	probability

-0.0003936	0.104	3.1485e-53
-0.0003808	0.104	3.9304e-50
-0.000368	0.104	4.11982e-47
-0.0003552	0.104	1.87363e-44
-0.0003424	0.104	1.58096e-41
-0.0003296	0.104	1.65156e-38
-0.0003168	0.104	1.8436e-35
-0.000304	0.104	1.42847e-33
-0.0002912	0.104	8.77321e-33
-0.0002784	0.104	2.40082e-30
-0.0002656	0.104	9.90286e-29
-0.0002528	0.104	2.6265e-27
-0.00024	0.104	4.67788e-27
-0.0002272	0.104	5.01438e-25
-0.0002144	0.104	5.43707e-25
-0.0002016	0.104	3.60427e-23
-0.0001888	0.104	7.53926e-24
-0.000176	0.104	3.63907e-22
-0.0001632	0.104	2.73187e-21
-0.0001504	0.104	1.52908e-22
-0.0001376	0.104	1.40188e-22
-0.0001248	0.104	6.14634e-21
-0.000112	0.104	8.26672e-21
-9.92e-05	0.104	3.60131e-20
-8.64e-05	0.104	9.19073e-23
-7.36e-05	0.104	1.68475e-23
-6.08e-05	0.104	7.90706e-25
-4.8e-05	0.104	6.90204e-24
-3.52e-05	0.104	5.86403e-24
-2.24e-05	0.104	1.13718e-23
-9.6e-06	0.104	0
3.2e-06	0.104	0
1.6e-05	0.104	0
2.88e-05	0.104	0
4.16e-05	0.104	0
5.44e-05	0.104	0
6.72e-05	0.104	0
8e-05	0.104	0
9.28e-05	0.104	0
0.0001056	0.104	0
0.0001184	0.104	0
0.0001312	0.104	0
0.000144	0.104	0
0.0001568	0.104	0
0.0001696	0.104	0
0.0001824	0.104	0
0.0001952	0.104	0
0.000208	0.104	0
0.0002208	0.104	0
0.0002336	0.104	0
-0.0003936	0.112	5.49545e-51
-0.0003808	0.112	1.16786e-47
-0.000368	0.112	2.03878e-45
-0.0003552	0.112	6.02963e-43
-0.0003424	0.112	2.33652e-40
-0.0003296	0.112	2.14919e-37
-0.0003168	0.112	2.08849e-34
-0.000304	0.112	9.68257e-32
-0.0002912	0.112	1.97026e-30
-0.0002784	0.112	2.41626e-29
-0.0002656	0.112	1.2772e-27
-0.0002528	0.112	5.71399e-26
-0.00024	0.112	7.33646e-24
-0.0002272	0.112	1.00101e-22
-0.0002144	0.112	1.77273e-21
-0.0002016	0.112	6.37837e-22
-0.0001888	0.112	9.35457e-21
-0.000176	0.112	8.08055e-19
-0.0001632	0.112	5.08016e-19
-0.0001504	0.112	1.13987e-18
-0.0001376	0.112	2.18286e-19
-0.0001248	0.112	8.7852e-20
-0.000112	0.112	2.01215e-19
-9.92e-05	0.112	1.63402e-18
-8.64e-05	0.112	8.72871e-18
-7.36e-05	0.112	2.94105e-18
-6.08e-05	0.112	8.2183e-19
-4.8e-05	0.112	5.07132e-22
-3.52e-05	0.112	1.44122e-21
-2.24e-05	0.112	2.8038e-22
-9.6e-06	0.112	6.17971e-22
3.2e-06	0.112	3.33107e-24
1.6e-05	0.112	1.68054e-25
2.88e-05	0.112	4.1332e-26
4.16e-05	0.112	5.08771e-30
5.44e-05	0.112	5.03254e-33
6.72e-05	0.112	3.55622e-33
8e-05	0.112	6.44077e-35
9.28e-05	0.112	8.20684e-38
0.0001056	0.112	1.5173e-39
0.0001184	0.112	0
