#n_l	theta_0	probability

1.401	-6.66667e-05	4.57231
1.403	-6.66667e-05	123596
1.405	-6.66667e-05	0
1.407	-6.66667e-05	0
1.409	-6.66667e-05	70.3612
1.411	-6.66667e-05	476607
1.413	-6.66667e-05	0
1.415	-6.66667e-05	0
1.417	-6.66667e-05	3245.88
1.419	-6.66667e-05	284259
1.421	-6.66667e-05	0
1.423	-6.66667e-05	0.183982
1.425	-6.66667e-05	15827.6
1.427	-6.66667e-05	150477
1.429	-6.66667e-05	0
1.431	-6.66667e-05	3.62559
1.433	-6.66667e-05	42457
1.435	-6.66667e-05	51785
1.437	-6.66667e-05	0
1.439	-6.66667e-05	8.19315
1.441	-6.66667e-05	124326
1.443	-6.66667e-05	225256
1.445	-6.66667e-05	0
1.447	-6.66667e-05	20.9592
1.449	-6.66667e-05	219503
1.451	-6.66667e-05	0
1.453	-6.66667e-05	0
1.455	-6.66667e-05	38.902
1.457	-6.66667e-05	247735
1.459	-6.66667e-05	0
1.461	-6.66667e-05	0
1.463	-6.66667e-05	68.5814
1.465	-6.66667e-05	230261
1.467	-6.66667e-05	224819
1.469	-6.66667e-05	0
1.471	-6.66667e-05	36.0516
1.473	-6.66667e-05	199896
1.475	-6.66667e-05	71761.7
1.477	-6.66667e-05	0
1.479	-6.66667e-05	20.7656
1.481	-6.66667e-05	118421
1.483	-6.66667e-05	52763.4
1.485	-6.66667e-05	0
1.487	-6.66667e-05	7.18871
1.489	-6.66667e-05	36766.1
1.491	-6.66667e-05	179295
1.493	-6.66667e-05	0
1.495	-6.66667e-05	2.21943
1.497	-6.66667e-05	11455.3
1.499	-6.66667e-05	323045
1.501	-6.66667e-05	0
1.503	-6.66667e-05	0.187139
1.505	-6.66667e-05	1553.96
1.507	-6.66667e-05	481720
1.509	-6.66667e-05	122870
1.511	-6.66667e-05	0
1.513	-6.66667e-05	125.927
1.515	-6.66667e-05	223592
1.517	-6.66667e-05	52181.5
1.519	-6.66667e-05	0
1.521	-6.66667e-05	3.84087
1.523	-6.66667e-05	36347.5
1.525	-6.66667e-05	242082
1.527	-6.66667e-05	0
1.529	-6.66667e-05	0.423775
1.531	-6.66667e-05	2042.49
1.533	-6.66667e-05	328595
1.535	-6.66667e-05	0
1.537	-6.66667e-05	0
1.539	-6.66667e-05	65.6408
1.541	-6.66667e-05	119540
1.543	-6.66667e-05	109775
1.545	-6.66667e-05	0
1.547	-6.66667e-05	1.72674
1.549	-6.66667e-05	4660.45
1.551	-6.66667e-05	467250
1.553	-6.66667e-05	0
1.555	-6.66667e-05	0
1.557	-6.66667e-05	65.9429
1.559	-6.66667e-05	48234.5
1.561	-6.66667e-05	281035
1.563	-6.66667e-05	0
1.565	-6.66667e-05	1.12582
1.567	-6.66667e-05	1411.18
1.569	-6.66667e-05	337759
1.571	-6.66667e-05	72729.5
1.573	-6.66667e-05	0
1.575	-6.66667e-05	4.90661
1.577	-6.66667e-05	21688.5
1.579	-6.66667e-05	269082
1.581	-6.66667e-05	0
1.583	-6.66667e-05	0.153794
1.585	-6.66667e-05	128.036
1.587	-6.66667e-05	120197
1.589	-6.66667e-05	281035
1.591	-6.66667e-05	153098
1.593	-6.66667e-05	0.829011
1.595	-6.66667e-05	378.359
1.597	-6.66667e-05	251868
1.599	-6.66667e-05	55034.1
1.401	0	0
1.403	0	0
1.405	0	0
1.407	0	0
1.409	0	0
1.411	0	0
1.413	0	0
1.415	0	0
1.417	0	0
1.419	0	0
1.421	0	0
1.423	0	0
1.425	0	0
1.427	0	0
1.429	0	0
1.431	0	0
1.433	0	0
1.435	0	0
1.437	0	0
1.439	0	0
1.441	0	0
1.443	0	0
1.445	0	0
1.447	0	0
1.449	0	0
1.451	0	0
1.453	0	0
1.455	0	0
1.457	0	0
1.459	0	0
1.461	0	0
1.463	0	0
1.465	0	0
1.467	0	0
1.469	0	0
1.471	0	0
1.473	0	0
1.475	0	0
1.477	0	0
1.479	0	0
1.481	0	0
1.483	0	0
1.485	0	0
1.487	0	0
1.489	0	0
1.491	0	0
1.493	0	0
1.495	0	0
1.497	0	0
1.499	0	0
1.501	0	0
1.503	0	0
1.505	0	0
1.507	0	0
1.509	0	0
1.511	0	0
1.513	0	0
1.515	0	0
1.517	0	0
1.519	0	0
1.521	0	0
1.523	0	0
1.525	0	0
1.527	0	0
1.529	0	0
1.531	0	0
1.533	0	0
1.535	0	0
1.537	0	0
1.539	0	0
1.541	0	0
1.543	0	0
