#theta_0	N_0	probability

-0.00095	0.0025	-0
-0.00085	0.0025	-0
-0.00075	0.0025	-0
-0.00065	0.0025	-0
-0.00055	0.0025	-0
-0.00045	0.0025	-0
-0.00035	0.0025	-0
-0.00025	0.0025	-0
-0.00015	0.0025	-0
-5e-05	0.0025	55133
5e-05	0.0025	-0
0.00015	0.0025	-0
0.00025	0.0025	-0
0.00035	0.0025	-0
0.00045	0.0025	-0
0.00055	0.0025	-0
0.00065	0.0025	-0
0.00075	0.0025	-0
0.00085	0.0025	-0
0.00095	0.0025	-0
-0.00095	0.0075	-0
-0.00085	0.0075	-0
-0.00075	0.0075	-0
-0.00065	0.0075	-0
-0.00055	0.0075	-0
-0.00045	0.0075	-0
-0.00035	0.0075	-0
-0.00025	0.0075	-0
-0.00015	0.0075	996654
-5e-05	0.0075	-0
5e-05	0.0075	-0
0.00015	0.0075	-0
0.00025	0.0075	-0
0.00035	0.0075	-0
0.00045	0.0075	-0
0.00055	0.0075	-0
0.00065	0.0075	-0
0.00075	0.0075	-0
0.00085	0.0075	-0
0.00095	0.0075	-0
-0.00095	0.0125	-0
-0.00085	0.0125	-0
-0.00075	0.0125	-0
-0.00065	0.0125	-0
-0.00055	0.0125	-0
-0.00045	0.0125	-0
-0.00035	0.0125	-0
-0.00025	0.0125	-0
-0.00015	0.0125	716166
-5e-05	0.0125	-0
5e-05	0.0125	-0
0.00015	0.0125	-0
0.00025	0.0125	-0
0.00035	0.0125	-0
0.00045	0.0125	-0
0.00055	0.0125	-0
0.00065	0.0125	-0
0.00075	0.0125	-0
0.00085	0.0125	-0
0.00095	0.0125	-0
-0.00095	0.0175	-0
-0.00085	0.0175	-0
-0.00075	0.0175	-0
-0.00065	0.0175	-0
-0.00055	0.0175	-0
-0.00045	0.0175	-0
-0.00035	0.0175	-0
-0.00025	0.0175	-0
-0.00015	0.0175	17164.9
-5e-05	0.0175	-0
5e-05	0.0175	-0
0.00015	0.0175	-0
0.00025	0.0175	-0
0.00035	0.0175	-0
0.00045	0.0175	-0
0.00055	0.0175	-0
0.00065	0.0175	-0
0.00075	0.0175	-0
0.00085	0.0175	-0
0.00095	0.0175	-0
-0.00095	0.0225	-0
-0.00085	0.0225	-0
-0.00075	0.0225	-0
-0.00065	0.0225	-0
-0.00055	0.0225	-0
-0.00045	0.0225	-0
-0.00035	0.0225	-0
-0.00025	0.0225	3.34845
-0.00015	0.0225	36295.5
-5e-05	0.0225	-0
5e-05	0.0225	-0
0.00015	0.0225	-0
0.00025	0.0225	-0
0.00035	0.0225	-0
0.00045	0.0225	-0
0.00055	0.0225	-0
0.00065	0.0225	-0
0.00075	0.0225	-0
0.00085	0.0225	-0
0.00095	0.0225	-0
-0.00095	0.0275	-0
-0.00085	0.0275	-0
-0.00075	0.0275	-0
-0.00065	0.0275	-0
-0.00055	0.0275	-0
-0.00045	0.0275	-0
-0.00035	0.0275	-0
-0.00025	0.0275	-0
-0.00015	0.0275	178584
-5e-05	0.0275	-0
5e-05	0.0275	-0
0.00015	0.0275	-0
0.00025	0.0275	-0
0.00035	0.0275	-0
0.00045	0.0275	-0
0.00055	0.0275	-0
0.00065	0.0275	-0
0.00075	0.0275	-0
0.00085	0.0275	-0
0.00095	0.0275	-0
-0.00095	0.0325	-0
-0.00085	0.0325	-0
-0.00075	0.0325	-0
-0.00065	0.0325	-0
-0.00055	0.0325	-0
-0.00045	0.0325	-0
-0.00035	0.0325	-0
-0.00025	0.0325	-0
-0.00015	0.0325	5.88883e-10
-5e-05	0.0325	-0
5e-05	0.0325	-0
0.00015	0.0325	-0
0.00025	0.0325	-0
0.00035	0.0325	-0
0.00045	0.0325	-0
0.00055	0.0325	-0
0.00065	0.0325	-0
0.00075	0.0325	-0
0.00085	0.0325	-0
0.00095	0.0325	-0
-0.00095	0.0375	-0
-0.00085	0.0375	-0
-0.00075	0.0375	-0
-0.00065	0.0375	-0
-0.00055	0.0375	-0
-0.00045	0.0375	-0
-0.00035	0.0375	-0
-0.00025	0.0375	-0
-0.00015	0.0375	1.38832e-09
-5e-05	0.0375	-0
5e-05	0.0375	-0
0.00015	0.0375	-0
0.00025	0.0375	-0
0.00035	0.0375	-0
0.00045	0.0375	-0
0.00055	0.0375	-0
0.00065	0.0375	-0
0.00075	0.0375	-0
0.00085	0.0375	-0
0.00095	0.0375	-0
-0.00095	0.0425	-0
-0.00085	0.0425	-0
-0.00075	0.0425	-0
-0.00065	0.0425	-0
-0.00055	0.0425	-0
-0.00045	0.0425	-0
-0.00035	0.0425	-0
-0.00025	0.0425	-0
-0.00015	0.0425	8.51658e-09
-5e-05	0.0425	-0
5e-05	0.0425	-0
0.00015	0.0425	-0
0.00025	0.0425	-0
0.00035	0.0425	-0
0.00045	0.0425	-0
0.00055	0.0425	-0
0.00065	0.0425	-0
0.00075	0.0425	-0
0.00085	0.0425	-0
0.00095	0.0425	-0
-0.00095	0.0475	-0
-0.00085	0.0475	-0
-0.00075	0.0475	-0
-0.00065	0.0475	-0
-0.00055	0.0475	-0
-0.00045	0.0475	-0
-0.00035	0.0475	-0
-0.00025	0.0475	-0
-0.00015	0.0475	-0
-5e-05	0.0475	-0
5e-05	0.0475	-0
0.00015	0.0475	-0
0.00025	0.0475	-0
0.00035	0.0475	-0
0.00045	0.0475	-0
0.00055	0.0475	-0
0.00065	0.0475	-0
0.00075	0.0475	-0
0.00085	0.0475	-0
0.00095	0.0475	-0
-0.00095	0.0525	-0
-0.00085	0.0525	-0
-0.00075	0.0525	-0
-0.00065	0.0525	-0
-0.00055	0.0525	-0
-0.00045	0.0525	-0
-0.00035	0.0525	-0
-0.00025	0.0525	-0
-0.00015	0.0525	-0
-5e-05	0.0525	-0
5e-05	0.0525	-0
0.00015	0.0525	-0
0.00025	0.0525	-0
0.00035	0.0525	-0
0.00045	0.0525	-0
0.00055	0.0525	-0
0.00065	0.0525	-0
0.00075	0.0525	-0
0.00085	0.0525	-0
0.00095	0.0525	-0
-0.00095	0.0575	-0
-0.00085	0.0575	-0
-0.00075	0.0575	-0
-0.00065	0.0575	-0
-0.00055	0.0575	-0
-0.00045	0.0575	-0
-0.00035	0.0575	-0
-0.00025	0.0575	-0
-0.00015	0.0575	-0
-5e-05	0.0575	-0
5e-05	0.0575	-0
0.00015	0.0575	-0
0.00025	0.0575	-0
0.00035	0.0575	-0
0.00045	0.0575	-0
0.00055	0.0575	-0
0.00065	0.0575	-0
0.00075	0.0575	-0
0.00085	0.0575	-0
0.00095	0.0575	-0
-0.00095	0.0625	-0
-0.00085	0.0625	-0
-0.00075	0.0625	-0
-0.00065	0.0625	-0
-0.00055	0.0625	-0
-0.00045	0.0625	-0
-0.00035	0.0625	-0
-0.00025	0.0625	-0
-0.00015	0.0625	-0
-5e-05	0.0625	-0
5e-05	0.0625	-0
0.00015	0.0625	-0
0.00025	0.0625	-0
0.00035	0.0625	-0
0.00045	0.0625	-0
0.00055	0.0625	-0
0.00065	0.0625	-0
0.00075	0.0625	-0
0.00085	0.0625	-0
0.00095	0.0625	-0
-0.00095	0.0675	-0
-0.00085	0.0675	-0
-0.00075	0.0675	-0
-0.00065	0.0675	-0
-0.00055	0.0675	-0
-0.00045	0.0675	-0
-0.00035	0.0675	-0
-0.00025	0.0675	-0
-0.00015	0.0675	-0
-5e-05	0.0675	-0
5e-05	0.0675	-0
0.00015	0.0675	-0
0.00025	0.0675	-0
0.00035	0.0675	-0
0.00045	0.0675	-0
0.00055	0.0675	-0
0.00065	0.0675	-0
0.00075	0.0675	-0
0.00085	0.0675	-0
0.00095	0.0675	-0
-0.00095	0.0725	-0
-0.00085	0.0725	-0
-0.00075	0.0725	-0
-0.00065	0.0725	-0
-0.00055	0.0725	-0
-0.00045	0.0725	-0
-0.00035	0.0725	-0
-0.00025	0.0725	-0
-0.00015	0.0725	-0
-5e-05	0.0725	-0
5e-05	0.0725	-0
0.00015	0.0725	-0
0.00025	0.0725	-0
0.00035	0.0725	-0
0.00045	0.0725	-0
0.00055	0.0725	-0
0.00065	0.0725	-0
0.00075	0.0725	-0
0.00085	0.0725	-0
0.00095	0.0725	-0
-0.00095	0.0775	-0
-0.00085	0.0775	-0
-0.00075	0.0775	-0
-0.00065	0.0775	-0
-0.00055	0.0775	-0
-0.00045	0.0775	-0
-0.00035	0.0775	-0
-0.00025	0.0775	-0
-0.00015	0.0775	-0
-5e-05	0.0775	-0
5e-05	0.0775	-0
0.00015	0.0775	-0
