#n_l	gamma	probability

1.3125	1.2e-05	5.13944e-30
1.3375	1.2e-05	2.85978e-30
1.3625	1.2e-05	2.05922e-30
1.3875	1.2e-05	1.05108e-30
1.4125	1.2e-05	1.68615e-33
1.4375	1.2e-05	4.2989e-36
1.4625	1.2e-05	5.97435e-37
1.4875	1.2e-05	3.0475e-37
1.5125	1.2e-05	2.02014e-37
1.5375	1.2e-05	1.47537e-37
1.5625	1.2e-05	1.16647e-37
1.5875	1.2e-05	1.06874e-37
1.6125	1.2e-05	9.65232e-38
1.6375	1.2e-05	8.48073e-38
1.6625	1.2e-05	7.45666e-38
1.6875	1.2e-05	5.87063e-38
1.7125	1.2e-05	4.27703e-38
1.7375	1.2e-05	1.9274e-38
1.7625	1.2e-05	4.00478e-41
1.7875	1.2e-05	5.1551e-43
1.3125	1.6e-05	8.19761e-24
1.3375	1.6e-05	4.31765e-24
1.3625	1.6e-05	2.22941e-24
1.3875	1.6e-05	8.78641e-27
1.4125	1.6e-05	4.29475e-29
1.4375	1.6e-05	9.80473e-30
1.4625	1.6e-05	5.60892e-30
1.4875	1.6e-05	3.43059e-30
1.5125	1.6e-05	2.61655e-30
1.5375	1.6e-05	2.19029e-30
1.5625	1.6e-05	1.8871e-30
1.5875	1.6e-05	1.3019e-30
1.6125	1.6e-05	5.92172e-31
1.6375	1.6e-05	1.68615e-33
1.6625	1.6e-05	1.83108e-35
1.6875	1.6e-05	4.20726e-36
1.7125	1.6e-05	9.67491e-37
1.7375	1.6e-05	5.37328e-37
1.7625	1.6e-05	3.43689e-37
1.7875	1.6e-05	2.88143e-37
1.3125	2e-05	1.31219e-18
1.3375	2e-05	5.58201e-19
1.3625	2e-05	5.14163e-22
1.3875	2e-05	2.52201e-23
1.4125	2e-05	9.6403e-24
1.4375	2e-05	5.87407e-24
1.4625	2e-05	4.29615e-24
1.4875	2e-05	2.98706e-24
1.5125	2e-05	1.36019e-24
1.5375	2e-05	7.6132e-27
1.5625	2e-05	1.03123e-28
1.5875	2e-05	2.48475e-29
1.6125	2e-05	9.86892e-30
1.6375	2e-05	6.0858e-30
1.6625	2e-05	4.96255e-30
1.6875	2e-05	3.85209e-30
1.7125	2e-05	3.07126e-30
1.7375	2e-05	2.60959e-30
1.7625	2e-05	2.31199e-30
1.7875	2e-05	2.08982e-30
1.3125	2.4e-05	2.70433e-14
1.3375	2.4e-05	2.49181e-17
1.3625	2.4e-05	3.39819e-18
1.3875	2.4e-05	1.75818e-18
1.4125	2.4e-05	1.03824e-18
1.4375	2.4e-05	4.36309e-19
1.4625	2.4e-05	3.03213e-21
1.4875	2.4e-05	8.66066e-23
1.5125	2.4e-05	1.71026e-23
1.5375	2.4e-05	1.01097e-23
1.5625	2.4e-05	7.52195e-24
1.5875	2.4e-05	5.36184e-24
1.6125	2.4e-05	4.29615e-24
1.6375	2.4e-05	3.32559e-24
1.6625	2.4e-05	2.28106e-24
1.6875	2.4e-05	1.3033e-24
1.7125	2.4e-05	7.47967e-26
1.7375	2.4e-05	6.54586e-28
1.7625	2.4e-05	9.97155e-29
1.7875	2.4e-05	3.55163e-29
1.3125	2.8e-05	6.52151e-13
1.3375	2.8e-05	1.3566e-13
1.3625	2.8e-05	6.95677e-14
1.3875	2.8e-05	2.20518e-14
1.4125	2.8e-05	4.6838e-17
1.4375	2.8e-05	6.11818e-18
1.4625	2.8e-05	2.45721e-18
1.4875	2.8e-05	1.67845e-18
1.5125	2.8e-05	1.09854e-18
1.5375	2.8e-05	6.64138e-19
1.5625	2.8e-05	2.9652e-19
1.5875	2.8e-05	2.65341e-21
1.6125	2.8e-05	1.03181e-22
1.6375	2.8e-05	3.39748e-23
1.6625	2.8e-05	1.53195e-23
1.6875	2.8e-05	1.01113e-23
1.7125	2.8e-05	8.19888e-24
1.7375	2.8e-05	6.10018e-24
1.7625	2.8e-05	5.35936e-24
1.7875	2.8e-05	4.35752e-24
1.3125	3.2e-05	1.84466e-09
1.3375	3.2e-05	6.36066e-10
1.3625	3.2e-05	2.28062e-12
1.3875	3.2e-05	2.6092e-13
1.4125	3.2e-05	1.15444e-13
1.4375	3.2e-05	6.77569e-14
1.4625	3.2e-05	3.22769e-14
1.4875	3.2e-05	3.63957e-16
1.5125	3.2e-05	1.60107e-17
1.5375	3.2e-05	4.72649e-18
1.5625	3.2e-05	2.65388e-18
1.5875	3.2e-05	1.78078e-18
1.6125	3.2e-05	1.33809e-18
1.6375	3.2e-05	1.03833e-18
1.6625	3.2e-05	7.35056e-19
1.6875	3.2e-05	4.24127e-19
1.7125	3.2e-05	6.36264e-20
1.7375	3.2e-05	1.00852e-21
1.7625	3.2e-05	1.18785e-22
1.7875	3.2e-05	4.83215e-23
1.3125	3.6e-05	8.29328e-08
1.3375	3.6e-05	3.76432e-09
1.3625	3.6e-05	1.76876e-09
1.3875	3.6e-05	9.99499e-10
1.4125	3.6e-05	1.2037e-10
1.4375	3.6e-05	8.34341e-13
1.4625	3.6e-05	2.1908e-13
1.4875	3.6e-05	1.15816e-13
1.5125	3.6e-05	8.53697e-14
1.5375	3.6e-05	5.075e-14
1.5625	3.6e-05	1.93334e-14
1.5875	3.6e-05	2.74932e-16
1.6125	3.6e-05	2.08339e-17
