#theta_0	gamma	probability

-0.00975	1.2e-05	1.09969e-39
-0.00925	1.2e-05	2.003e-38
-0.00875	1.2e-05	9.0002e-38
-0.00825	1.2e-05	1.68786e-36
-0.00775	1.2e-05	5.81974e-35
-0.00725	1.2e-05	1.38727e-33
-0.00675	1.2e-05	1.66166e-32
-0.00625	1.2e-05	1.25754e-31
-0.00575	1.2e-05	3.852e-31
-0.00525	1.2e-05	1.95628e-30
-0.00475	1.2e-05	4.27413e-30
-0.00425	1.2e-05	1.10215e-29
-0.00375	1.2e-05	1.62489e-29
-0.00325	1.2e-05	2.60627e-29
-0.00275	1.2e-05	3.31982e-29
-0.00225	1.2e-05	4.02499e-29
-0.00175	1.2e-05	5.04313e-29
-0.00125	1.2e-05	7.17442e-29
-0.00075	1.2e-05	1.0474e-28
-0.00025	1.2e-05	1.95105e-28
-0.00975	1.6e-05	7.78995e-31
-0.00925	1.6e-05	1.75463e-30
-0.00875	1.6e-05	2.70172e-30
-0.00825	1.6e-05	4.46601e-30
-0.00775	1.6e-05	4.24318e-29
-0.00725	1.6e-05	1.42184e-27
-0.00675	1.6e-05	1.44162e-26
-0.00625	1.6e-05	3.66217e-25
-0.00575	1.6e-05	1.24334e-24
-0.00525	1.6e-05	4.90879e-24
-0.00475	1.6e-05	1.02993e-23
-0.00425	1.6e-05	2.15596e-23
-0.00375	1.6e-05	2.76892e-23
-0.00325	1.6e-05	3.3602e-23
-0.00275	1.6e-05	4.05903e-23
-0.00225	1.6e-05	4.91558e-23
-0.00175	1.6e-05	7.60439e-23
-0.00125	1.6e-05	1.05187e-22
-0.00075	1.6e-05	1.40395e-22
-0.00025	1.6e-05	2.2662e-22
-0.00975	2e-05	1.69807e-24
-0.00925	2e-05	3.4495e-24
-0.00875	2e-05	5.47842e-24
-0.00825	2e-05	7.98714e-24
-0.00775	2e-05	1.29974e-23
-0.00725	2e-05	1.92516e-23
-0.00675	2e-05	2.92404e-23
-0.00625	2e-05	3.73992e-23
-0.00575	2e-05	5.22947e-23
-0.00525	2e-05	3.20348e-21
-0.00475	2e-05	1.82797e-18
-0.00425	2e-05	3.01803e-18
-0.00375	2e-05	3.44523e-18
-0.00325	2e-05	4.25415e-18
-0.00275	2e-05	4.78531e-18
-0.00225	2e-05	5.96708e-18
-0.00175	2e-05	1.17106e-17
