#theta_0	n_l	probability

-0.00975	1.3125	12199.5
-0.00925	1.3125	3938.68
-0.00875	1.3125	4808.42
-0.00825	1.3125	38.7066
-0.00775	1.3125	20.5239
-0.00725	1.3125	8.65123
-0.00675	1.3125	9.25815
-0.00625	1.3125	0.0415164
-0.00575	1.3125	0.0113325
-0.00525	1.3125	0.0121977
-0.00475	1.3125	0.000111471
-0.00425	1.3125	8.84831e-06
-0.00375	1.3125	1.31712e-05
-0.00325	1.3125	5.60562e-07
-0.00275	1.3125	9.40226e-07
-0.00225	1.3125	7.38264e-09
-0.00175	1.3125	3.10093e-10
-0.00125	1.3125	2.43588e-10
-0.00075	1.3125	2.96213e-12
-0.00025	1.3125	1.76867e-12
-0.00975	1.3375	11902.5
-0.00925	1.3375	3938.69
-0.00875	1.3375	4213.16
-0.00825	1.3375	40.8762
-0.00775	1.3375	22.3189
-0.00725	1.3375	8.6543
-0.00675	1.3375	9.2604
-0.00625	1.3375	0.0415482
-0.00575	1.3375	0.0114595
-0.00525	1.3375	0.00018341
-0.00475	1.3375	0.00106083
-0.00425	1.3375	3.04408e-05
-0.00375	1.3375	8.10562e-06
-0.00325	1.3375	8.10718e-06
-0.00275	1.3375	1.81337e-08
-0.00225	1.3375	2.41568e-08
-0.00175	1.3375	4.04856e-09
-0.00125	1.3375	7.95626e-12
-0.00075	1.3375	8.09671e-12
-0.00025	1.3375	1.00876e-12
-0.00975	1.3625	11411.6
-0.00925	1.3625	8776.26
-0.00875	1.3625	3940.69
-0.00825	1.3625	44.785
-0.00775	1.3625	24.3979
-0.00725	1.3625	9.26996
-0.00675	1.3625	9.26444
-0.00625	1.3625	0.0457881
-0.00575	1.3625	0.0155041
-0.00525	1.3625	0.0105141
-0.00475	1.3625	0.0121124
-0.00425	1.3625	3.73241e-05
-0.00375	1.3625	8.12615e-06
-0.00325	1.3625	1.10911e-05
-0.00275	1.3625	6.6985e-08
-0.00225	1.3625	7.3469e-09
-0.00175	1.3625	7.99592e-09
-0.00125	1.3625	1.83945e-10
-0.00075	1.3625	1.46482e-12
-0.00025	1.3625	1.95238e-12
-0.00975	1.3875	6471.65
